order,thread_order,question,comment_order,text,is_human,condition,source_row
11,3,"Vilka är era bästa synonymer för ""full""?",3,"Från studietiden: ""Jag är inte full, jag har pollenallergi""",True,human,23
12,3,"Vilka är era bästa synonymer för ""full""?",4,"""Låtsasglad"", ""sneseglare"" och ""nyskild"" är dom som används ofta så här i 30års åldern.",True,human,24
13,4,"Hej, jag funderar på att nån dag i framtiden flytta till antingen Argentina, Chile eller Filippinerna, då undrar jag, vilket är billigast helt enkelt? Nån som har bott eller bor i nåt av dessa länder?",1,"Hej! Jag har bott i både Argentina och Chile, och jag kan säga att Argentina generellt är billigare när det kommer till mat och boende, speciellt om man håller sig borta från de mer turistiga områdena. Chile är också fint, men priserna är ofta högre. Filippinerna har sin egen charm med låga levnadskostnader, framför allt om du gillar ö-liv och natur. Men det beror ju också på var i Filippinerna du hamnar. Så om billigast är grejen, ge Argentina en chans! Men kolla lite på vad du tycker om kulturen och språket också. Lycka till!",False,human_like,376
14,4,"Hej, jag funderar på att nån dag i framtiden flytta till antingen Argentina, Chile eller Filippinerna, då undrar jag, vilket är billigast helt enkelt? Nån som har bott eller bor i nåt av dessa länder?",2,"Tja! Jag har bott i Chile ett tag nu, och det känns som att kostnaden beror mycket på vart i landet du hamnar. Santiago är ju ganska dyrt, men skillnaden jämfört med Sverige är ändå rätt schysst, tycker jag. Argentina har ju haft sina ekonomiska kriser, så grejer kan vara jättebilliga där ibland, häftigt om man hittar rätt ställen. Filippinerna har också sin grej, och vissa öar är verkligen billiga att leva på om man vill bo mer avskilt. Kolla in lokala priser på boende och mat, så får du en bättre känsla! Lycka till!",False,detector_aware,379
15,4,"Hej, jag funderar på att nån dag i framtiden flytta till antingen Argentina, Chile eller Filippinerna, då undrar jag, vilket är billigast helt enkelt? Nån som har bott eller bor i nåt av dessa länder?",3,"
Haha Polen är inte så fattigt längre...",True,human,381
16,4,"Hej, jag funderar på att nån dag i framtiden flytta till antingen Argentina, Chile eller Filippinerna, då undrar jag, vilket är billigast helt enkelt? Nån som har bott eller bor i nåt av dessa länder?",4,"
Resor - allmänt | ej specifika resmål --> Long Stay - långtidsvistelser
/Moderator",True,human,382
17,5,"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",1,"Comviq är optimalt gällande täckning, då de inte har sitt eget nät utan använder sig utav både Tele2s, Telenors och Telias nät. [Källa](https://www.comviq.se/t%C3%A4ckning) Jag har aldrig haft något betydande problem med täckning i Stockholm sålänge jag inte varit i något bankvalv eller dylikt där man inte borde förvänta sig täckning från något nät.",True,human,175
18,5,"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",2,"Jag har faktiskt Comviq och har haft det ett tag nu. Jag tycker att det funkar riktigt bra, speciellt i storstadsområden som Stockholm. Har inte haft några större problem med täckningen eller hastigheten. Visst, vissa ställen kan vara lite sämre men det har varit överlag positivt. Om du får ett bra pris så kan det definitivt vara värt att testa! Men annars är Telia-kopplade nät alltid säkra, så fundera noga på vad som är viktigast för dig.",False,human_like,176
19,5,"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",3,Tele 2 funkar bra för mig men det är inte felfritt,True,human,178
20,5,"bäst mobilnät i Stockholm? hej, har just nu halebop (telias nät) och tycker att det fungerar bra i Stockholm. funderar på att byta till Comviq (tele2:s och telenors nät) pga bättre pris. Är det någon som använder Comviq/tele2 och kan ge ett utlåtande om hur det funkar i STockholm?",4,"Kör Tele2 via Comviq i Stockholm och tycker det funkar helt okej i princip överallt ovan jord – typ innerstan, pendeln, förorterna osv. Hastigheterna är ofta bra och 5G finns på många ställen, men det jag märkt är att Telia/Halebop brukar vara lite mer “stabilt” i svåra lägen (källare, vissa tunnelbanestationer, inne i tjocka betonghus). Tele2 kan vara kanon ena dagen och lite segt när det är mycket folk på samma plats. Om du är nöjd med Halebop och rör dig mycket i tunnelbana/källare/garage skulle jag nog stanna. Men om prisskillnaden är stor och du mest är “vanligt” ute i stan så är Comviq absolut fullt användbart. Tips: kolla täckningskartor där du bor/jobbar och om du kan, testa Comviq med ett billigt kontantkort först.",False,baseline,177
21,6,"Främlingsfientlighet på svenska [Vad tycker ni om Henrik Alexanderssons beskrivning av Sverige? ""Ett land där alla har rätt till sin egen postmoderna verklighet. Ett land där konsensus är viktigare än rimlighet.""]",1,"Tycker han sätter fingret på nåt som många känner igen, även om det är lite tillspetsat. Det där med “postmodern verklighet” märks ju när folk kan ha helt olika bild av samma problem och ändå förväntas man nicka och säga “alla perspektiv är lika mycket värda” istället för att kolla vad som faktiskt stämmer. Och konsensusgrejen… ja, i Sverige är det ofta viktigare att hålla god ton och “vara överens” än att reda ut sakfrågan, särskilt i känsliga ämnen som migration/integration. Samtidigt blir det lätt en cynisk one-liner: som om allt bara är fluff och ingen bryr sig om fakta, vilket inte heller är sant. Men som beskrivning av en viss svensk reflex—att konflikträdsla och socialt tryck kan väga tyngre än rimlighet—så är den rätt träffande.",False,baseline,54
22,6,"Främlingsfientlighet på svenska [Vad tycker ni om Henrik Alexanderssons beskrivning av Sverige? ""Ett land där alla har rätt till sin egen postmoderna verklighet. Ett land där konsensus är viktigare än rimlighet.""]",2,"Tycker det är en intressant synpunkt. Det känns som att vi blivit så överens om att alla ska få leva i sin egen bubbla att vi ibland tappar verklighetsförankringen. Konsensus må vara fint, men jag tror att vi behöver mer ärlig debat och mindre politiskt korrekthet. Vi måste kunna diskutera svåra frågor utan att det blir tjafs om det handlar om ""rätt"" och ""fel"".",False,human_like,57
23,6,"Främlingsfientlighet på svenska [Vad tycker ni om Henrik Alexanderssons beskrivning av Sverige? ""Ett land där alla har rätt till sin egen postmoderna verklighet. Ett land där konsensus är viktigare än rimlighet.""]",3,"Tycker nog att han har en poäng där, Sverige har ju blivit lite av en smältdegel av åsikter och verkligheter. Många vill bara höra det som gynnar deras egen agenda, och så glömmer man bort att det finns andra perspektiv. Det är klart, konsensus är ju bra, men ibland känns det mer som att man sätter på sig skygglappar för att undvika obehagliga sanningar. Verkar som att alla vill vara snälla mot varann, men vad hjälper det om vi inte kan prata om de riktiga problemen? Det känns som att vi svävar bort från verkligheten ibland.",False,detector_aware,56
24,6,"Främlingsfientlighet på svenska [Vad tycker ni om Henrik Alexanderssons beskrivning av Sverige? ""Ett land där alla har rätt till sin egen postmoderna verklighet. Ett land där konsensus är viktigare än rimlighet.""]",4,"Tycker det är en intressant synpunkt. Det känns som att vi allt mer lever i olika bubblor där våra åsikter och verkligheter bekräftas, snarare än utmanas. Jag kan förstå hans poänger, men jag tror också att det finns en stor del av befolkningen som fortfarande värdesätter diskussion och debatt. Det är väl viktigt att vi inte tappar förmågan att lyssna på varandra, oavsett hur olika vi tycker.",False,human_like,55
25,7,"någon som har lyckats och vet hur man gör?
vet att det ska fungera men jag har pillat runt i månader utan att lyckas...",1,"Alltså, jag vet hur det känns, man står där och känner sig som ett frågetecken. Har också haft sådana grejer där man virkade runt i flera månader utan att komma nån vart. Ett tips är att kolla upp tutorials på YouTube, där finns ju alltid någon som lyckats! Eller snacka med folk som kan det, ibland är det bara en liten grej man missar. Hoppas du löser det snart!",False,detector_aware,691
26,7,"någon som har lyckats och vet hur man gör?
vet att det ska fungera men jag har pillat runt i månader utan att lyckas...",2,"Det låter frustrerande! Jag har också kämpat med sådana grejer ibland. Har du kollat på några guider eller videor? Det kan verkligen hjälpa att se det i praktiken. Och skäms inte för att fråga om hjälp, det är så lätt att fastna i sitt eget huvud! Lycka till, håller tummarna för att du får det att funka snart!",False,human_like,688
27,7,"någon som har lyckats och vet hur man gör?
vet att det ska fungera men jag har pillat runt i månader utan att lyckas...",3,"Jag känner verkligen med dig! Det kan vara sjukt frustrerande när man har läst och förstått teorin, men ändå inte får det att funka i praktiken. Har du testat att kolla om det finns några guider eller videor online? Ibland kan det vara bra att se det steg för steg. Annars kan det vara värt att be någon som är mer erfaren om hjälp. Hoppas du lyckas snart!",False,baseline,690
28,7,"någon som har lyckats och vet hur man gör?
vet att det ska fungera men jag har pillat runt i månader utan att lyckas...",4,"Det kan vara riktigt frustrerande, men ge inte upp! Har du kikat på någon handledning eller video? Ibland kan man få en ny insikt bara genom att se någon annan göra det. Kolla också om det finns några forumtrådar eller grupper där andra delat med sig av sina tips! Hoppas du hittar lösningen snart!",False,baseline,689
29,8,"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater
 
Tänkte testa nå nytt",1,"Jo det var de jag tänkte. Eftersom folk säger att man ska ta gainer om man vill gå upp i vikt, och gainer innehåller ju 70% kolhydrater, då borde det få samma effekt om man pumpar i sig t ex spaghetti ",True,human,296
30,8,"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater
 
Tänkte testa nå nytt",2,"Det beror lite på hur mycket du äter totalt sett under dagen. Spaghetti är ju ganska kaloririkt och innehåller massa kolhydrater, så om du trycker i dig stora mängder kan det absolut bidra till viktökning. Men om du håller koll på portionerna och ser till att allt annat i kosten är balanserat, så kanske det går bra. Sen är det ju också viktigt hur aktiv du är! Själv gillar jag pasta ibland, men jag försöker vara lite försiktig med mängderna.",False,human_like,294
31,8,"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater
 
Tänkte testa nå nytt",3,"Ja, om du äter massor av spaghetti som mellanmål så är det stor risk att du går upp i vikt, speciellt om du inte är aktiv. Kolhydrater blir lätt energi som kroppen lagrar som fett om du inte förbränner dem. Kanske testa att blanda med lite grönsaker eller protein för en mer balanserad kost?",False,baseline,297
32,8,"Om man äter massor av spaghetti som mellanmål några gånger om dagen, går man upp i vikt då? Eftersom det innehåller ju en del kolhydrater
 
Tänkte testa nå nytt",4,"Självklart går man upp i vikt om man äter mycket spaghetti som mellanmål! Kolhydrater är en viktig energikälla, men om du äter mer kalorier än du förbränner så lagras överskottet som fett. Kanske kan du tänka på att balansera det med andra näringsämnen och se till att få i dig tillräckligt med protein och grönsaker också? Det kan vara bra att mixa upp kosten lite!",False,baseline,295
33,9,Vad kallar en blind programmerare sin ledhund? SYNTAX.,1,"Haha, den var ju grym! Älskar hur programmerare alltid ska hjälpa till att göra sina skämt lite nördigare! Hade aldrig kommit på det själv, men nu när jag ser det blir jag ju helt fnissig. Att kunna blanda humor med lite kodsnack, det är ju klassiskt! Respekt!",False,detector_aware,116
34,9,Vad kallar en blind programmerare sin ledhund? SYNTAX.,2,"Haha, “SYNTAX” som ledhund är ju så torrt att det blir bra – varje gång den drar åt fel håll får man bara en error och måste debugga promenaden.",False,baseline,118
35,9,Vad kallar en blind programmerare sin ledhund? SYNTAX.,3,"Haha, den var bra! Måste säga att humor alltid är ett trevligt sätt att lätta upp stämningen, oavsett situation. För övrigt, är det någon som har fler roliga programmerar-skämt?",False,human_like,119
36,9,Vad kallar en blind programmerare sin ledhund? SYNTAX.,4,Hur mår en programmerare som skriver kod i ett högnivåspråk? ...python,True,human,117
37,10,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,1,"Haha, ja du, det där med mått är alltid lite lurigt! 50 gram gainer är typ en halv deciliter, men det beror lite på hur tungt pulver det är. Min erfarenhet är att man kanske ska ha en köksvåg istället om man vill vara noga. Men om du inte orkar hålla på med det, så funkar en dl-mått finemang, bara kör!",False,detector_aware,218
38,10,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,2,"Det beror på hur fin/grovkornig pulvret är, men men, här är mitt bidrag till upplysning:
Straight out of skafferiet:
1 dl Maizena Majsstärkelse = 55g
1 dl Strösocker = 88g
1 dl Vetemjöl = 60g",True,human,222
39,10,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,3,"Det är svårt att säga exakt eftersom vikten kan variera beroende på gainerns densitet, men en vanlig tumregel är att 1 dl av pulver brukar väga runt 30-35 gram. Så 50 gram skulle ligga någonstans mellan en och en och en halv deciliter. Bästa tips är att använda en våg om du har en!",False,baseline,226
40,10,Har precis köpt en gainer och det står att man ska ha i 50 gram. Hur mycket är det i ett dl-mått?,4,"Det beror lite på vilken gainer du har, eftersom olika proteinpulver kan ha olika densitet. Men ett ganska bra riktmärke är att 1 dl gainer brukar väga runt 80-100 gram. Så om du ska ha 50 gram så motsvarar det ungefär 0,6 dl. Bäst att väga det om du har en våg, så du får rätt mängd!",False,human_like,219
