Abstract_POS,Generated_Abstract_POS
"Kollade_VERB,upp_ADV,källorna_NOUN,som_PRON,ges_VERB,i_ADP,den_DET,engelska_ADJ,och_CCONJ,det_PRON,visade_VERB,sig_PRON,att_SCONJ,det_PRON,faktiskt_ADV,inte_PART,finns_VERB,någon_DET,medicinsk_ADJ,kunskap_NOUN,om_ADP,detta_PRON,öht_ADP,._PUNCT,Ena_ADJ,källan_NOUN,är_AUX,en_DET,ensidesartikel_NOUN,som_PRON,konstaterar_VERB,att_SCONJ,det_PRON,inte_PART,finns_VERB,någon_DET,forskning_NOUN,om_ADP,detta_PRON,._PUNCT,Den_DET,andra_ADJ,källan_NOUN,består_VERB,av_ADP,två_NUM,insändare_NOUN,som_PRON,gör_VERB,sig_PRON,lustiga_ADJ,på_ADP,artikelns_NOUN,bekostnad_NOUN,._PUNCT,Diskussionen_NOUN,verkar_VERB,vara_AUX,kopplad_ADJ,till_ADP,onani-tabu_PROPN,,_PUNCT,d.v.s._ADV,endast_ADV,män_NOUN,som_PRON,tror_VERB,att_SCONJ,det_PRON,är_AUX,fel_ADJ,att_PART,onanera_VERB,är_AUX,oförmögna_ADJ,att_PART,göra_VERB,sig_PRON,av_ADP,med_ADP,det_DET,obehag_NOUN,som_PRON,kan_AUX,uppstå_VERB,av_ADP,att_PART,haft_VERB,erektion_NOUN,utan_CCONJ,orgasm_NOUN,under_ADP,en_DET,längre_ADJ,tid_NOUN,._PUNCT,Får_AUX,nog_ADV,tyvärr_ADV,konstatera_VERB,att_SCONJ,den_DET,engelska_ADJ,artikeln_NOUN,inte_PART,är_AUX,särskilt_ADV,väl_ADV,underbyggd_ADJ,._PUNCT","Jag_PRON,känner_VERB,igen_ADV,det_PRON,du_PRON,säger_VERB,!_PUNCT,Här_ADV,i_ADP,Sverige_PROPN,är_AUX,vi_PRON,ju_ADV,ganska_ADV,bra_ADJ,på_ADP,att_PART,blanda_VERB,upp_ADV,könsrollerna_NOUN,,_PUNCT,och_CCONJ,många_PRON,av_ADP,de_DET,gamla_ADJ,förväntningarna_NOUN,känns_VERB,lite_ADV,ur_ADP,tiden_NOUN,._PUNCT,Det_PRON,är_AUX,tråkigt_ADJ,att_PART,se_VERB,att_SCONJ,det_PRON,ser_VERB,annorlunda_ADV,ut_ADV,på_ADP,vissa_ADJ,ställen_NOUN,._PUNCT,Hemma_ADV,hos_ADP,oss_PRON,är_AUX,det_PRON,mer_ADV,50/50_NOUN,när_ADV,det_PRON,kommer_VERB,till_ADP,initiativ_NOUN,och_CCONJ,relationer_NOUN,._PUNCT,Känns_VERB,som_SCONJ,att_SCONJ,många_PRON,fortfarande_ADV,sitter_VERB,fast_ADV,i_ADP,gamla_ADJ,mönster_NOUN,!_PUNCT"
"Hellre_ADV,instängda_ADJ,än_SCONJ,diskriminerande_NOUN,._PUNCT","Jag_PRON,förstår_VERB,vad_PRON,du_PRON,menar_VERB,!_PUNCT,Här_ADV,hemma_ADV,känns_VERB,det_PRON,som_SCONJ,att_SCONJ,vi_PRON,har_AUX,kommit_VERB,ganska_ADV,långt_ADV,med_ADP,jämställdheten_NOUN,._PUNCT,Män_NOUN,och_CCONJ,kvinnor_NOUN,tar_VERB,initiativ_NOUN,i_ADP,relationer_NOUN,,_PUNCT,och_CCONJ,det_PRON,är_AUX,ganska_ADV,oavsett_ADV,kön_NOUN,._PUNCT,Visst_ADV,finns_VERB,det_PRON,gamla_ADJ,normer_NOUN,som_PRON,hänger_VERB,kvar_ADV,,_PUNCT,men_CCONJ,jag_PRON,tycker_VERB,att_SCONJ,många_PRON,i_ADP,vår_PRON,generation_NOUN,pushar_VERB,mot_ADP,mer_ADJ,jämlikhet_NOUN,._PUNCT,Det_PRON,känns_VERB,som_SCONJ,att_SCONJ,vi_PRON,är_VERB,på_ADP,rätt_ADJ,väg_NOUN,,_PUNCT,även_ADV,om_SCONJ,det_PRON,fortfarande_ADV,finns_VERB,saker_NOUN,att_PART,jobba_VERB,på_ADP,!_PUNCT"
"Florence_ADJ,Valentin_NOUN,och_CCONJ,Movits_PROPN,,_PUNCT,sjukt_NOUN,bra_ADV,!_PUNCT","Självklart_ADJ,!_PUNCT,Kolla_VERB,in_ADV,Håkan_PROPN,Hellström_PROPN,eller_CCONJ,Veronica_NOUN,Maggio_NOUN,,_PUNCT,de_PRON,är_AUX,grymma_ADJ,!_PUNCT,🎶_NOUN"
"Mattias_ADJ,Alkberg_PROPN","Kolla_VERB,in_ADV,Håkan_PROPN,Hellström_PROPN,,_PUNCT,han_PRON,har_AUX,grymma_VERB,texter_NOUN,och_CCONJ,härlig_ADJ,musik_NOUN,!_PUNCT,🎶_NOUN"
"Thåström_PROPN,,_PUNCT,Ebba_PROPN,Grön_PROPN,,_PUNCT,Tommy_PROPN,körberg_NOUN,._PUNCT,Finns_VERB,massor_NOUN,:)_PUNCT","Själv_ADJ,gillar_VERB,jag_PRON,verkligen_ADV,Håkan_PROPN,Hellström_PROPN,och_CCONJ,First_ADJ,Aid_NOUN,Kit_NOUN,!_PUNCT,Båda_PRON,har_VERB,riktigt_ADV,bra_ADJ,texter_NOUN,och_CCONJ,bra_ADJ,vibe_NOUN,._PUNCT,Vad_PRON,tycker_VERB,ni_PRON,?_PUNCT,😊_NOUN"
"[_PROPN,Oskar_PROPN,Linnros](http://www.youtube.com_NOUN,/_SYM,watch_NOUN,?_PUNCT,v_ADV,=_PUNCT,Lx2l87L98YY&feature_NOUN,=_PUNCT,PlayList&p_ADJ,=_PUNCT,A22F4B7FFC2B5E20&playnext_from_NOUN,=_PUNCT,PL&index=0_NOUN,)_PUNCT,gav_VERB,ut_ADV,sitt_PRON,första_ADJ,soloalbum_NOUN,nyligen_ADV,._PUNCT,Tycker_VERB,den_PRON,är_AUX,rätt_ADV,bra_ADJ","Själv_ADJ,gillar_VERB,jag_PRON,verkligen_ADV,Håkan_PROPN,Hellström_PROPN,och_CCONJ,First_ADJ,Aid_NOUN,Kit_NOUN,._PUNCT,Lite_ADV,olika_ADJ,stilar_NOUN,men_CCONJ,sjukt_NOUN,bra_ADV,båda_ADJ,två_NUM,!_PUNCT"
"Svensklärare_ADJ,här_ADV,,_PUNCT,dina_PRON,korrigeringar_NOUN,är_AUX,fortfarande_ADV,inte_PART,helt_ADV,rätt_ADJ,:)_PUNCT,

_SPACE,>_ADV,Jag_PRON,är_AUX,amerikansk_ADJ,och_CCONJ,jag_PRON,lyssna__r_NOUN,__PUNCT,__ADV,på_ADP,svenska_ADJ,låtar_NOUN,för_ADP,att_PART,lära_VERB,mig_PRON,nya_ADJ,ord_NOUN,också_ADV,

_SPACE,Present_NOUN,tense_NOUN,form_NOUN,of_ADP,the_DET,verb_DET,""_NOUN,lyssna_VERB,""_NOUN,since_ADJ,you're_NOUN,indicating_NOUN,a_ADV,habit_NOUN,,_PUNCT,like_ADJ,""_NOUN,Jag_PRON,läser_VERB,böcker_NOUN,för_ADP,att_PART,lära_VERB,mig_PRON,svenska_ADJ,""_NOUN,

_SPACE,>_ADV,Jag_PRON,korrigerade_VERB,din_PRON,svenska_ADJ,__ADV,__ADV,åt_ADP,__PROPN,__VERB,dig_PRON,

_SPACE,""_NOUN,åt_ADP,dig_PRON,""_NOUN,means_NOUN,""_NOUN,on_ADP,your_ADV,behalf_ADJ,""_NOUN,,_PUNCT,for_ADP,example_NOUN,,_PUNCT,""_NOUN,Jag_PRON,målade_VERB,tavlan_ADP,åt_ADP,dig_PRON,""_NOUN,._PUNCT,However_PROPN,,_PUNCT,note_ADV,that_NOUN,this_ADJ,means_NOUN,that_NOUN,you_NOUN,painted_VERB,the_DET,picture_NOUN,__PUNCT,for_ADP,__ADV,him_PROPN,,_PUNCT,only_ADJ,in_ADV,the_ADV,way_DET,that_NOUN,__DET,he_NOUN,__DET,should_ADJ,have_NOUN,actually_NOUN,done_ADV,it_ADV,._PUNCT,If_ADV,you_NOUN,say_VERB,""_NOUN,Jag_PRON,målade_VERB,tavlan_ADP,(_PUNCT,för_ADP,att_PART,ge_VERB,den_PRON,)_PUNCT,till_ADP,dig_PRON,""_NOUN,it_ADV,means_NOUN,you_NOUN,painted_VERB,the_DET,picture_NOUN,for_ADP,him_PROPN,,_PUNCT,with_NOUN,the_ADV,purpose_NOUN,of_ADP,giving_NOUN,it_ADV,to_VERB,him_PROPN,._PUNCT,

_SPACE,Also_PROPN,,_PUNCT,I'm_ADP,impressed_ADJ,you_NOUN,managed_NOUN,to_ADP,use_NOUN,the_DET,objective_ADV,form_NOUN,""_NOUN,dem_PRON,""_NOUN,correctly_NOUN,,_PUNCT,most_NOUN,native_ADV,swedes_VERB,mix_VERB,de_DET,/_SYM,dem_PRON,up_NOUN,._PUNCT,One_ADV,easy_VERB,way_ADP,that_VERB,almost_NOUN,all_DET,native_ADV,speakers_NOUN,use_ADJ,is_NOUN,to_VERB,use_NOUN,the_AUX,""_PRON,slang_NOUN,""_ADJ,form_NOUN,__PUNCT,dom_NOUN,__VERB,for_ADP,both_ADJ,subject_NOUN,and_CCONJ,object_NOUN,._PUNCT,

_SPACE,""_NOUN,Dom_NOUN,kommer_VERB,snart_ADV,""_NOUN,/_SYM,""_NOUN,Vi_PRON,åker_VERB,hem_ADV,till_ADP,dom_PRON,""_NOUN","Kolla_VERB,in_ADV,Håkan_PROPN,Hellström_PROPN,och_CCONJ,Veronica_NOUN,Maggio_VERB,,_PUNCT,deras_PRON,låtar_VERB,är_AUX,grymma_ADJ,!_PUNCT,🎶_NOUN"
"Tack_NOUN,för_ADP,det_PRON,!_PUNCT","Jag_PRON,har_AUX,också_ADV,haft_VERB,blandade_ADJ,erfarenheter_NOUN,,_PUNCT,ibland_ADV,funkar_VERB,det_PRON,bra_ADJ,och_CCONJ,ibland_ADV,är_AUX,det_PRON,rena_ADJ,katastrofen_NOUN,._PUNCT,Typisk_ADJ,Ikea-upplevelse_NOUN,ändå_ADV,!_PUNCT,😅_VERB"
"Nej_INTJ,,_PUNCT,nej_INTJ,,_PUNCT,det_PRON,är_AUX,lugnt_NOUN,,_PUNCT,man_PRON,måste_AUX,våga_VERB,skriva_VERB,och_CCONJ,prata_NOUN,för_ADP,att_PART,kunna_AUX,lära_VERB,sig_PRON,!_PUNCT","Tyvärr_ADV,verkar_VERB,det_PRON,vara_AUX,lite_ADV,av_ADP,en_DET,dragning_NOUN,överallt_ADV,,_PUNCT,jag_PRON,har_AUX,också_ADV,haft_VERB,sådana_ADJ,upplevelser_NOUN,._PUNCT,Hoppas_VERB,de_PRON,kan_AUX,förbättra_VERB,sig_PRON,snart_ADV,!_PUNCT"
"Ledsen_NOUN,för_ADP,det_PRON,!_PUNCT,Jag_PRON,är_AUX,lärande_ADJ,Svenska_NOUN,._PUNCT,Jag_PRON,är_AUX,inte_PART,mycket_ADV,bra_ADJ,ännu_ADV,._PUNCT,;)_PUNCT,;)_PUNCT,

_SPACE,Ja_INTJ,,_PUNCT,du_PRON,har_VERB,historien_NOUN,korrekt_NOUN,._PUNCT,:D_PUNCT","Jag_PRON,har_AUX,också_ADV,hört_VERB,mycket_ADJ,klagomål_NOUN,om_ADP,kundservicen_ADV,här_ADV,hemma_ADV,._PUNCT,Känns_VERB,som_SCONJ,att_SCONJ,det_PRON,kan_AUX,vara_AUX,en_DET,blandning_NOUN,,_PUNCT,tyvärr_ADV,._PUNCT,😅_NOUN"
"Ajdå_PROPN,,_PUNCT,där_ADV,hade_VERB,ni_PRON,otur_NOUN,._PUNCT,Jag_PRON,tänker_VERB,inte_PART,försvara_ADJ,Ikea_PROPN,det_DET,minsta_ADJ,men_CCONJ,ditt_PRON,språk_NOUN,är_AUX,lite_ADV,förvirrande_ADJ,._PUNCT,Är_AUX,det_PRON,ok_ADJ,om_SCONJ,jag_PRON,korrigerar_VERB,lite_ADV,?_PUNCT,

_SPACE,""_NOUN,Den_DET,största_ADJ,delen_NOUN,till_ADP,vår_PRON,soffa_VERB,var_AUX,defekt_ADJ,._PUNCT,De_PRON,ville_AUX,inte_PART,skicka_VERB,en_DET,ny_ADJ,del_NOUN,,_PUNCT,utan_CCONJ,vi_PRON,fick_AUX,köra_VERB,långt_ADV,._PUNCT,Vi_PRON,reklamerade_VERB,(_PUNCT,""_NOUN,return_ADJ,""_NOUN,?_PUNCT,)_PUNCT,soffan_ADJ,istället_ADV,._PUNCT,Personalen_NOUN,var_AUX,mycket_ADV,oförskämd_ADJ,och_CCONJ,ville_AUX,inte_PART,hjälpa_VERB,oss_PRON,._PUNCT,""_NOUN,Har_AUX,jag_PRON,förstått_VERB,dig_PRON,rätt_ADV,?_PUNCT,:)_PUNCT","Jag_PRON,har_AUX,också_ADV,haft_VERB,blandade_ADJ,erfarenheter_NOUN,med_ADP,deras_PRON,kundservice_NOUN,här_ADV,hemma_ADV,,_PUNCT,ibland_ADV,funkar_VERB,det_PRON,bra_ADJ,,_PUNCT,men_CCONJ,ibland_ADV,får_AUX,man_PRON,verkligen_ADV,kämpa_VERB,._PUNCT,🤷_NOUN,‍_NUM,♂_NOUN,️_NOUN"
