human_sentiment_label,human_sentiment_score,human_affective_extremity,human_is_subjective,human_emotion_neutral,human_emotion_surprise,human_emotion_anger,human_emotion_joy,human_emotion_disgust,human_emotion_fear,human_emotion_sadness,llm_sentiment_label,llm_sentiment_score,llm_affective_extremity,llm_is_subjective,llm_emotion_neutral,llm_emotion_joy,llm_emotion_surprise,llm_emotion_anger,llm_emotion_disgust,llm_emotion_sadness,llm_emotion_fear
POSITIVE,0.969841718673706,0.971788,1,0.03996777907013893,0.2645120322704315,0.05821288004517555,0.4900287389755249,0.048339106142520905,0.06783641129732132,0.03110315650701523,NEUTRAL,0.711178719997406,0.288821,0,0.07826884835958481,0.07199489325284958,0.13741138577461243,0.17172107100486755,0.10281578451395035,0.17939171195030212,0.25839629769325256
NEUTRAL,0.7580081820487976,0.241992,0,0.589860200881958,0.19420775771141052,0.010609213262796402,0.1725231558084488,0.018267476931214333,0.007640393916517496,0.006891840137541294,NEUTRAL,0.5542861223220825,0.445714,0,0.10823437571525574,0.08371630311012268,0.11047455668449402,0.1295006424188614,0.09995555877685547,0.09339868277311325,0.3747198283672333
NEUTRAL,0.5847553610801697,0.415245,0,0.15719996392726898,0.13438758254051208,0.08362092077732086,0.3999497592449188,0.06310850381851196,0.07510144263505936,0.08663184195756912,POSITIVE,0.5231108665466309,0.583571,1,0.0805928036570549,0.04903838410973549,0.04371892288327217,0.23512059450149536,0.06909690797328949,0.15376834571361542,0.36866405606269836
NEUTRAL,0.9316830635070801,0.068317,0,0.3808891475200653,0.2604520618915558,0.07140525430440903,0.11336928606033325,0.07773422449827194,0.05652118846774101,0.03962882235646248,NEGATIVE,0.858300507068634,0.888638,1,0.09786376357078552,0.07838770747184753,0.25120481848716736,0.12197762727737427,0.09132351726293564,0.15367133915424347,0.2055712789297104
NEGATIVE,0.6338334083557129,0.651023,1,0.18727780878543854,0.4574020206928253,0.09626758843660355,0.056114573031663895,0.06733182817697525,0.06641405820846558,0.06919216364622116,NEUTRAL,0.5077077150344849,0.492292,0,0.10705085098743439,0.1814594864845276,0.43288230895996094,0.04055831953883171,0.10847023129463196,0.11229193955659866,0.017286868765950203
NEUTRAL,0.9472158551216125,0.052784,0,0.12539848685264587,0.41716477274894714,0.06933184713125229,0.16712182760238647,0.09404711425304413,0.06981651484966278,0.0571194551885128,NEUTRAL,0.9010704159736633,0.09893,0,0.1822730153799057,0.11272475123405457,0.29295286536216736,0.12877871096134186,0.09194422513246536,0.0795448049902916,0.11178164929151535
NEUTRAL,0.9225984215736389,0.077402,0,0.12171100080013275,0.26655149459838867,0.13777825236320496,0.13755400478839874,0.05307130515575409,0.12943728268146515,0.15389668941497803,NEUTRAL,0.8775390386581421,0.122461,0,0.18831145763397217,0.16967318952083588,0.21142560243606567,0.14452014863491058,0.0805429145693779,0.1086903065443039,0.09683637320995331
NEGATIVE,0.8732622861862183,0.884639,1,0.06869127601385117,0.4778973162174225,0.08200987428426743,0.2798879146575928,0.025386787950992584,0.04274522513151169,0.023381704464554787,NEUTRAL,0.7386207580566406,0.261379,0,0.24009935557842255,0.15258944034576416,0.1435694694519043,0.15187083184719086,0.11534202843904495,0.09137455374002457,0.10515435039997101
NEUTRAL,0.6702470183372498,0.329753,0,0.06397794187068939,0.3976092040538788,0.11456385254859924,0.27275681495666504,0.046200938522815704,0.053958792239427567,0.05093243718147278,NEUTRAL,0.7824836373329163,0.217516,0,0.15141911804676056,0.11600969731807709,0.2590610682964325,0.15457944571971893,0.12147478759288788,0.08171673119068146,0.11573919653892517
NEUTRAL,0.8040540814399719,0.195946,0,0.16847434639930725,0.3208666741847992,0.11175002157688141,0.16624170541763306,0.07850001007318497,0.0862342044711113,0.06793302297592163,NEUTRAL,0.9196411371231079,0.080359,0,0.09111256152391434,0.11652054637670517,0.42200878262519836,0.11600763350725174,0.0927986204624176,0.07192567735910416,0.08962620049715042
NEGATIVE,0.9668015241622925,0.970235,1,0.03288743644952774,0.4718848466873169,0.08297423273324966,0.0122646139934659,0.2867857813835144,0.023816987872123718,0.08938603103160858,NEUTRAL,0.6668548583984375,0.333145,0,0.1209646537899971,0.1573251187801361,0.19826272130012512,0.17625559866428375,0.13154777884483337,0.07752414047718048,0.13812004029750824
NEUTRAL,0.8934150338172913,0.106585,0,0.10773036628961563,0.26183727383613586,0.21422883868217468,0.0839497298002243,0.12449926882982254,0.13828538358211517,0.06946913152933121,NEUTRAL,0.8853979110717773,0.114602,0,0.08476703613996506,0.055321890860795975,0.6656792759895325,0.053312428295612335,0.05348127707839012,0.027630697935819626,0.05980740487575531
POSITIVE,0.6810888648033142,0.687053,1,0.053403470665216446,0.6505987644195557,0.0593823567032814,0.0729980617761612,0.043104421347379684,0.09498149901628494,0.025531398132443428,NEUTRAL,0.9566131830215454,0.043387,0,0.11298180371522903,0.10901866853237152,0.3744845688343048,0.12466063350439072,0.1410219669342041,0.05097498744726181,0.08685734122991562
NEUTRAL,0.6635611653327942,0.336439,0,0.014022402465343475,0.0411563515663147,0.020892906934022903,0.0032784421928226948,0.0025505926460027695,0.9144418239593506,0.0036574455443769693,NEUTRAL,0.9667512774467468,0.033249,0,0.1961316466331482,0.0578724630177021,0.4884229898452759,0.08854057639837265,0.0829913467168808,0.04658099263906479,0.03946002945303917
NEUTRAL,0.9739945530891418,0.026005,0,0.13075873255729675,0.37250274419784546,0.08091819286346436,0.14744670689105988,0.09262829273939133,0.08498096466064453,0.09076439589262009,NEUTRAL,0.9579355120658875,0.042064,0,0.23044264316558838,0.06510937958955765,0.47955775260925293,0.0703628733754158,0.05689619854092598,0.024984432384371758,0.07264673709869385
POSITIVE,0.6764059066772461,0.685634,1,0.031482499092817307,0.05810144916176796,0.0073974705301225185,0.8864665627479553,0.00619962252676487,0.004288761410862207,0.006063677836209536,NEUTRAL,0.9281439781188965,0.071856,0,0.14050453901290894,0.09898703545331955,0.5303272604942322,0.06697426736354828,0.08162880688905716,0.04911705479025841,0.032461002469062805
NEUTRAL,0.7530362606048584,0.246964,0,0.10925937443971634,0.6001154184341431,0.044951777905225754,0.052230242639780045,0.043350618332624435,0.10341495275497437,0.04667763411998749,NEUTRAL,0.9463542699813843,0.053646,0,0.15105773508548737,0.09986405819654465,0.30694299936294556,0.13528180122375488,0.14437347650527954,0.0783676728606224,0.08411217480897903
POSITIVE,0.7757458090782166,0.7808,1,0.06947249919176102,0.44243693351745605,0.07632622867822647,0.2760155498981476,0.036020319908857346,0.06165068596601486,0.03807780519127846,NEUTRAL,0.9665414094924927,0.033459,0,0.025244180113077164,0.018496492877602577,0.9235272407531738,0.009912916459143162,0.005705896764993668,0.007119996473193169,0.009993243031203747
NEUTRAL,0.9563018083572388,0.043698,0,0.024496056139469147,0.8888330459594727,0.015771085396409035,0.023345617577433586,0.01690414547920227,0.019445553421974182,0.011204422451555729,NEUTRAL,0.9030758142471313,0.096924,0,0.03911685198545456,0.07320351153612137,0.7590680718421936,0.021762333810329437,0.03844727948307991,0.026562664657831192,0.041839245706796646
NEUTRAL,0.8463951349258423,0.153605,0,0.4790327847003937,0.3814471364021301,0.020748892799019814,0.044989876449108124,0.0325617678463459,0.024294309318065643,0.016925163567066193,NEUTRAL,0.6286661028862,0.371334,0,0.08419646322727203,0.03728114813566208,0.73322993516922,0.03289621323347092,0.041991863399744034,0.025597458705306053,0.04480691999197006
NEGATIVE,0.9929191470146179,0.993434,1,0.2393745481967926,0.27348750829696655,0.03389756381511688,0.06810702383518219,0.276693195104599,0.055101022124290466,0.05333911255002022,NEGATIVE,0.9939355254173279,0.994352,1,0.01285791490226984,0.01435808464884758,0.696291983127594,0.018576886504888535,0.21154719591140747,0.012273591011762619,0.034094396978616714
NEUTRAL,0.5333437323570251,0.466656,0,0.5519038438796997,0.26275908946990967,0.025299111381173134,0.0655268132686615,0.0422530435025692,0.031582314521074295,0.02067575231194496,NEGATIVE,0.9231817126274109,0.92517,1,0.10065878182649612,0.06461891531944275,0.6759395599365234,0.03124840557575226,0.0594085156917572,0.024592747911810875,0.04353302717208862
NEUTRAL,0.7308028340339661,0.269197,0,0.1083608865737915,0.3550471365451813,0.12005602568387985,0.18298488855361938,0.07805590331554413,0.09047278016805649,0.06502235680818558,NEGATIVE,0.9931867122650146,0.993765,1,0.010015672072768211,0.017202481627464294,0.22357138991355896,0.00875070784240961,0.645656168460846,0.007586638908833265,0.08721684664487839
NEUTRAL,0.8702101111412048,0.12979,0,0.012179330922663212,0.9597063660621643,0.005820370279252529,0.006833143997937441,0.006509944796562195,0.00540902791544795,0.0035418157931417227,NEGATIVE,0.9815717935562134,0.982374,1,0.02617809921503067,0.0509948804974556,0.6059749722480774,0.02836187370121479,0.22704368829727173,0.014298758469522,0.047147661447525024
NEUTRAL,0.8498543500900269,0.150146,0,0.17441925406455994,0.34013816714286804,0.13224253058433533,0.12116154283285141,0.08687571436166763,0.09563129395246506,0.0495314784348011,NEUTRAL,0.9243593215942383,0.075641,0,0.11581964045763016,0.1606362909078598,0.1632949411869049,0.1492021381855011,0.1526884138584137,0.12316620349884033,0.13519228994846344
NEGATIVE,0.5984899997711182,0.611214,1,0.6920357346534729,0.22346621751785278,0.028229881078004837,0.0131944939494133,0.0137709379196167,0.018688300624489784,0.010614409111440182,NEUTRAL,0.8949540257453918,0.105046,0,0.1875242441892624,0.121531642973423,0.2813621163368225,0.12241614609956741,0.10533205419778824,0.07366565614938736,0.10816814750432968
POSITIVE,0.7878609299659729,0.792513,1,0.02810312807559967,0.6167296767234802,0.018881186842918396,0.3050088584423065,0.009943109937012196,0.008670568466186523,0.012663440778851509,NEUTRAL,0.9191429018974304,0.080857,0,0.10405823588371277,0.13989025354385376,0.16543005406856537,0.16303479671478271,0.1552739143371582,0.12320080399513245,0.14911192655563354
NEUTRAL,0.884117603302002,0.115882,0,0.1189064085483551,0.7083763480186462,0.037713680416345596,0.04681508615612984,0.04416688159108162,0.02398676797747612,0.020034877583384514,NEUTRAL,0.8564990162849426,0.143501,0,0.22246216237545013,0.11472692340612411,0.19024118781089783,0.12197563052177429,0.12310902774333954,0.09664159268140793,0.13084346055984497
NEUTRAL,0.8052552342414856,0.194745,0,0.1103447675704956,0.22817187011241913,0.13956977427005768,0.17507556080818176,0.12343063950538635,0.12857356667518616,0.09483382105827332,NEUTRAL,0.846767246723175,0.153233,0,0.21350300312042236,0.2597910463809967,0.3754490613937378,0.050110962241888046,0.032311733812093735,0.03525371477007866,0.033580489456653595
NEUTRAL,0.823006808757782,0.176993,0,0.0729927271604538,0.7458387017250061,0.03078036941587925,0.1057552769780159,0.018880680203437805,0.013770150020718575,0.011982093565165997,NEUTRAL,0.6926482319831848,0.307352,0,0.17097093164920807,0.27172791957855225,0.2531124949455261,0.0869113951921463,0.08657603710889816,0.061247531324625015,0.06945368647575378
NEUTRAL,0.954988420009613,0.045012,0,0.11635571718215942,0.39443111419677734,0.07797101885080338,0.225826233625412,0.0665673092007637,0.06707751750946045,0.051771100610494614,NEUTRAL,0.7728539705276489,0.227146,0,0.25687411427497864,0.08140814304351807,0.3855159878730774,0.08949925750494003,0.07930970191955566,0.04143279418349266,0.06596002727746964
NEUTRAL,0.8994334936141968,0.100567,0,0.1829516887664795,0.4073616564273834,0.0673568844795227,0.08364748954772949,0.14914871752262115,0.059626203030347824,0.04990733414888382,NEUTRAL,0.9181036353111267,0.081896,0,0.15841442346572876,0.10366006195545197,0.4663258492946625,0.08035992830991745,0.08168049901723862,0.050830937922000885,0.05872836709022522
NEUTRAL,0.9048507213592529,0.095149,0,0.1514938622713089,0.3860895335674286,0.11623281240463257,0.1105281263589859,0.09334322810173035,0.07784662395715714,0.06446577608585358,NEUTRAL,0.7099211812019348,0.290079,0,0.14755387604236603,0.11245737224817276,0.48174384236335754,0.08851418644189835,0.06962530314922333,0.044099513441324234,0.05600598454475403
NEGATIVE,0.5997545719146729,0.637841,1,0.22636227309703827,0.3384346067905426,0.05303851142525673,0.17218145728111267,0.11882008612155914,0.05255158245563507,0.038611434400081635,NEUTRAL,0.9059118628501892,0.094088,0,0.09377961605787277,0.11361929774284363,0.39434269070625305,0.12377055734395981,0.14123642444610596,0.07611243426799774,0.05713904649019241
NEUTRAL,0.7865177392959595,0.213482,0,0.013909033499658108,0.9170024991035461,0.008865796029567719,0.012721553444862366,0.022043295204639435,0.01717480644583702,0.008283058181405067,NEUTRAL,0.8111789226531982,0.188821,0,0.09128664433956146,0.12130746990442276,0.4209595024585724,0.12361735850572586,0.10641425102949142,0.06513099372386932,0.07128378003835678
NEUTRAL,0.8905587792396545,0.109441,0,0.15576572716236115,0.15821175277233124,0.1973516196012497,0.11424761265516281,0.16573292016983032,0.09400977194309235,0.11468063294887543,NEUTRAL,0.732729971408844,0.26727,0,0.15802279114723206,0.13790248334407806,0.2476581186056137,0.12226203829050064,0.1350196748971939,0.10298709571361542,0.09614778310060501
NEGATIVE,0.9919455647468567,0.992851,1,0.025388119742274284,0.19645264744758606,0.02006247639656067,0.004771239589899778,0.6601123213768005,0.08854261785745621,0.004670547321438789,POSITIVE,0.8060940504074097,0.836497,1,0.0105831827968359,0.16076315939426422,0.1350628286600113,0.3132880628108978,0.01883651316165924,0.19267448782920837,0.16879191994667053
NEUTRAL,0.9934594631195068,0.006541,0,0.024748748168349266,0.6511073708534241,0.10196052491664886,0.06094316020607948,0.0707407146692276,0.048876773566007614,0.04162270575761795,NEUTRAL,0.9800211787223816,0.019979,0,0.17946046590805054,0.07674594968557358,0.24280954897403717,0.1382487565279007,0.16495566070079803,0.0936695858836174,0.1041100025177002
NEGATIVE,0.5786975622177124,0.654517,1,0.016060324385762215,0.12283103168010712,0.1783142238855362,0.013120069168508053,0.2932667136192322,0.02824603021144867,0.34816157817840576,POSITIVE,0.7503747344017029,0.78044,1,0.13051649928092957,0.055141087621450424,0.451546847820282,0.08350926637649536,0.1299254298210144,0.07332812249660492,0.07603273540735245
NEUTRAL,0.7497758269309998,0.250224,0,0.024845711886882782,0.04932770878076553,0.3328492343425751,0.021368414163589478,0.03508780896663666,0.08309318125247955,0.4534279406070709,POSITIVE,0.48592033982276917,0.537459,1,0.5530049204826355,0.04669879376888275,0.2087756246328354,0.054766833782196045,0.06870990991592407,0.03522704169154167,0.032816868275403976
NEUTRAL,0.7072882056236267,0.292712,0,0.15183280408382416,0.28863051533699036,0.15425969660282135,0.09912165999412537,0.10777468979358673,0.14069435000419617,0.05768628790974617,POSITIVE,0.4764254689216614,0.59363,1,0.1113322302699089,0.10298382490873337,0.38933566212654114,0.08445234596729279,0.15276700258255005,0.07694163173437119,0.08218739181756973
NEUTRAL,0.6451361775398254,0.354864,0,0.06260411441326141,0.5051825642585754,0.09289998561143875,0.07207871973514557,0.10011031478643417,0.062205277383327484,0.10491908341646194,NEUTRAL,0.4431352913379669,0.556865,0,0.21337035298347473,0.11372747272253036,0.37581613659858704,0.06227591633796692,0.1088028997182846,0.06599052995443344,0.06001665070652962
NEGATIVE,0.49170538783073425,0.546831,1,0.053786564618349075,0.25000765919685364,0.1383829563856125,0.046622663736343384,0.4173218309879303,0.05321716144680977,0.04066118597984314,NEUTRAL,0.4614294767379761,0.538571,0,0.17184673249721527,0.06203765422105789,0.21821048855781555,0.101051926612854,0.24064034223556519,0.10051940381526947,0.10569345206022263
NEUTRAL,0.9393608570098877,0.060639,0,0.1270599216222763,0.24005141854286194,0.13427944481372833,0.10748516023159027,0.1703428477048874,0.12196037173271179,0.09882088005542755,NEUTRAL,0.9419039487838745,0.058096,0,0.5032411217689514,0.03345063701272011,0.23137663304805756,0.06888687610626221,0.05752077326178551,0.0584152415394783,0.04710878059267998
NEUTRAL,0.536307156085968,0.463693,0,0.27749982476234436,0.4309467673301697,0.06807302683591843,0.06660447269678116,0.06109379231929779,0.04600447416305542,0.04977763816714287,NEUTRAL,0.885002613067627,0.114997,0,0.10989879071712494,0.051090363413095474,0.6155907511711121,0.051459819078445435,0.08999434858560562,0.03353407233953476,0.04843194782733917
NEUTRAL,0.9371967315673828,0.062803,0,0.268932044506073,0.4540005028247833,0.0671360120177269,0.10170511901378632,0.05330566316843033,0.027298005297780037,0.0276226494461298,NEUTRAL,0.9337493181228638,0.066251,0,0.14151793718338013,0.11791758984327316,0.6584623456001282,0.02019071951508522,0.03192470967769623,0.0134455980733037,0.01654106192290783
NEGATIVE,0.661844789981842,0.675501,1,0.06252112984657288,0.7440601587295532,0.024040747433900833,0.03598495200276375,0.08340205997228622,0.0295926071703434,0.020398389548063278,NEUTRAL,0.9446040391921997,0.055396,0,0.07411076873540878,0.016481731086969376,0.8520033955574036,0.01582142896950245,0.019305454567074776,0.010690462775528431,0.011586795561015606
NEGATIVE,0.5453189611434937,0.552415,1,0.0675266906619072,0.41343075037002563,0.1186656579375267,0.05722039192914963,0.21386070549488068,0.07433248311281204,0.054963354021310806,NEUTRAL,0.9328086376190186,0.067191,0,0.19019706547260284,0.10847403109073639,0.16391482949256897,0.14668148756027222,0.13338005542755127,0.1655750572681427,0.0917774885892868
NEUTRAL,0.9858551621437073,0.014145,0,0.4815828502178192,0.27440178394317627,0.06409896165132523,0.03926335275173187,0.08459368348121643,0.030948711559176445,0.02511073276400566,NEUTRAL,0.9176299571990967,0.08237,0,0.0948185920715332,0.03433271870017052,0.7018171548843384,0.04373079910874367,0.05233975127339363,0.04234235733747482,0.030618559569120407
NEUTRAL,0.6466389894485474,0.353361,0,0.035275913774967194,0.3149780035018921,0.35670751333236694,0.16795067489147186,0.08516845107078552,0.024453038349747658,0.015466372482478619,NEUTRAL,0.9430413246154785,0.056959,0,0.11009729653596878,0.07606258988380432,0.6918359398841858,0.04169035330414772,0.036657605320215225,0.02011384442448616,0.02354244887828827
NEUTRAL,0.753972053527832,0.246028,0,0.04740174487233162,0.5837703943252563,0.053764693439006805,0.18831712007522583,0.052024610340595245,0.03485593572258949,0.039865512400865555,NEUTRAL,0.9074121713638306,0.092588,0,0.0908600240945816,0.014230972155928612,0.8380836248397827,0.016484307125210762,0.016560915857553482,0.010519105941057205,0.01326104998588562
NEGATIVE,0.8639582395553589,0.869344,1,0.9080222845077515,0.05930348113179207,0.006552277598530054,0.005309285596013069,0.00834965705871582,0.00702669657766819,0.005436311475932598,NEUTRAL,0.8470189571380615,0.152981,0,0.17534054815769196,0.11832641065120697,0.35167407989501953,0.10283107310533524,0.096878781914711,0.07408071309328079,0.08086832612752914
NEGATIVE,0.5907489657402039,0.595795,1,0.09212756901979446,0.43033912777900696,0.1002555564045906,0.06687682867050171,0.082496777176857,0.1729937344789505,0.054910436272621155,NEUTRAL,0.9541894793510437,0.045811,0,0.1810494363307953,0.04859383776783943,0.5008420944213867,0.08290649205446243,0.06714997440576553,0.05696270614862442,0.062495432794094086
NEUTRAL,0.9105718731880188,0.089428,0,0.05704038217663765,0.17052361369132996,0.06201658397912979,0.035831257700920105,0.5971387624740601,0.050066832453012466,0.027382580563426018,NEUTRAL,0.9806708097457886,0.019329,0,0.08138018846511841,0.04998423159122467,0.7442254424095154,0.03504205122590065,0.03465546295046806,0.030865279957652092,0.023847321048378944
NEUTRAL,0.9252260327339172,0.074774,0,0.7473178505897522,0.062303267419338226,0.034556519240140915,0.0327206552028656,0.06409527361392975,0.03218549117445946,0.02682097628712654,NEUTRAL,0.9692129492759705,0.030787,0,0.0905022919178009,0.10155296325683594,0.5402237772941589,0.08801091462373734,0.08193953335285187,0.039831582456827164,0.057938944548368454
NEUTRAL,0.7539095878601074,0.24609,0,0.0011338915210217237,0.9693801999092102,0.0016449246322736144,0.0048292940482497215,0.0008575534448027611,0.019063636660575867,0.003090530401095748,NEUTRAL,0.9544796943664551,0.04552,0,0.04090509191155434,0.07422313094139099,0.6644207835197449,0.07443319261074066,0.07272107154130936,0.03582092002034187,0.0374758318066597
NEGATIVE,0.8474764227867126,0.850938,1,0.015347080305218697,0.784679651260376,0.025614717975258827,0.03696802258491516,0.09775439649820328,0.02546064183115959,0.014175502583384514,NEUTRAL,0.9800583124160767,0.019942,0,0.10012095421552658,0.10989038646221161,0.5059106945991516,0.06683725863695145,0.08524637669324875,0.0630977600812912,0.06889655441045761
NEUTRAL,0.9559940695762634,0.044006,0,0.002328412374481559,0.9903910756111145,0.000985380494967103,0.0015497648855671287,0.0021147457882761955,0.0018130838871002197,0.0008175940602086484,NEUTRAL,0.6501017808914185,0.349898,0,0.00611367542296648,0.003973317798227072,0.9761683344841003,0.0029415152966976166,0.004366240929812193,0.001661648042500019,0.0047752950340509415
NEUTRAL,0.7241203188896179,0.27588,0,0.05541384965181351,0.499277800321579,0.13850967586040497,0.04867047816514969,0.049832865595817566,0.13120535016059875,0.07708995044231415,NEUTRAL,0.9295273423194885,0.070473,0,0.17456331849098206,0.08342280238866806,0.42146036028862,0.1058291494846344,0.08075442910194397,0.07545071840286255,0.058519210666418076
NEUTRAL,0.7946611642837524,0.205339,0,0.15396590530872345,0.3922349810600281,0.10289207100868225,0.09029531478881836,0.10955937206745148,0.09202661365270615,0.05902578681707382,NEUTRAL,0.9629651308059692,0.037035,0,0.05024579167366028,0.031780656427145004,0.6815729141235352,0.0824665054678917,0.062186118215322495,0.05290936678647995,0.03883865103125572
NEUTRAL,0.8577421307563782,0.142258,0,0.5875580906867981,0.09443457424640656,0.043526843190193176,0.05666748061776161,0.0562528558075428,0.03423263877630234,0.12732751667499542,NEUTRAL,0.9499942660331726,0.050006,0,0.1326160728931427,0.05230440944433212,0.6590753197669983,0.03845342993736267,0.04837004840373993,0.030161654576659203,0.03901907056570053
NEUTRAL,0.7404832243919373,0.259517,0,0.03679032251238823,0.3843514919281006,0.07173077762126923,0.07755111157894135,0.2802557349205017,0.08033116906881332,0.06898938119411469,NEUTRAL,0.9319014549255371,0.068099,0,0.12083569914102554,0.05276687815785408,0.6059901118278503,0.07871446013450623,0.05287380889058113,0.05438779294490814,0.034431301057338715
NEGATIVE,0.5805294513702393,0.593719,1,0.04409301280975342,0.06989017874002457,0.08892150968313217,0.030856944620609283,0.5283864736557007,0.11378710716962814,0.12406476587057114,NEUTRAL,0.9298716187477112,0.070128,0,0.10891158878803253,0.052024275064468384,0.5462605357170105,0.15038350224494934,0.05248407647013664,0.04036175087094307,0.04957418888807297
NEUTRAL,0.6554363965988159,0.344564,0,0.04907842352986336,0.7447962760925293,0.04926732927560806,0.03105347789824009,0.04781795293092728,0.04370441287755966,0.034282125532627106,NEUTRAL,0.7947308421134949,0.205269,0,0.09698638319969177,0.08557146042585373,0.543358564376831,0.11744049191474915,0.07299759238958359,0.03774958476424217,0.045895956456661224
NEUTRAL,0.6335865259170532,0.366413,0,0.17272712290287018,0.3643549084663391,0.07013258337974548,0.05977605655789375,0.07262061536312103,0.2102508544921875,0.05013788118958473,NEUTRAL,0.7047858834266663,0.295214,0,0.1412232220172882,0.09082603454589844,0.2283763736486435,0.17993448674678802,0.1432797759771347,0.08097246289253235,0.13538758456707
NEGATIVE,0.8526851534843445,0.858479,1,0.0528586320579052,0.7098420858383179,0.04179878905415535,0.07185886055231094,0.04850821569561958,0.03652743995189667,0.038605947047472,NEUTRAL,0.6461498737335205,0.35385,0,0.09617101401090622,0.10638941824436188,0.3584805130958557,0.0950949639081955,0.17980672419071198,0.09168479591608047,0.07237254828214645
NEUTRAL,0.9338746070861816,0.066125,0,0.06535480171442032,0.7077158093452454,0.04262758791446686,0.08437529951334,0.045770514756441116,0.03276774287223816,0.02138824202120304,NEUTRAL,0.885790228843689,0.11421,0,0.0482790544629097,0.04618777707219124,0.6570600867271423,0.08909976482391357,0.053945112973451614,0.04192175343632698,0.06350646913051605
NEUTRAL,0.8029066324234009,0.197093,0,0.15399247407913208,0.21566492319107056,0.14860990643501282,0.17803828418254852,0.07705611735582352,0.13407205045223236,0.09256626665592194,NEUTRAL,0.9265895485877991,0.07341,0,0.411495566368103,0.07365936785936356,0.1816285252571106,0.09400991350412369,0.07310294359922409,0.08618862181901932,0.07991499453783035
