human_sentiment_label,human_p_pos,human_p_neg,human_p_neu,human_signed_polarity,human_affective_extremity,human_is_subjective,llm_sentiment_label,llm_p_pos,llm_p_neg,llm_p_neu,llm_signed_polarity,llm_affective_extremity,llm_is_subjective
NEUTRAL,0.010293,0.213416,0.776292,-0.203123,0.223708,0,NEUTRAL,0.020643,0.021936,0.957421,-0.001293,0.042579,0
NEUTRAL,0.025398,0.079496,0.895106,-0.054098,0.104894,0,NEUTRAL,0.04726,0.020017,0.932723,0.027244,0.067277,0
NEUTRAL,0.01101,0.04575,0.943241,-0.03474,0.056759,0,NEUTRAL,0.016732,0.068139,0.91513,-0.051407,0.08487,0
NEUTRAL,0.032884,0.028796,0.93832,0.004088,0.06168,0,NEUTRAL,0.034868,0.02804,0.937092,0.006828,0.062908,0
NEGATIVE,0.002424,0.972381,0.025195,-0.969957,0.974805,1,POSITIVE,0.54683,0.010761,0.442409,0.536069,0.557591,1
NEUTRAL,0.108388,0.052617,0.838995,0.055771,0.161005,0,NEUTRAL,0.212796,0.006326,0.780878,0.20647,0.219122,0
NEGATIVE,0.014551,0.877636,0.107813,-0.863084,0.892187,1,NEUTRAL,0.285736,0.014154,0.700111,0.271582,0.299889,0
NEUTRAL,0.024146,0.010281,0.965573,0.013866,0.034427,0,NEUTRAL,0.088228,0.052382,0.85939,0.035845,0.14061,0
NEUTRAL,0.027658,0.280344,0.691999,-0.252686,0.308001,0,NEUTRAL,0.241663,0.029209,0.729128,0.212455,0.270872,0
NEGATIVE,0.013432,0.923193,0.063375,-0.909761,0.936625,1,NEUTRAL,0.060271,0.024052,0.915677,0.036219,0.084323,0
NEUTRAL,0.040383,0.030044,0.929573,0.010338,0.070427,0,NEUTRAL,0.138927,0.010102,0.850971,0.128825,0.149029,0
NEUTRAL,0.032929,0.169875,0.797196,-0.136946,0.202804,0,NEUTRAL,0.222801,0.022872,0.754327,0.199929,0.245673,0
NEUTRAL,0.013535,0.038325,0.94814,-0.02479,0.05186,0,NEUTRAL,0.02667,0.131116,0.842214,-0.104446,0.157786,0
NEGATIVE,0.030649,0.512569,0.456783,-0.48192,0.543217,1,NEUTRAL,0.036874,0.021164,0.941962,0.01571,0.058038,0
NEUTRAL,0.031615,0.443759,0.524625,-0.412144,0.475375,0,NEUTRAL,0.01442,0.005522,0.980057,0.008898,0.019943,0
NEUTRAL,0.107013,0.022031,0.870956,0.084981,0.129044,0,NEUTRAL,0.061191,0.007747,0.931062,0.053445,0.068938,0
POSITIVE,0.981679,0.000307,0.018015,0.981372,0.981985,1,NEUTRAL,0.068313,0.008362,0.923325,0.059952,0.076675,0
POSITIVE,0.598211,0.011784,0.390005,0.586427,0.609995,1,NEUTRAL,0.177262,0.011807,0.810931,0.165454,0.189069,0
NEUTRAL,0.059396,0.045029,0.895575,0.014367,0.104425,0,NEUTRAL,0.007021,0.037146,0.955833,-0.030125,0.044167,0
NEUTRAL,0.014956,0.005353,0.979691,0.009603,0.020309,0,NEUTRAL,0.021656,0.075539,0.902806,-0.053883,0.097194,0
NEGATIVE,0.020562,0.598513,0.380925,-0.57795,0.619075,1,NEUTRAL,0.025188,0.320336,0.654476,-0.295148,0.345524,0
NEUTRAL,0.026573,0.036873,0.936554,-0.0103,0.063446,0,NEUTRAL,0.014969,0.023735,0.961296,-0.008766,0.038704,0
NEUTRAL,0.010802,0.00532,0.983878,0.005482,0.016122,0,NEUTRAL,0.019481,0.129974,0.850546,-0.110493,0.149454,0
NEGATIVE,0.008855,0.672099,0.319046,-0.663244,0.680954,1,NEUTRAL,0.047648,0.081152,0.8712,-0.033504,0.1288,0
NEUTRAL,0.021684,0.055549,0.922768,-0.033865,0.077232,0,NEUTRAL,0.049495,0.077563,0.872943,-0.028067,0.127057,0
NEUTRAL,0.024487,0.023438,0.952074,0.001049,0.047926,0,NEUTRAL,0.034345,0.064137,0.901518,-0.029792,0.098482,0
NEUTRAL,0.024822,0.250181,0.724997,-0.225358,0.275003,0,NEUTRAL,0.022329,0.061454,0.916218,-0.039125,0.083782,0
NEGATIVE,0.010925,0.7335,0.255576,-0.722575,0.744424,1,NEGATIVE,0.007505,0.883756,0.108739,-0.876251,0.891261,1
NEGATIVE,0.006285,0.889323,0.104392,-0.883038,0.895608,1,NEUTRAL,0.171909,0.091632,0.736459,0.080277,0.263541,0
NEUTRAL,0.023488,0.464746,0.511766,-0.441257,0.488234,0,NEUTRAL,0.150062,0.167677,0.682261,-0.017615,0.317739,0
NEUTRAL,0.088408,0.035241,0.876351,0.053167,0.123649,0,NEUTRAL,0.173592,0.083482,0.742927,0.09011,0.257073,0
NEUTRAL,0.031051,0.046882,0.922067,-0.01583,0.077933,0,POSITIVE,0.926981,0.003725,0.069294,0.923256,0.930706,1
NEUTRAL,0.077829,0.038388,0.883782,0.039441,0.116218,0,POSITIVE,0.782208,0.010413,0.207379,0.771794,0.792621,1
NEUTRAL,0.04826,0.048457,0.903282,-0.000197,0.096718,0,NEUTRAL,0.038804,0.161424,0.799772,-0.12262,0.200228,0
NEUTRAL,0.023505,0.063702,0.912793,-0.040197,0.087207,0,NEGATIVE,0.004669,0.89313,0.102201,-0.88846,0.897799,1
NEUTRAL,0.015293,0.030444,0.954262,-0.015151,0.045738,0,NEUTRAL,0.030696,0.314469,0.654835,-0.283774,0.345165,0
NEGATIVE,0.007586,0.766343,0.22607,-0.758757,0.77393,1,NEUTRAL,0.024899,0.279574,0.695527,-0.254674,0.304473,0
NEUTRAL,0.039502,0.136759,0.823739,-0.097257,0.176261,0,NEGATIVE,0.028005,0.524453,0.447543,-0.496448,0.552457,1
NEGATIVE,0.008856,0.727138,0.264006,-0.718281,0.735994,1,NEUTRAL,0.075585,0.016292,0.908124,0.059293,0.091876,0
NEUTRAL,0.169082,0.003979,0.82694,0.165103,0.17306,0,NEUTRAL,0.094131,0.008663,0.897207,0.085468,0.102793,0
NEUTRAL,0.054769,0.00387,0.94136,0.050899,0.05864,0,NEUTRAL,0.029466,0.008774,0.96176,0.020692,0.03824,0
NEUTRAL,0.238689,0.004003,0.757308,0.234686,0.242692,0,NEUTRAL,0.047781,0.004992,0.947227,0.04279,0.052773,0
NEUTRAL,0.057361,0.019704,0.922935,0.037656,0.077065,0,NEUTRAL,0.101077,0.004484,0.894439,0.096593,0.105561,0
NEUTRAL,0.016239,0.440206,0.543555,-0.423966,0.456445,0,NEUTRAL,0.11141,0.006272,0.882318,0.105138,0.117682,0
NEUTRAL,0.022137,0.017761,0.960102,0.004376,0.039898,0,NEUTRAL,0.18503,0.003386,0.811584,0.181643,0.188416,0
NEUTRAL,0.440508,0.02386,0.535632,0.416648,0.464368,0,NEUTRAL,0.137006,0.003949,0.859045,0.133056,0.140955,0
NEUTRAL,0.009115,0.185493,0.805393,-0.176378,0.194607,0,NEUTRAL,0.064354,0.353673,0.581973,-0.289318,0.418027,0
POSITIVE,0.97199,0.001375,0.026635,0.970615,0.973365,1,NEUTRAL,0.088099,0.023363,0.888538,0.064736,0.111462,0
NEUTRAL,0.024304,0.048323,0.927373,-0.024019,0.072627,0,NEUTRAL,0.219718,0.019228,0.761055,0.20049,0.238945,0
NEUTRAL,0.007551,0.02539,0.967059,-0.017839,0.032941,0,NEUTRAL,0.307511,0.009237,0.683252,0.298275,0.316748,0
POSITIVE,0.692697,0.00306,0.304243,0.689638,0.695757,1,NEUTRAL,0.17599,0.02008,0.803929,0.15591,0.196071,0
NEUTRAL,0.051888,0.02157,0.926542,0.030318,0.073458,0,NEUTRAL,0.121474,0.051959,0.826567,0.069514,0.173433,0
NEUTRAL,0.010306,0.013326,0.976369,-0.00302,0.023631,0,NEUTRAL,0.069973,0.022685,0.907341,0.047288,0.092659,0
NEUTRAL,0.069876,0.030593,0.899531,0.039283,0.100469,0,NEUTRAL,0.037443,0.033357,0.9292,0.004086,0.0708,0
NEGATIVE,0.007638,0.501544,0.490818,-0.493905,0.509182,1,NEUTRAL,0.035178,0.053755,0.911067,-0.018578,0.088933,0
NEUTRAL,0.007124,0.058796,0.93408,-0.051672,0.06592,0,NEUTRAL,0.060428,0.039209,0.900363,0.021218,0.099637,0
NEUTRAL,0.002612,0.008079,0.989308,-0.005467,0.010692,0,NEUTRAL,0.065826,0.081986,0.852188,-0.01616,0.147812,0
NEUTRAL,0.015162,0.138294,0.846544,-0.123133,0.153456,0,NEUTRAL,0.053653,0.082759,0.863588,-0.029106,0.136412,0
NEUTRAL,0.05841,0.269357,0.672233,-0.210947,0.327767,0,NEUTRAL,0.063706,0.077804,0.85849,-0.014098,0.14151,0
NEUTRAL,0.120756,0.0965,0.782744,0.024257,0.217256,0,NEUTRAL,0.060199,0.023817,0.915984,0.036381,0.084016,0
NEUTRAL,0.027398,0.154592,0.81801,-0.127194,0.18199,0,NEUTRAL,0.056288,0.097973,0.84574,-0.041685,0.15426,0
NEUTRAL,0.025207,0.168494,0.806299,-0.143286,0.193701,0,NEUTRAL,0.057255,0.0724,0.870345,-0.015145,0.129655,0
NEUTRAL,0.015717,0.16049,0.823794,-0.144773,0.176206,0,NEUTRAL,0.11929,0.108099,0.772611,0.011192,0.227389,0
NEUTRAL,0.018503,0.007849,0.973648,0.010653,0.026352,0,NEUTRAL,0.039406,0.094263,0.866332,-0.054857,0.133668,0
NEUTRAL,0.02785,0.129235,0.842915,-0.101386,0.157085,0,NEUTRAL,0.0823,0.199416,0.718285,-0.117116,0.281715,0
NEUTRAL,0.009208,0.265249,0.725543,-0.256041,0.274457,0,NEUTRAL,0.134043,0.126116,0.739841,0.007928,0.260159,0
NEUTRAL,0.174492,0.060037,0.765471,0.114455,0.234529,0,NEUTRAL,0.086221,0.130374,0.783406,-0.044153,0.216594,0
NEUTRAL,0.004936,0.02291,0.972153,-0.017974,0.027847,0,NEUTRAL,0.054375,0.04926,0.896365,0.005115,0.103635,0
NEGATIVE,0.098214,0.515719,0.386066,-0.417505,0.613934,1,NEUTRAL,0.089957,0.101305,0.808738,-0.011348,0.191262,0
NEGATIVE,0.032118,0.512799,0.455084,-0.480681,0.544916,1,NEUTRAL,0.032593,0.086469,0.880938,-0.053876,0.119062,0
NEUTRAL,0.009528,0.073507,0.916966,-0.063979,0.083034,0,NEUTRAL,0.04841,0.058257,0.893333,-0.009847,0.106667,0
NEGATIVE,0.119508,0.493071,0.387421,-0.373563,0.612579,1,NEUTRAL,0.03493,0.025567,0.939503,0.009363,0.060497,0
NEUTRAL,0.025523,0.387364,0.587113,-0.361841,0.412887,0,NEUTRAL,0.027872,0.03006,0.942068,-0.002188,0.057932,0
NEUTRAL,0.032466,0.012741,0.954794,0.019725,0.045206,0,POSITIVE,0.744707,0.012105,0.243188,0.732602,0.756812,1
NEUTRAL,0.013075,0.145532,0.841393,-0.132458,0.158607,0,NEUTRAL,0.016044,0.070214,0.913742,-0.05417,0.086258,0
NEUTRAL,0.419444,0.024207,0.556349,0.395237,0.443651,0,NEUTRAL,0.012933,0.26167,0.725397,-0.248736,0.274603,0
NEUTRAL,0.035878,0.00948,0.954642,0.026399,0.045358,0,NEUTRAL,0.030845,0.062036,0.90712,-0.031191,0.09288,0
NEUTRAL,0.020806,0.0192,0.959994,0.001606,0.040006,0,NEUTRAL,0.055469,0.021198,0.923332,0.034271,0.076668,0
NEUTRAL,0.015594,0.04453,0.939876,-0.028936,0.060124,0,NEUTRAL,0.048587,0.026155,0.925258,0.022433,0.074742,0
NEUTRAL,0.017332,0.006279,0.976388,0.011053,0.023612,0,NEUTRAL,0.059355,0.013991,0.926654,0.045364,0.073346,0
POSITIVE,0.928493,0.002515,0.068993,0.925978,0.931007,1,NEUTRAL,0.067812,0.014203,0.917986,0.053609,0.082014,0
NEUTRAL,0.031058,0.014782,0.954161,0.016276,0.045839,0,NEUTRAL,0.115487,0.019217,0.865295,0.09627,0.134705,0
POSITIVE,0.946375,0.004635,0.04899,0.94174,0.95101,1,NEUTRAL,0.092897,0.009237,0.897866,0.08366,0.102134,0
NEUTRAL,0.014109,0.012053,0.973838,0.002056,0.026162,0,NEUTRAL,0.037758,0.00992,0.952322,0.027838,0.047678,0
NEUTRAL,0.148182,0.015948,0.83587,0.132234,0.16413,0,NEUTRAL,0.021801,0.014573,0.963626,0.007227,0.036374,0
NEUTRAL,0.32887,0.019299,0.651831,0.309571,0.348169,0,NEUTRAL,0.062911,0.007779,0.929311,0.055132,0.070689,0
NEUTRAL,0.036134,0.01154,0.952326,0.024594,0.047674,0,NEUTRAL,0.059256,0.010581,0.930163,0.048675,0.069837,0
POSITIVE,0.483791,0.038312,0.477897,0.44548,0.522103,1,NEUTRAL,0.347572,0.007105,0.645323,0.340466,0.354677,0
NEUTRAL,0.052128,0.035135,0.912737,0.016994,0.087263,0,NEUTRAL,0.146207,0.018977,0.834815,0.12723,0.165185,0
NEUTRAL,0.210506,0.010496,0.778998,0.20001,0.221002,0,NEUTRAL,0.12111,0.025314,0.853576,0.095796,0.146424,0
NEUTRAL,0.08746,0.016417,0.896123,0.071044,0.103877,0,NEUTRAL,0.139535,0.025077,0.835389,0.114458,0.164611,0
NEUTRAL,0.012249,0.017658,0.970092,-0.005409,0.029908,0,NEUTRAL,0.02446,0.037055,0.938485,-0.012594,0.061515,0
NEUTRAL,0.023123,0.032211,0.944665,-0.009088,0.055335,0,NEUTRAL,0.024893,0.174683,0.800424,-0.149789,0.199576,0
NEUTRAL,0.051097,0.044974,0.90393,0.006123,0.09607,0,NEUTRAL,0.014265,0.311605,0.67413,-0.297339,0.32587,0
POSITIVE,0.976744,0.000468,0.022789,0.976276,0.977211,1,NEUTRAL,0.07705,0.004187,0.918763,0.072863,0.081237,0
NEUTRAL,0.224721,0.009726,0.765553,0.214995,0.234447,0,NEUTRAL,0.025267,0.004921,0.969812,0.020347,0.030188,0
NEUTRAL,0.082128,0.019089,0.898783,0.06304,0.101217,0,NEUTRAL,0.033001,0.015176,0.951823,0.017825,0.048177,0
POSITIVE,0.712223,0.001215,0.286561,0.711008,0.713439,1,NEUTRAL,0.103953,0.004331,0.891716,0.099622,0.108284,0
NEUTRAL,0.046706,0.028887,0.924406,0.017819,0.075594,0,NEUTRAL,0.234396,0.012557,0.753047,0.221838,0.246953,0
POSITIVE,0.861542,0.005108,0.13335,0.856434,0.86665,1,NEUTRAL,0.114387,0.012568,0.873044,0.101819,0.126956,0
NEUTRAL,0.012945,0.036565,0.95049,-0.023619,0.04951,0,NEUTRAL,0.068926,0.011884,0.91919,0.057042,0.08081,0
POSITIVE,0.987491,0.000766,0.011743,0.986725,0.988257,1,NEUTRAL,0.093191,0.017781,0.889028,0.07541,0.110972,0
NEUTRAL,0.051743,0.02485,0.923407,0.026894,0.076593,0,NEUTRAL,0.077369,0.022928,0.899703,0.054442,0.100297,0
POSITIVE,0.833979,0.006092,0.159929,0.827888,0.840071,1,NEUTRAL,0.245853,0.02083,0.733317,0.225023,0.266683,0
NEUTRAL,0.036495,0.029152,0.934353,0.007344,0.065647,0,NEUTRAL,0.054723,0.024199,0.921077,0.030524,0.078923,0
POSITIVE,0.957466,0.002897,0.039637,0.95457,0.960363,1,NEUTRAL,0.380273,0.014958,0.604769,0.365315,0.395231,0
NEUTRAL,0.035588,0.138145,0.826267,-0.102557,0.173733,0,NEUTRAL,0.258886,0.020254,0.72086,0.238632,0.27914,0
NEUTRAL,0.018112,0.257787,0.724101,-0.239675,0.275899,0,NEUTRAL,0.326785,0.015409,0.657806,0.311376,0.342194,0
POSITIVE,0.648323,0.008189,0.343488,0.640133,0.656512,1,NEUTRAL,0.048413,0.048413,0.903174,-0.0,0.096826,0
NEUTRAL,0.321142,0.127615,0.551243,0.193527,0.448757,0,NEUTRAL,0.03365,0.066987,0.899363,-0.033336,0.100637,0
NEUTRAL,0.413201,0.010334,0.576464,0.402867,0.423536,0,NEUTRAL,0.034862,0.08236,0.882778,-0.047498,0.117222,0
POSITIVE,0.775676,0.016103,0.208221,0.759573,0.791779,1,NEUTRAL,0.039155,0.126669,0.834176,-0.087514,0.165824,0
NEUTRAL,0.12613,0.014956,0.858914,0.111174,0.141086,0,NEUTRAL,0.026957,0.246323,0.726721,-0.219366,0.273279,0
