feature_group,feature,analysis,purpose,equation,results_formal,results_informal,dz_formal_baseline,dz_formal_human_like,dz_formal_detector_aware,dz_formal_detector_evasive,dz_informal_baseline,dz_informal_human_like,dz_informal_detector_aware,dz_informal_detector_evasive,summary
stylometric_surface,trigram_repetition_rate,Trigram repetition rate,Repetition of 3-word sequences.,repeated trigram occurrences / total trigrams over alpha tokens.,base -0.63* | h-like -0.53* | det-aware -0.72* | det-evasive +0.88*,base -0.01 | h-like +0.04* | det-aware -0.01* | det-evasive -0.05,-0.631,-0.528,-0.72,0.883,-0.014,0.037,-0.005,-0.053,mixed (direction varies by condition); up to large effect (|dz|max 0.88); significant in 6 of 8 tests
stylometric_surface,punct_comma,Commas per 100 tokens,Comma usage; higher = more clause chaining / listing.,"count of ',' in raw text / non-space tokens * 100.",base +1.67* | h-like +1.55* | det-aware +1.55* | det-evasive -0.27*,base +0.17* | h-like +0.29* | det-aware +0.37* | det-evasive -0.23*,1.674,1.552,1.552,-0.271,0.168,0.295,0.368,-0.231,mixed (direction varies by condition); up to large effect (|dz|max 1.67); significant in 8 of 8 tests
stylometric_surface,punct_period,Periods per 100 tokens,Sentence-final punctuation density (inversely tracks sentence length).,count of '.' / non-space tokens * 100.,base -0.87* | h-like -0.97* | det-aware -0.46* | det-evasive +2.32*,base -0.27* | h-like -0.28* | det-aware -0.25* | det-evasive +0.17*,-0.87,-0.966,-0.458,2.318,-0.275,-0.278,-0.252,0.173,mixed (direction varies by condition); up to large effect (|dz|max 2.32); significant in 8 of 8 tests
stylometric_surface,punct_semicolon,Semicolons per 100 tokens,Semicolon usage (formal clause linking).,count of ';' / non-space tokens * 100.,base -0.45* | h-like -0.44* | det-aware -0.41* | det-evasive -0.44*,base -0.09 | h-like -0.11* | det-aware -0.11* | det-evasive -0.11*,-0.447,-0.436,-0.408,-0.438,-0.09,-0.108,-0.111,-0.112,Human > LLM; up to small effect (|dz|max 0.45); significant in 7 of 8 tests
stylometric_surface,punct_colon,Colons per 100 tokens,Colon usage (introductions / lists).,count of ':' / non-space tokens * 100.,base -0.07 | h-like -0.01* | det-aware +0.22* | det-evasive -0.29*,base -0.14* | h-like -0.04* | det-aware -0.07* | det-evasive -0.16*,-0.071,-0.008,0.216,-0.294,-0.136,-0.041,-0.065,-0.158,mixed (direction varies by condition); up to small effect (|dz|max 0.29); significant in 7 of 8 tests
stylometric_surface,punct_dash,Dashes per 100 tokens,Em/en-dash usage (parenthetical / appositive style).,(count of em-dash + count of en-dash) / non-space tokens * 100.,base +0.53* | h-like +0.71* | det-aware +0.56* | det-evasive -0.16,base +0.31* | h-like +0.78* | det-aware +0.50* | det-evasive +0.16*,0.526,0.71,0.56,-0.16,0.31,0.781,0.504,0.163,LLM > Human; up to medium effect (|dz|max 0.78); significant in 7 of 8 tests
stylometric_surface,punct_exclaim,Exclamation marks per 100 tokens,Expressive punctuation (informal register).,count of '!' / non-space tokens * 100 (informal only).,not tested,base +0.23* | h-like -0.15* | det-aware -0.15* | det-evasive -0.16*,,,,,0.226,-0.153,-0.153,-0.159,mixed (direction varies by condition); up to small effect (|dz|max 0.23); significant in 4 of 4 tests
stylometric_surface,punct_question,Question marks per 100 tokens,Interrogative / expressive punctuation (informal register).,count of '?' / non-space tokens * 100 (informal only).,not tested,base -0.26* | h-like -0.29* | det-aware -0.27* | det-evasive -0.19,,,,,-0.258,-0.289,-0.274,-0.194,Human > LLM; up to small effect (|dz|max 0.29); significant in 3 of 4 tests
stylometric_surface,punct_ellipsis,Ellipses per 100 tokens,Trailing / expressive punctuation (informal register).,count of '...' / non-space tokens * 100 (informal only).,not tested,base -0.16* | h-like -0.16* | det-aware -0.16* | det-evasive +0.02*,,,,,-0.161,-0.164,-0.164,0.018,mixed (direction varies by condition); up to small effect (|dz|max 0.16); significant in 4 of 4 tests
pragmatic_markers,hedge_rate,Hedges per 100 tokens,"Epistemic mitigation: markers reducing commitment (uncertainty, approximation, softening).","matches of the 65-form hedge lexicon (case-insensitive; multi-word entries matched as non-overlapping phrases, longest first; polysemous items POS-gated) / alpha tokens * 100.",base +0.64* | h-like +0.92* | det-aware +1.03* | det-evasive +0.26*,base +0.30* | h-like +0.18* | det-aware +0.34* | det-evasive -0.16*,0.643,0.917,1.034,0.265,0.296,0.181,0.341,-0.162,mixed (direction varies by condition); up to large effect (|dz|max 1.03); significant in 8 of 8 tests
pragmatic_markers,hedge_count,Hedges (raw count),Absolute number of hedge markers in the document.,number of hedge-lexicon matches.,base +0.57* | h-like +1.29* | det-aware +1.38* | det-evasive +0.68*,base +0.85* | h-like +1.39* | det-aware +1.61* | det-evasive +0.77*,0.568,1.293,1.377,0.68,0.851,1.391,1.608,0.769,LLM > Human; up to large effect (|dz|max 1.61); significant in 8 of 8 tests
pragmatic_markers,hedge_formal_rate,Formal-register hedges per 100 tokens,"Written-leaning hedging (e.g. sannolikt, torde, i viss man).",hedge matches tagged register = formal / alpha tokens * 100.,base -0.02 | h-like -0.00 | det-aware -0.01 | det-evasive -0.10,base -0.02 | h-like -0.02* | det-aware -0.02* | det-evasive -0.04,-0.018,-0.002,-0.005,-0.104,-0.025,-0.018,-0.016,-0.043,Human > LLM; up to small effect (|dz|max 0.02); significant in 2 of 8 tests
pragmatic_markers,hedge_formal_count,Formal-register hedges (count),Absolute number of formal-register hedges.,count of register = formal hedge matches.,base +0.00 | h-like +0.14 | det-aware +0.14* | det-evasive +0.03,base +0.05 | h-like +0.19* | det-aware +0.16* | det-evasive +0.09*,0.0,0.138,0.142,0.025,0.053,0.194,0.161,0.092,LLM > Human; up to small effect (|dz|max 0.19); significant in 4 of 8 tests
pragmatic_markers,hedge_neutral_rate,Neutral-register hedges per 100 tokens,"Register-neutral hedging (e.g. kanske, kan, tror, ungefar).",hedge matches tagged register = neutral / alpha tokens * 100.,base +0.75* | h-like +0.89* | det-aware +0.81* | det-evasive +0.23*,base +0.43* | h-like -0.04* | det-aware -0.03* | det-evasive -0.22*,0.751,0.891,0.812,0.23,0.428,-0.043,-0.031,-0.22,mixed (direction varies by condition); up to large effect (|dz|max 0.89); significant in 8 of 8 tests
pragmatic_markers,hedge_neutral_count,Neutral-register hedges (count),Absolute number of neutral-register hedges.,count of register = neutral hedge matches.,base +0.68* | h-like +1.25* | det-aware +1.17* | det-evasive +0.63*,base +0.87* | h-like +0.93* | det-aware +0.96* | det-evasive +0.53*,0.682,1.246,1.168,0.625,0.874,0.931,0.963,0.527,LLM > Human; up to large effect (|dz|max 1.25); significant in 8 of 8 tests
pragmatic_markers,hedge_informal_rate,Informal-register hedges per 100 tokens,"Spoken-leaning hedging (e.g. typ, ba, liksom, gissar).",hedge matches tagged register = informal / alpha tokens * 100.,base -0.03 | h-like +0.23* | det-aware +0.63* | det-evasive +0.24*,base -0.04* | h-like +0.31* | det-aware +0.52* | det-evasive +0.00*,-0.028,0.229,0.629,0.239,-0.04,0.313,0.521,0.0,mixed (direction varies by condition); up to medium effect (|dz|max 0.63); significant in 7 of 8 tests
pragmatic_markers,hedge_informal_count,Informal-register hedges (count),Absolute number of informal-register hedges.,count of register = informal hedge matches.,base -0.13 | h-like +0.34* | det-aware +1.04* | det-evasive +0.41*,base +0.30* | h-like +1.41* | det-aware +1.72* | det-evasive +0.73*,-0.132,0.341,1.038,0.413,0.303,1.408,1.718,0.727,LLM > Human; up to large effect (|dz|max 1.72); significant in 7 of 8 tests
pragmatic_markers,booster_rate,Boosters per 100 tokens,"Intensifiers that amplify force (e.g. valdigt, verkligen, helt).",booster-lexicon matches (case-insensitive whole-word) / alpha tokens * 100 (informal only).,not tested,base +0.13* | h-like +0.01* | det-aware -0.02* | det-evasive -0.22*,,,,,0.132,0.01,-0.025,-0.216,mixed (direction varies by condition); up to small effect (|dz|max 0.22); significant in 4 of 4 tests
pragmatic_markers,booster_count,Boosters (raw count),Absolute number of booster markers.,number of booster-lexicon matches (informal only).,not tested,base +0.51* | h-like +0.71* | det-aware +0.60* | det-evasive -0.12*,,,,,0.506,0.709,0.601,-0.119,mixed (direction varies by condition); up to medium effect (|dz|max 0.71); significant in 4 of 4 tests
pragmatic_markers,negation_rate,Negation per 100 tokens,"Frequency of negation markers (inte, ej, aldrig, ingen ...).",negation-lexicon matches (case-insensitive whole-word) / alpha tokens * 100.,base -0.28* | h-like +0.08* | det-aware +0.57* | det-evasive -0.18,base -0.31* | h-like -0.13 | det-aware -0.07* | det-evasive +0.11*,-0.275,0.078,0.571,-0.177,-0.308,-0.134,-0.071,0.113,mixed (direction varies by condition); up to medium effect (|dz|max 0.57); significant in 6 of 8 tests
pragmatic_markers,negation_count,Negation (raw count),Absolute number of negation markers.,number of negation-lexicon matches.,base -0.22* | h-like +0.51* | det-aware +1.04* | det-evasive +0.26*,base -0.05 | h-like +0.80* | det-aware +0.91* | det-evasive +1.07*,-0.222,0.506,1.038,0.262,-0.051,0.801,0.914,1.069,mixed (direction varies by condition); up to large effect (|dz|max 1.07); significant in 7 of 8 tests
pragmatic_markers,negation_sentence_rate,Negation sentence rate,How pervasive negation is across sentences (vs concentrated in a few).,fraction of sentences containing at least one negation token.,base -0.08 | h-like +0.37* | det-aware +0.82* | det-evasive -0.39*,base -0.33* | h-like +0.08* | det-aware +0.11* | det-evasive -0.18*,-0.076,0.373,0.822,-0.39,-0.327,0.084,0.111,-0.179,mixed (direction varies by condition); up to large effect (|dz|max 0.82); significant in 7 of 8 tests
pragmatic_markers,epistemic_rate,Epistemic markers per 100 tokens,"Explicit marking of the speaker's knowledge state (verkar, tror, troligen ...).",epistemic-lexicon matches (case-insensitive whole-word) / alpha tokens * 100.,base -0.47* | h-like -0.38* | det-aware -0.38* | det-evasive -0.48*,base -0.00* | h-like -0.13 | det-aware -0.11 | det-evasive -0.22*,-0.465,-0.384,-0.378,-0.481,-0.0,-0.131,-0.111,-0.218,Human > LLM; up to small effect (|dz|max 0.48); significant in 6 of 8 tests
pragmatic_markers,epistemic_count,Epistemic markers (raw count),Absolute number of epistemic markers.,number of epistemic-lexicon matches.,base -0.42* | h-like -0.16 | det-aware -0.17* | det-evasive -0.27*,base +0.23* | h-like +0.33* | det-aware +0.32* | det-evasive +0.02,-0.425,-0.163,-0.17,-0.268,0.233,0.334,0.322,0.016,mixed (direction varies by condition); up to small effect (|dz|max 0.42); significant in 6 of 8 tests
pragmatic_markers,discourse_particle_rate,Discourse particles per 100 tokens,"Interactional modal particles (ju, val, nog, faktiskt ...); spoken register.",discourse-particle-lexicon matches (case-insensitive whole-word) / alpha tokens * 100 (informal only).,not tested,base -0.11 | h-like -0.08 | det-aware +0.04* | det-evasive -0.36*,,,,,-0.105,-0.083,0.041,-0.361,mixed (direction varies by condition); up to small effect (|dz|max 0.36); significant in 2 of 4 tests
pragmatic_markers,discourse_particle_count,Discourse particles (raw count),Absolute number of discourse particles.,number of discourse-particle-lexicon matches (informal only).,not tested,base +0.17* | h-like +0.66* | det-aware +0.93* | det-evasive -0.03,,,,,0.167,0.663,0.932,-0.032,LLM > Human; up to large effect (|dz|max 0.93); significant in 3 of 4 tests
pragmatic_markers,n_alpha_tokens,Length (alpha tokens),Document length in alphabetic tokens.,number of alphabetic spaCy tokens.,base +0.10* | h-like +1.16* | det-aware +1.08* | det-evasive +1.37*,base +0.76* | h-like +1.50* | det-aware +1.53* | det-evasive +1.32*,0.1,1.163,1.075,1.372,0.762,1.495,1.53,1.317,LLM > Human; up to large effect (|dz|max 1.53); significant in 8 of 8 tests
ner,ner_total_rate,Named entities per 100 tokens (all types),Overall entity naming = concreteness / specificity of reference.,per document: (total spaCy entities / token length) * 100.,base -0.53* | h-like -0.56* | det-aware -0.57* | det-evasive -0.04,base -0.15* | h-like -0.14* | det-aware -0.14* | det-evasive +0.05*,-0.532,-0.556,-0.567,-0.041,-0.146,-0.139,-0.143,0.052,mixed (direction varies by condition); up to medium effect (|dz|max 0.57); significant in 7 of 8 tests
ner,ner_LOC_rate,Location entities per 100 tokens,"Naming of geographic places (cities, countries, landmarks).",per document: (count of LOC entities / token length) * 100.,base -0.30* | h-like -0.33* | det-aware -0.35* | det-evasive -0.10,base -0.09* | h-like -0.08 | det-aware -0.08 | det-evasive +0.03*,-0.298,-0.334,-0.347,-0.099,-0.093,-0.078,-0.079,0.026,mixed (direction varies by condition); up to small effect (|dz|max 0.35); significant in 5 of 8 tests
ner,ner_PRS_rate,Person entities per 100 tokens,Naming of people (historical / cultural figures).,per document: (count of PRS entities / token length) * 100.,base -0.35* | h-like -0.33* | det-aware -0.33* | det-evasive +0.04,base -0.10* | h-like -0.10* | det-aware -0.10* | det-evasive -0.01*,-0.349,-0.325,-0.329,0.039,-0.104,-0.105,-0.101,-0.005,Human > LLM; up to small effect (|dz|max 0.35); significant in 7 of 8 tests
ner,ner_ORG_rate,Organisation entities per 100 tokens,"Naming of institutions, companies, teams.",per document: (count of ORG entities / token length) * 100.,base -0.33* | h-like -0.37* | det-aware -0.36* | det-evasive -0.04,base -0.03 | h-like -0.03* | det-aware -0.06 | det-evasive +0.16*,-0.332,-0.37,-0.363,-0.043,-0.028,-0.033,-0.06,0.162,mixed (direction varies by condition); up to small effect (|dz|max 0.37); significant in 5 of 8 tests
ner,ner_TME_rate,Time entities per 100 tokens,"Temporal expressions (dates, periods).",per document: (count of TME entities / token length) * 100.,base -0.22* | h-like -0.21* | det-aware -0.23* | det-evasive -0.06,base -0.08* | h-like -0.09* | det-aware -0.07 | det-evasive -0.03,-0.222,-0.212,-0.226,-0.062,-0.079,-0.087,-0.069,-0.031,Human > LLM; up to small effect (|dz|max 0.23); significant in 5 of 8 tests
ner,ner_WRK_rate,Work/Artefact entities per 100 tokens,Named works of art and artefacts.,per document: (count of WRK entities / token length) * 100.,base -0.10 | h-like -0.11 | det-aware -0.13 | det-evasive +0.05,base +0.01 | h-like -0.01 | det-aware -0.02 | det-evasive +0.05*,-0.102,-0.11,-0.126,0.054,0.014,-0.008,-0.017,0.051,LLM > Human; up to small effect (|dz|max 0.05); significant in 1 of 8 tests
ner,ner_MSR_rate,Measure entities per 100 tokens,Measures / numerical expressions.,per document: (count of MSR entities / token length) * 100.,base -0.08 | h-like -0.08 | det-aware -0.08 | det-evasive -0.08,base -0.04 | h-like -0.04 | det-aware -0.04 | det-evasive -0.02,-0.077,-0.077,-0.077,-0.077,-0.036,-0.036,-0.038,-0.017,no significant human/LLM difference
ner,ner_OBJ_rate,Object entities per 100 tokens,Named objects / products.,per document: (count of OBJ entities / token length) * 100.,base -0.08 | h-like -0.08 | det-aware -0.08 | det-evasive -0.06,base +0.05* | h-like -0.00 | det-aware -0.01 | det-evasive +0.02*,-0.077,-0.077,-0.077,-0.056,0.05,-0.004,-0.007,0.021,LLM > Human; up to small effect (|dz|max 0.05); significant in 2 of 8 tests
ner,ner_EVN_rate,Event entities per 100 tokens,Named events.,per document: (count of EVN entities / token length) * 100.,base +0.08 | h-like +0.00 | det-aware +0.08 | det-evasive +0.08,base -0.03 | h-like +0.05* | det-aware +0.03 | det-evasive +0.02,0.077,0.0,0.077,0.085,-0.029,0.053,0.025,0.021,LLM > Human; up to small effect (|dz|max 0.05); significant in 1 of 8 tests
