human_sentiment_label,human_p_pos,human_p_neg,human_p_neu,human_signed_polarity,human_affective_extremity,human_is_subjective,llm_sentiment_label,llm_p_pos,llm_p_neg,llm_p_neu,llm_signed_polarity,llm_affective_extremity,llm_is_subjective
NEUTRAL,0.022311,0.107479,0.87021,-0.085168,0.12979,0,NEGATIVE,0.000671,0.985961,0.013368,-0.985291,0.986632,1
NEUTRAL,0.121692,0.028454,0.849854,0.093238,0.150146,0,NEUTRAL,0.134178,0.014544,0.851279,0.119634,0.148721,0
NEGATIVE,0.012724,0.59849,0.388786,-0.585766,0.611214,1,NEUTRAL,0.182253,0.070095,0.747652,0.112158,0.252348,0
POSITIVE,0.787861,0.004652,0.207487,0.783209,0.792513,1,NEUTRAL,0.09191,0.037567,0.870523,0.054344,0.129477,0
NEUTRAL,0.059463,0.056419,0.884118,0.003045,0.115882,0,NEUTRAL,0.252016,0.030534,0.717451,0.221482,0.282549,0
NEUTRAL,0.093806,0.015944,0.89025,0.077863,0.10975,0,NEUTRAL,0.07489,0.067575,0.857535,0.007315,0.142465,0
NEUTRAL,0.139604,0.037389,0.823007,0.102214,0.176993,0,NEUTRAL,0.13061,0.031888,0.837502,0.098722,0.162498,0
NEUTRAL,0.03417,0.010841,0.954988,0.023329,0.045012,0,NEUTRAL,0.067337,0.092171,0.840493,-0.024834,0.159507,0
NEUTRAL,0.031952,0.068614,0.899433,-0.036662,0.100567,0,NEUTRAL,0.105707,0.169362,0.724931,-0.063655,0.275069,0
NEUTRAL,0.020354,0.074795,0.904851,-0.054441,0.095149,0,NEUTRAL,0.075804,0.303643,0.620553,-0.227839,0.379447,0
NEGATIVE,0.038087,0.599755,0.362159,-0.561668,0.637841,1,NEUTRAL,0.14503,0.076536,0.778433,0.068494,0.221567,0
NEUTRAL,0.042823,0.135899,0.821278,-0.093076,0.178722,0,NEUTRAL,0.186449,0.055985,0.757566,0.130464,0.242434,0
NEUTRAL,0.081648,0.027793,0.890559,0.053855,0.109441,0,NEUTRAL,0.152723,0.060169,0.787108,0.092553,0.212892,0
NEGATIVE,0.000905,0.991946,0.007149,-0.99104,0.992851,1,NEGATIVE,0.035666,0.544384,0.419951,-0.508718,0.580049,1
NEUTRAL,0.004211,0.002329,0.993459,0.001882,0.006541,0,NEUTRAL,0.035656,0.018305,0.946039,0.01735,0.053961,0
NEGATIVE,0.075819,0.578697,0.345483,-0.502878,0.654517,1,NEUTRAL,0.156905,0.403509,0.439587,-0.246604,0.560413,0
NEUTRAL,0.116304,0.133919,0.749776,-0.017615,0.250224,0,NEUTRAL,0.307567,0.233862,0.458571,0.073705,0.541429,0
NEUTRAL,0.062907,0.229805,0.707288,-0.166898,0.292712,0,NEUTRAL,0.214312,0.277187,0.508501,-0.062876,0.491499,0
NEUTRAL,0.068878,0.285986,0.645136,-0.217108,0.354864,0,NEUTRAL,0.17372,0.293975,0.532305,-0.120255,0.467695,0
NEGATIVE,0.055125,0.491705,0.453169,-0.43658,0.546831,1,NEUTRAL,0.241282,0.222421,0.536297,0.018861,0.463703,0
NEUTRAL,0.011478,0.016932,0.97159,-0.005454,0.02841,0,NEUTRAL,0.061055,0.085018,0.853927,-0.023962,0.146073,0
NEUTRAL,0.009488,0.454205,0.536307,-0.444717,0.463693,0,NEUTRAL,0.068635,0.162539,0.768826,-0.093904,0.231174,0
NEUTRAL,0.034155,0.028648,0.937197,0.005507,0.062803,0,NEUTRAL,0.056332,0.249417,0.694251,-0.193085,0.305749,0
NEGATIVE,0.013656,0.661845,0.324499,-0.648188,0.675501,1,NEUTRAL,0.05338,0.288963,0.657657,-0.235582,0.342343,0
NEGATIVE,0.007096,0.545319,0.447585,-0.538222,0.552415,1,NEUTRAL,0.051868,0.314758,0.633373,-0.26289,0.366627,0
NEUTRAL,0.007314,0.006831,0.985855,0.000483,0.014145,0,NEUTRAL,0.151558,0.102282,0.74616,0.049276,0.25384,0
NEUTRAL,0.00909,0.34427,0.646639,-0.33518,0.353361,0,NEUTRAL,0.036734,0.154966,0.8083,-0.118232,0.1917,0
NEUTRAL,0.011197,0.234831,0.753972,-0.223633,0.246028,0,NEUTRAL,0.133324,0.134052,0.732624,-0.000727,0.267376,0
NEGATIVE,0.005385,0.863958,0.130656,-0.858573,0.869344,1,NEUTRAL,0.098235,0.090053,0.811712,0.008182,0.188288,0
NEGATIVE,0.005046,0.590749,0.404205,-0.585703,0.595795,1,NEUTRAL,0.062585,0.187386,0.750029,-0.124801,0.249971,0
NEUTRAL,0.014626,0.074802,0.910572,-0.060176,0.089428,0,NEUTRAL,0.030217,0.033687,0.936096,-0.003469,0.063904,0
NEUTRAL,0.019611,0.055163,0.925226,-0.035552,0.074774,0,NEUTRAL,0.014685,0.16453,0.820784,-0.149845,0.179216,0
NEUTRAL,0.194326,0.051765,0.75391,0.142561,0.24609,0,NEUTRAL,0.03016,0.030266,0.939575,-0.000106,0.060425,0
NEGATIVE,0.003462,0.847476,0.149062,-0.844015,0.850938,1,NEUTRAL,0.041171,0.053346,0.905483,-0.012176,0.094517,0
NEUTRAL,0.022654,0.021352,0.955994,0.001303,0.044006,0,NEGATIVE,0.004804,0.900871,0.094325,-0.896068,0.905675,1
NEUTRAL,0.013255,0.262624,0.72412,-0.249369,0.27588,0,NEUTRAL,0.032224,0.391015,0.576761,-0.358792,0.423239,0
NEUTRAL,0.064639,0.1407,0.794661,-0.076062,0.205339,0,NEUTRAL,0.062458,0.109545,0.827997,-0.047087,0.172003,0
NEUTRAL,0.010618,0.13164,0.857742,-0.121022,0.142258,0,NEUTRAL,0.049014,0.116869,0.834117,-0.067856,0.165883,0
NEUTRAL,0.034678,0.224839,0.740483,-0.190161,0.259517,0,NEUTRAL,0.03649,0.248304,0.715206,-0.211814,0.284794,0
NEGATIVE,0.013189,0.580529,0.406281,-0.56734,0.593719,1,NEUTRAL,0.068086,0.05857,0.873343,0.009516,0.126657,0
NEUTRAL,0.062406,0.373784,0.56381,-0.311378,0.43619,0,NEUTRAL,0.033048,0.080268,0.886683,-0.04722,0.113317,0
POSITIVE,0.819897,0.003445,0.176658,0.816452,0.823342,1,NEUTRAL,0.04584,0.076263,0.877897,-0.030423,0.122103,0
NEUTRAL,0.106157,0.027201,0.866643,0.078956,0.133357,0,NEUTRAL,0.041551,0.014077,0.944372,0.027475,0.055628,0
NEUTRAL,0.149105,0.010237,0.840658,0.138868,0.159342,0,NEUTRAL,0.054943,0.052738,0.892319,0.002205,0.107681,0
POSITIVE,0.981679,0.000307,0.018015,0.981372,0.981985,1,NEUTRAL,0.058753,0.110712,0.830535,-0.051959,0.169465,0
NEUTRAL,0.101593,0.062244,0.836164,0.039348,0.163836,0,NEUTRAL,0.028337,0.193944,0.777719,-0.165607,0.222281,0
NEUTRAL,0.015884,0.018893,0.965223,-0.003009,0.034777,0,NEUTRAL,0.043415,0.048544,0.908041,-0.00513,0.091959,0
NEUTRAL,0.017712,0.023457,0.958832,-0.005745,0.041168,0,NEUTRAL,0.097751,0.090391,0.811859,0.00736,0.188141,0
NEUTRAL,0.010293,0.213416,0.776292,-0.203123,0.223708,0,NEUTRAL,0.081474,0.104526,0.814,-0.023052,0.186,0
NEUTRAL,0.025398,0.079496,0.895106,-0.054098,0.104894,0,NEUTRAL,0.066957,0.090258,0.842785,-0.023301,0.157215,0
NEUTRAL,0.01101,0.04575,0.943241,-0.03474,0.056759,0,NEUTRAL,0.032303,0.067216,0.900481,-0.034913,0.099519,0
NEUTRAL,0.032884,0.028796,0.93832,0.004088,0.06168,0,NEUTRAL,0.024668,0.228559,0.746772,-0.203891,0.253228,0
NEGATIVE,0.002424,0.972381,0.025195,-0.969957,0.974805,1,NEUTRAL,0.357789,0.024958,0.617252,0.332831,0.382748,0
NEUTRAL,0.108388,0.052617,0.838995,0.055771,0.161005,0,NEUTRAL,0.389046,0.034513,0.576441,0.354533,0.423559,0
NEGATIVE,0.014551,0.877636,0.107813,-0.863084,0.892187,1,NEUTRAL,0.193991,0.030546,0.775463,0.163445,0.224537,0
NEUTRAL,0.024146,0.010281,0.965573,0.013866,0.034427,0,NEUTRAL,0.077542,0.07228,0.850178,0.005263,0.149822,0
NEUTRAL,0.027658,0.280344,0.691999,-0.252686,0.308001,0,NEUTRAL,0.03773,0.232935,0.729335,-0.195205,0.270665,0
NEGATIVE,0.013432,0.923193,0.063375,-0.909761,0.936625,1,NEGATIVE,0.02002,0.638454,0.341526,-0.618435,0.658474,1
NEUTRAL,0.040383,0.030044,0.929573,0.010338,0.070427,0,NEUTRAL,0.100208,0.008708,0.891084,0.0915,0.108916,0
NEUTRAL,0.032929,0.169875,0.797196,-0.136946,0.202804,0,NEUTRAL,0.059403,0.043846,0.896751,0.015557,0.103249,0
NEUTRAL,0.013535,0.038325,0.94814,-0.02479,0.05186,0,NEUTRAL,0.046409,0.122474,0.831116,-0.076065,0.168884,0
NEGATIVE,0.030649,0.512569,0.456783,-0.48192,0.543217,1,NEUTRAL,0.042688,0.122843,0.834468,-0.080155,0.165532,0
NEUTRAL,0.031615,0.443759,0.524625,-0.412144,0.475375,0,NEUTRAL,0.027134,0.023744,0.949122,0.00339,0.050878,0
NEUTRAL,0.107013,0.022031,0.870956,0.084981,0.129044,0,NEUTRAL,0.018678,0.005794,0.975529,0.012884,0.024471,0
POSITIVE,0.981679,0.000307,0.018015,0.981372,0.981985,1,NEUTRAL,0.03293,0.008537,0.958533,0.024394,0.041467,0
POSITIVE,0.598211,0.011784,0.390005,0.586427,0.609995,1,POSITIVE,0.792413,0.008042,0.199545,0.784371,0.800455,1
NEUTRAL,0.059396,0.045029,0.895575,0.014367,0.104425,0,NEUTRAL,0.021125,0.30014,0.678735,-0.279015,0.321265,0
NEUTRAL,0.014956,0.005353,0.979691,0.009603,0.020309,0,NEUTRAL,0.02449,0.142433,0.833076,-0.117943,0.166924,0
NEGATIVE,0.020562,0.598513,0.380925,-0.57795,0.619075,1,NEUTRAL,0.029913,0.225351,0.744736,-0.195438,0.255264,0
NEUTRAL,0.026573,0.036873,0.936554,-0.0103,0.063446,0,NEUTRAL,0.043961,0.137004,0.819035,-0.093043,0.180965,0
NEUTRAL,0.010802,0.00532,0.983878,0.005482,0.016122,0,NEUTRAL,0.079417,0.067917,0.852666,0.0115,0.147334,0
NEGATIVE,0.008855,0.672099,0.319046,-0.663244,0.680954,1,NEUTRAL,0.032848,0.3614,0.605752,-0.328553,0.394248,0
NEUTRAL,0.021684,0.055549,0.922768,-0.033865,0.077232,0,NEUTRAL,0.033759,0.354154,0.612087,-0.320395,0.387913,0
NEUTRAL,0.024487,0.023438,0.952074,0.001049,0.047926,0,NEUTRAL,0.019226,0.257232,0.723541,-0.238006,0.276459,0
NEUTRAL,0.024822,0.250181,0.724997,-0.225358,0.275003,0,NEUTRAL,0.015601,0.480602,0.503797,-0.465001,0.496203,0
NEGATIVE,0.010925,0.7335,0.255576,-0.722575,0.744424,1,NEGATIVE,0.029911,0.618689,0.3514,-0.588777,0.6486,1
NEGATIVE,0.006285,0.889323,0.104392,-0.883038,0.895608,1,NEUTRAL,0.056831,0.101007,0.842162,-0.044176,0.157838,0
NEUTRAL,0.023488,0.464746,0.511766,-0.441257,0.488234,0,NEUTRAL,0.032551,0.170587,0.796862,-0.138037,0.203138,0
NEUTRAL,0.088408,0.035241,0.876351,0.053167,0.123649,0,NEUTRAL,0.068859,0.140253,0.790888,-0.071395,0.209112,0
NEUTRAL,0.031051,0.046882,0.922067,-0.01583,0.077933,0,NEUTRAL,0.036968,0.264928,0.698104,-0.227959,0.301896,0
NEUTRAL,0.077829,0.038388,0.883782,0.039441,0.116218,0,NEGATIVE,0.025274,0.528623,0.446103,-0.503349,0.553897,1
NEUTRAL,0.04826,0.048457,0.903282,-0.000197,0.096718,0,NEUTRAL,0.13854,0.075284,0.786176,0.063255,0.213824,0
NEUTRAL,0.023505,0.063702,0.912793,-0.040197,0.087207,0,NEUTRAL,0.071161,0.059754,0.869085,0.011408,0.130915,0
NEUTRAL,0.015293,0.030444,0.954262,-0.015151,0.045738,0,NEGATIVE,0.034499,0.513781,0.45172,-0.479282,0.54828,1
NEGATIVE,0.007586,0.766343,0.22607,-0.758757,0.77393,1,NEUTRAL,0.04434,0.079056,0.876604,-0.034717,0.123396,0
NEUTRAL,0.039502,0.136759,0.823739,-0.097257,0.176261,0,NEUTRAL,0.055688,0.029726,0.914586,0.025963,0.085414,0
NEGATIVE,0.008856,0.727138,0.264006,-0.718281,0.735994,1,NEUTRAL,0.028661,0.046996,0.924342,-0.018335,0.075658,0
NEUTRAL,0.169082,0.003979,0.82694,0.165103,0.17306,0,NEUTRAL,0.043703,0.022535,0.933762,0.021168,0.066238,0
NEUTRAL,0.054769,0.00387,0.94136,0.050899,0.05864,0,NEUTRAL,0.042109,0.118031,0.83986,-0.075922,0.16014,0
NEUTRAL,0.238689,0.004003,0.757308,0.234686,0.242692,0,NEUTRAL,0.125201,0.007203,0.867596,0.117998,0.132404,0
NEUTRAL,0.057361,0.019704,0.922935,0.037656,0.077065,0,NEUTRAL,0.073205,0.024807,0.901987,0.048398,0.098013,0
NEUTRAL,0.016239,0.440206,0.543555,-0.423966,0.456445,0,NEUTRAL,0.112749,0.023923,0.863328,0.088826,0.136672,0
NEUTRAL,0.022137,0.017761,0.960102,0.004376,0.039898,0,NEUTRAL,0.046493,0.009177,0.94433,0.037315,0.05567,0
NEUTRAL,0.440508,0.02386,0.535632,0.416648,0.464368,0,NEUTRAL,0.054771,0.013471,0.931758,0.0413,0.068242,0
NEUTRAL,0.009115,0.185493,0.805393,-0.176378,0.194607,0,NEUTRAL,0.05742,0.312671,0.629909,-0.255252,0.370091,0
POSITIVE,0.97199,0.001375,0.026635,0.970615,0.973365,1,NEUTRAL,0.068555,0.0527,0.878746,0.015855,0.121254,0
NEUTRAL,0.024304,0.048323,0.927373,-0.024019,0.072627,0,NEUTRAL,0.037955,0.037725,0.92432,0.00023,0.07568,0
NEUTRAL,0.007551,0.02539,0.967059,-0.017839,0.032941,0,NEUTRAL,0.116599,0.052092,0.831308,0.064507,0.168692,0
POSITIVE,0.692697,0.00306,0.304243,0.689638,0.695757,1,NEUTRAL,0.138006,0.040416,0.821578,0.09759,0.178422,0
NEUTRAL,0.051888,0.02157,0.926542,0.030318,0.073458,0,NEUTRAL,0.081269,0.058411,0.86032,0.022858,0.13968,0
NEUTRAL,0.010306,0.013326,0.976369,-0.00302,0.023631,0,NEUTRAL,0.156004,0.080214,0.763782,0.07579,0.236218,0
NEUTRAL,0.069876,0.030593,0.899531,0.039283,0.100469,0,NEUTRAL,0.094113,0.0722,0.833687,0.021914,0.166313,0
NEGATIVE,0.007638,0.501544,0.490818,-0.493905,0.509182,1,NEUTRAL,0.079935,0.090614,0.829451,-0.010678,0.170549,0
NEUTRAL,0.007124,0.058796,0.93408,-0.051672,0.06592,0,NEUTRAL,0.089685,0.108594,0.801721,-0.018909,0.198279,0
NEUTRAL,0.002612,0.008079,0.989308,-0.005467,0.010692,0,NEUTRAL,0.057377,0.121419,0.821203,-0.064042,0.178797,0
NEUTRAL,0.015162,0.138294,0.846544,-0.123133,0.153456,0,NEUTRAL,0.084292,0.16564,0.750068,-0.081348,0.249932,0
NEUTRAL,0.05841,0.269357,0.672233,-0.210947,0.327767,0,NEUTRAL,0.099102,0.13069,0.770208,-0.031587,0.229792,0
NEUTRAL,0.120756,0.0965,0.782744,0.024257,0.217256,0,NEUTRAL,0.173135,0.158441,0.668424,0.014694,0.331576,0
NEUTRAL,0.027398,0.154592,0.81801,-0.127194,0.18199,0,NEUTRAL,0.060704,0.291547,0.647749,-0.230843,0.352251,0
NEUTRAL,0.025207,0.168494,0.806299,-0.143286,0.193701,0,NEUTRAL,0.202313,0.178427,0.61926,0.023885,0.38074,0
NEUTRAL,0.015717,0.16049,0.823794,-0.144773,0.176206,0,NEUTRAL,0.229865,0.073065,0.69707,0.156801,0.30293,0
NEUTRAL,0.018503,0.007849,0.973648,0.010653,0.026352,0,NEUTRAL,0.092185,0.086277,0.821539,0.005908,0.178461,0
NEUTRAL,0.02785,0.129235,0.842915,-0.101386,0.157085,0,NEUTRAL,0.064466,0.143121,0.792412,-0.078655,0.207588,0
NEUTRAL,0.009208,0.265249,0.725543,-0.256041,0.274457,0,NEUTRAL,0.083599,0.200049,0.716351,-0.11645,0.283649,0
NEUTRAL,0.174492,0.060037,0.765471,0.114455,0.234529,0,NEUTRAL,0.177898,0.138281,0.683822,0.039617,0.316178,0
NEUTRAL,0.004936,0.02291,0.972153,-0.017974,0.027847,0,NEUTRAL,0.107543,0.14415,0.748307,-0.036606,0.251693,0
NEGATIVE,0.098214,0.515719,0.386066,-0.417505,0.613934,1,NEUTRAL,0.062396,0.282834,0.65477,-0.220438,0.34523,0
NEGATIVE,0.032118,0.512799,0.455084,-0.480681,0.544916,1,NEUTRAL,0.061982,0.27517,0.662847,-0.213188,0.337153,0
NEUTRAL,0.009528,0.073507,0.916966,-0.063979,0.083034,0,NEUTRAL,0.039832,0.154307,0.805862,-0.114475,0.194138,0
NEGATIVE,0.119508,0.493071,0.387421,-0.373563,0.612579,1,NEUTRAL,0.036109,0.108986,0.854905,-0.072877,0.145095,0
NEUTRAL,0.025523,0.387364,0.587113,-0.361841,0.412887,0,NEUTRAL,0.032406,0.052485,0.915109,-0.020079,0.084891,0
NEUTRAL,0.032466,0.012741,0.954794,0.019725,0.045206,0,NEUTRAL,0.174066,0.038373,0.787561,0.135693,0.212439,0
NEUTRAL,0.013075,0.145532,0.841393,-0.132458,0.158607,0,NEGATIVE,0.010996,0.534486,0.454518,-0.52349,0.545482,1
NEUTRAL,0.419444,0.024207,0.556349,0.395237,0.443651,0,NEGATIVE,0.005251,0.754574,0.240175,-0.749323,0.759825,1
NEUTRAL,0.035878,0.00948,0.954642,0.026399,0.045358,0,NEGATIVE,0.00478,0.780476,0.214745,-0.775696,0.785255,1
NEUTRAL,0.020806,0.0192,0.959994,0.001606,0.040006,0,NEUTRAL,0.019379,0.063506,0.917115,-0.044127,0.082885,0
NEUTRAL,0.015594,0.04453,0.939876,-0.028936,0.060124,0,NEUTRAL,0.0402,0.066474,0.893326,-0.026274,0.106674,0
NEUTRAL,0.017332,0.006279,0.976388,0.011053,0.023612,0,NEUTRAL,0.10413,0.024645,0.871224,0.079485,0.128776,0
POSITIVE,0.928493,0.002515,0.068993,0.925978,0.931007,1,NEUTRAL,0.121235,0.031605,0.84716,0.08963,0.15284,0
NEUTRAL,0.031058,0.014782,0.954161,0.016276,0.045839,0,NEUTRAL,0.115771,0.057236,0.826994,0.058535,0.173006,0
POSITIVE,0.946375,0.004635,0.04899,0.94174,0.95101,1,POSITIVE,0.68885,0.023409,0.287741,0.665442,0.712259,1
NEUTRAL,0.014109,0.012053,0.973838,0.002056,0.026162,0,NEUTRAL,0.078093,0.036073,0.885834,0.042019,0.114166,0
NEUTRAL,0.148182,0.015948,0.83587,0.132234,0.16413,0,NEUTRAL,0.124477,0.05078,0.824743,0.073697,0.175257,0
NEUTRAL,0.32887,0.019299,0.651831,0.309571,0.348169,0,NEUTRAL,0.029565,0.052055,0.91838,-0.02249,0.08162,0
NEUTRAL,0.036134,0.01154,0.952326,0.024594,0.047674,0,NEUTRAL,0.266609,0.033201,0.70019,0.233408,0.29981,0
POSITIVE,0.483791,0.038312,0.477897,0.44548,0.522103,1,NEUTRAL,0.327574,0.046423,0.626003,0.28115,0.373997,0
NEUTRAL,0.052128,0.035135,0.912737,0.016994,0.087263,0,NEUTRAL,0.05385,0.02851,0.91764,0.02534,0.08236,0
NEUTRAL,0.210506,0.010496,0.778998,0.20001,0.221002,0,NEUTRAL,0.224733,0.028408,0.74686,0.196325,0.25314,0
NEUTRAL,0.08746,0.016417,0.896123,0.071044,0.103877,0,NEUTRAL,0.413127,0.047865,0.539008,0.365262,0.460992,0
NEUTRAL,0.012249,0.017658,0.970092,-0.005409,0.029908,0,NEUTRAL,0.029333,0.389281,0.581386,-0.359948,0.418614,0
NEUTRAL,0.023123,0.032211,0.944665,-0.009088,0.055335,0,NEGATIVE,0.01437,0.627058,0.358573,-0.612688,0.641427,1
NEUTRAL,0.051097,0.044974,0.90393,0.006123,0.09607,0,NEUTRAL,0.035591,0.395274,0.569136,-0.359683,0.430864,0
POSITIVE,0.976744,0.000468,0.022789,0.976276,0.977211,1,NEUTRAL,0.047384,0.01359,0.939025,0.033794,0.060975,0
NEUTRAL,0.224721,0.009726,0.765553,0.214995,0.234447,0,NEUTRAL,0.108064,0.02196,0.869976,0.086104,0.130024,0
NEUTRAL,0.082128,0.019089,0.898783,0.06304,0.101217,0,NEUTRAL,0.13986,0.009089,0.851051,0.130771,0.148949,0
POSITIVE,0.712223,0.001215,0.286561,0.711008,0.713439,1,NEUTRAL,0.213855,0.009522,0.776622,0.204333,0.223378,0
NEUTRAL,0.046706,0.028887,0.924406,0.017819,0.075594,0,NEUTRAL,0.176313,0.032837,0.79085,0.143475,0.20915,0
POSITIVE,0.861542,0.005108,0.13335,0.856434,0.86665,1,NEUTRAL,0.088421,0.035073,0.876505,0.053348,0.123495,0
NEUTRAL,0.012945,0.036565,0.95049,-0.023619,0.04951,0,NEUTRAL,0.179167,0.032063,0.78877,0.147104,0.21123,0
POSITIVE,0.987491,0.000766,0.011743,0.986725,0.988257,1,NEUTRAL,0.168365,0.03116,0.800476,0.137205,0.199524,0
NEUTRAL,0.051743,0.02485,0.923407,0.026894,0.076593,0,NEUTRAL,0.249616,0.040818,0.709565,0.208798,0.290435,0
POSITIVE,0.833979,0.006092,0.159929,0.827888,0.840071,1,NEUTRAL,0.083723,0.037016,0.879261,0.046706,0.120739,0
NEUTRAL,0.036495,0.029152,0.934353,0.007344,0.065647,0,NEUTRAL,0.273418,0.015587,0.710995,0.257831,0.289005,0
POSITIVE,0.957466,0.002897,0.039637,0.95457,0.960363,1,NEUTRAL,0.465474,0.018161,0.516366,0.447313,0.483634,0
NEUTRAL,0.035588,0.138145,0.826267,-0.102557,0.173733,0,NEUTRAL,0.339612,0.041326,0.619063,0.298286,0.380937,0
NEUTRAL,0.018112,0.257787,0.724101,-0.239675,0.275899,0,NEUTRAL,0.368249,0.031518,0.600233,0.336731,0.399767,0
POSITIVE,0.648323,0.008189,0.343488,0.640133,0.656512,1,NEGATIVE,0.023317,0.689632,0.287051,-0.666315,0.712949,1
NEUTRAL,0.321142,0.127615,0.551243,0.193527,0.448757,0,NEGATIVE,0.037918,0.48316,0.478921,-0.445242,0.521079,1
NEUTRAL,0.413201,0.010334,0.576464,0.402867,0.423536,0,NEGATIVE,0.01463,0.834791,0.150579,-0.820161,0.849421,1
POSITIVE,0.775676,0.016103,0.208221,0.759573,0.791779,1,NEUTRAL,0.116,0.322524,0.561476,-0.206523,0.438524,0
