Abstract_Entities,Generated_Abstract_Entities
"Kungliga Svenska Baletten:ORG,Shanghais:LOC","Kungliga Operan:ORG,Kungliga Operan:ORG,Opéra:ORG,Paris Garnier:LOC,Sydney:LOC,House:LOC,Opéra de la Bastille:ORG,Operaen:PRS,Köpenhamn:LOC"
"IS:ORG,IS:ORG,IS:ORG,IS:ORG,IS:ORG",
,
,
Internetpokerspel:ORG,
"Eugene Fama:PRS,under 1960- och 1970-talet:TME",CAR:LOC
Red Hats:ORG,Windows XP respektive:WRK
,
,
"Nedertorneå-Haparanda:LOC,Björkön-Pirkkiö:ORG,Ryssland:LOC,Nedertorneå-Haparanda:LOC","Tornedalen:LOC,Haparanda:LOC,Björkö:LOC,Haparanda:LOC,Björkö:LOC"
,
,
"Becks:PRS,Bourdieu:PRS,Giddens:PRS,Bäck-Wiklund:PRS,Mälardalens:LOC,under hösten 2004:TME",
,
,
Sverige:LOC,
"Niklas Ambrus:PRS,Peter Lundström:PRS,Klaus Solberg:PRS,Institutionen för Ekonomi:ORG,Samhällsvetenskap:ORG,Blekinge:LOC,Tekniska Högskola:ORG,Blekinge:LOC",
,
,
"Che Guevara:PRS,Che Guevara:PRS","Che Guevara:PRS,Che:PRS,Che Guevara:PRS"
"Richard Bandlers:PRS,John Grinders:PRS,Gardner:PRS",
,
Amelia:PRS,
Stockholms län:LOC,
,
Lernias:PRS,
"Falu Kuriren:ORG,Dagens Nyheter:WRK,ATL:ORG,Falu Kuriren:ORG,Dagens Nyheter:WRK,ATL:ORG,Falu Kuriren:ORG,ATL:ORG",
"Bobergs Tryckeri AB:ORG,Falun:LOC,The Printer’s Guide:WRK,Tim Dalton:PRS","Bobergs Tryckeri AB:ORG,Bobergs Tryckeri AB:ORG"
Närsjukvård AB:ORG,Närsjukvård AB:ORG
"Burnards:PRS,Orlandos:LOC",
Södertörns högskola:ORG,
,
,
"Katie Erikssons:PRS,Iréne von Post:PRS,Katie Eriksson:PRS,Iréne von Post:PRS",
"Annika Andersson:PRS,Nina Blomkvist:PRS,Lamevski:PRS,Göran Alsén:PRS,Blekinge:LOC,Tekniska Högskola:ORG",Annika Anderssons:PRS
Medline:WRK,
"Teheran:LOC,Iran:LOC,USA:LOC,Iran:LOC,George W Bush:PRS,USA:LOC,Iran:LOC,Iran:LOC,Iran:LOC,mellan 1979 och 2006:TME,Pierre Bourdieus:PRS,USA:s:LOC,USA:s:LOC","USA:s:LOC,USA:s:LOC,USA:s:LOC,Irans:LOC"
"Societal Images of Natural:ORG,Stockholms universitet:ORG,Stockholm:LOC,Sverige:LOC",Bodil Anderssons:PRS
"Sveriges:LOC,Malterud:PRS",Sverige:LOC
,
,
"Blekinge:LOC,Tekniska högskola:ORG",
"Stiftelsen:ORG,SFI:ORG","SFI:s:ORG,Svensk Insamlingskontrolls:ORG"
,"Andersson:PRS,Caroline:PRS"
"Sverige:LOC,Greta-Marie Skau:PRS,Leila Billqvist:PRS",
Livsmedelsverkets:ORG,
"Cullbergs:PRS,Malterud:PRS",
,
,
Malaysia:LOC,"Malaysia:LOC,Algeriet:LOC"
"år 1789:TME,Frankrike:LOC,Sverige:LOC",
Conect AB:ORG,
"Motala:LOC,Norrköpings:LOC,Motala:LOC,Vättern:LOC,Motala:LOC,Bråviken:LOC,Strömfårans:LOC,Norrköping:LOC,Motala:LOC,Bråviken:LOC,Motala:LOC,i flera hundra år:TME,Norrköping:LOC,Motala:LOC,Norrköping:LOC,Motala:LOC,Norrköping:LOC,Motala:LOC,Norrköping:LOC,Motala:LOC","Motala:LOC,Motala:LOC,Motala:LOC"
"Tom Smith:PRS,Tom Smiths:PRS,Stefano Nolfi:PRS,Stefano Nolfis:PRS",YAKS:LOC
,
,OMX Stockholmsbörsen:ORG
"2000 AB:ORG,Habo:LOC,Andersson:PRS",
,
"Sverige:LOC,Sverige:LOC,Frankrike:LOC,Sverige:LOC",
"Graneheim:PRS,Lundmans:PRS",
,
,
,Helena Anderssons:PRS
,
,
Sverige:LOC,
"FN:ORG,EU:ORG",
"Euronews:ORG,Aktuellt:WRK,Orienten:WRK,Högskolan:ORG,Gävle:LOC",
,
Amforas Samtalsmodell Komfortgränsen:PRS,"Amforas:PRS,Amforas:PRS,Amforas:PRS"
Skåne:LOC,
,
KMA:ORG,
,
"Carl Gustav Jungs:PRS,Schutz:PRS,Johari´:PRS,Joseph Lufts:PRS,Harry Inghams:PRS,Schutz´s:PRS",under de senaste:TME
,
,
,
"Lex Uggla:PRS,Magnus Ugglas:PRS,Uggly Music AB:ORG,under 2005:TME,Skatteverket:ORG","Andersson:PRS,Jonas:PRS"
"Indien:LOC,P. falciparium:PRS,Giemsa:ORG,Fields:PRS,Leishmans:PRS,Christian Medical College and Hospital:ORG,SD Bio Line:ORG,SD Bio Line Malaria:ORG","Christian Medical College and Hospital:ORG,Vellore:LOC,Indien:LOC"
,
"Danmarks:LOC,Katie Eriksson:PRS","Erikssons:PRS,Erikssons:PRS"
,
"Nedertorneå-Haparanda:LOC,Björkön-Pirkkiö:ORG,Ryssland:LOC,Nedertorneå-Haparanda:LOC","Tornedalen:LOC,Tornedalen:LOC,Haparanda:LOC,Björkö:LOC,Tornedalen:LOC"
,Alén:PRS
,
"Burnards:PRS,Orlandos:LOC",
,
"Annika Andersson:PRS,Nina Blomkvist:PRS,Lamevski:PRS,Göran Alsén:PRS,Blekinge:LOC,Tekniska Högskola:ORG",
"Teheran:LOC,Iran:LOC,USA:LOC,Iran:LOC,George W Bush:PRS,USA:LOC,Iran:LOC,Iran:LOC,Iran:LOC,mellan 1979 och 2006:TME,Pierre Bourdieus:PRS,USA:s:LOC,USA:s:LOC","USA:s:LOC,Iran:LOC,USA:LOC,Iran:LOC,USA:LOC,USA:s:LOC,USA:s:LOC"
"Societal Images of Natural:ORG,Stockholms universitet:ORG,Stockholm:LOC,Sverige:LOC",
"Sveriges:LOC,Malterud:PRS",Sverige:LOC
"Blekinge:LOC,Tekniska högskola:ORG","Blekinge Institute of Technology:ORG,School of Management:ORG"
,
"Sverige:LOC,Greta-Marie Skau:PRS,Leila Billqvist:PRS",
"Cullbergs:PRS,Malterud:PRS",
,
Malaysia:LOC,"Malaysia:LOC,Algeriet:LOC,Malaysia:LOC,Algeriet:LOC,Swedish National Defence College:ORG"
"Graneheim:PRS,Lundmans:PRS",
,
,
,
"FN:ORG,EU:ORG",
,
"Jessica Andersson:PRS,Nina Gunnarsson:PRS,Thomas Danborg:PRS,Managementhögskolan:ORG,Blekinge:LOC,Tekniska Högskola:ORG",
KMA:ORG,
,
"Lex Uggla:PRS,Magnus Ugglas:PRS,Uggly Music AB:ORG,under 2005:TME,Skatteverket:ORG",
,
,
"Malmö:LOC,Foucault:PRS",
,
"Abrashis:PRS,Annika Sternlund:PRS,Amanda Sundberg:PRS,Helenas Valentinsons:PRS",
