Year,Level,Title,Topic Category,Abstract,Direct Link,Keywords,Permanent Link,Full Text,new
2004,Independent thesis Basic level (degree of Bachelor)Student thesis,"Svårigheter i mötet mellan svensk sjukvårdspersonal och personer med invandrarbakgrund: en litteraturstudie Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",Nursing,"Bakgrund: Enligt statistiska central byråns prognos (2003) kommer invandrare eller barn till invandrare att stå för cirka åtta procent av Sveriges befolkningsökning inom de närmsta tjugo åren. För att kunna bistå med god vård på lika villkor för hela befolkningen måste den svenska sjukvården anpassas efter det mångkulturella samhälle vi lever i. Syfte: Denna litteraturstudie syftar till att belysa svårigheter som kan påverka mötet mellan svensk vårdpersonal och personer med invandrarbakgrund. Metod: Litteraturstudien bygger på sju vetenskapliga artiklar, alla med kvalitativ forskningsansats. Studien analyserades utifrån Malterud (1996). Resultat: Resultatet av studien visar att verbal och icke-verbal kommunikation, kulturella olikheter och invandrares syn på sjukvård kan försvåra mötet mellan svensk sjukvårdspersonal och personer med invandrarbakgrund.",,"Mångkulturell, omvårdnad, svårigheter, invandrare, Sverige",,,1
2004,Independent thesis Basic level (degree of Bachelor)Student thesis,"Organiserat samarbete mellan lärare och kollegor inom IKT-baserad distansundervisning Blekinge Institute of Technology, School of Management. Blekinge Institute of Technology, School of Management.",Pedagogy,"Abstrakt Detta är en hermeneutisk studie där vi använt oss av intervjuer som datainsamlingsmetod. Vi har studerat samarbete ur ett lärarperspektiv i distansundervisning på Blekinge Tekniska högskola (BTH). Vad vi fann var att lärarna och deras kollegor efterfrågade ett mer organiserat samarbete dem emellan. Två former för ett ökat samarbete är, samarbete i team och i distansnätverk, vilka kan existera parallellt med varandra. I nätverket ingår alla personer som arbetar med distanskurser, allt ifrån lärare till tekniker. Team är en mindre enhet för samarbete och är uppbyggd runt en specifik distanskurs. Deltagarna i teamet är experter på olika yrkesområden och kan komplettera och hjälpa varandra. Lärarna är experter på sitt område, vilket är undervisning, och vill inte behöva känna sig tvingade att bli experter på nya områden, för att kunna undervisa på distans. Undersökningen visar att de teammedlemmar som kan vara till hjälp för lärarna är: Andra lärare, Administratörer, Teknikpedagoger, Bibliotekarier, Inlånade kompetenser, Tekniker och Studentrepresentanter. Kursen och temadeltagarna, i huvudsak lärarna, avgör när och hur mycket de olika experterna behövs under kursen. Men det är viktigt att vara medveten om att alla inte vill arbeta i team eller anser att samarbete alltid är positivt. Samarbete och teamarbete ska ses som ett stöd för lärarnas i deras arbete.",,"Administratör, Distanskurs, Distansundervisning, Högskoleundervisning, Lärare, Nätverk, Organiserat teamarbete, Samarbete, Team, Teknikpedagog",,,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",”Ett papper som hamnar någonstans?” En kvalitativ undersökning om åtgärdsprogram i förskolan,Pedagogy,"Alla barn i förskolan har rätt till stimulans efter sina behov och förutsättningar. De barn som behöver extra stöd ska få det. För barn i behov av särskilt stöd och deras föräldrar samt lärare kanske åtgärdsprogram kan vara ett hjälpmedel i arbetet. Syftet med studien är att undersöka förekomsten, användandet samt behovet av åtgärdsprogram i förskolan. Vi vill även undersöka specialpedagogens roll och delaktighet i upprättandet av åtgärdsprogram. I litteraturbearbetningen belyses förskolans historia, förskolans ansvar, specialpedagogik, utvecklingsekologi, barn i behov av särskilt stöd, åtgärdsprogram och individuella utvecklingsplaner. Den empiriska delen av uppsatsen har utförts med kvalitativa enskilda intervjuer. Målgruppen består av tolv lärare från tre olika småstäder. Studien visar att alla förskolorna i undersökningen använder sig av åtgärdsprogram, trots att de till skillnad från skolan inte är skyldiga att göra detta enligt lag. Åtgärdsprogrammen används dock i skiftande omfattning. Det är inte alla förskolor som har hjälp och handledning av specialpedagoger inför och under samtal angående åtgärdsprogram. Några av respondenterna framhåller att dokumenten inte alltid är anpassade till förskolan utan att de får använda sig av de dokument som är utformade till skolan. Flertalet av lärarna menar att det finns ett behov av åtgärdsprogram. De anser att det framför allt gynnar barnet, men att åtgärdsprogrammet också kan vara till hjälp för personal och föräldrar.",,,,,1
2006,Independent thesis Basic level (degree of Bachelor)Student thesis,"Upplevelser av interaktionen mellan klient och socialsekreterare -sett ur ett maktperspektiv Blekinge Institute of Technology, School of Management. Blekinge Institute of Technology, School of Management.",Social Work,"För socialtjänstens klienter innebär klientskapet en ovillkorligt underordnad roll, där individen befinner sig i en situation denne inte styr över. Individen etablerar en relation till den offentliga hjälpapparaten som samtidigt är en maktapparat. Det övergripande syftet med studien är att skapa förståelse för hur den specifika ekonomisektionen inom socialförvaltningen, i en kommun i södra Sverige, som avgränsat socialt fält, är konstruerat. Ett delsyfte är att belysa hur enskilda socialsekreterare inom denna sektion samt ett urval av deras klienter, upplever interaktionen vid handläggning av ekonomiskt bistånd. Ytterligare ett delsyfte är att få en förståelse för hur de sociala konfigurationerna ter sig samt hur makt konstrueras, i interaktionen mellan klient och socialsekreterare. Tidigare forskning inom området, av Greta-Marie Skau och Leila Billqvist, belyser problematiken i den svåra balanssituation som socialsekreterare befinner sig i, vad gäller att ha makt och ge hjälp samt vad som sker i klientprocessen. Studiens teoretiska ansats utgörs av Tillys teori om beständig ojämlikhet, där fokus ligger på kombinationer av sociala konfigurationer samt den kategoriella ojämlikhetens orsaksmekanismer. Studien metodologiska ansats är av abduktiv art, varpå Tillys teori utgör grunden för den empiriska datainsamlingen. Genom studiens resultat modifieras därefter denna teori. För den empiriska datainsamlingen tillämpas en metodtriangulering, i form av personliga dokument samt semistrukturerade intervjuer. Huvuddraget i resultatet inbegriper upplevelser av distinktionen i socialsekreterarrollen, vilken består av dels en hjälpande/behandlande funktion, dels en myndighetsutövande funktion. Resultatet påvisar även en distinktion vad gäller klientrollen, då den består av såväl rättigheter som skyldigheter. Vidare presenteras upplevelser av interaktionen mellan klient och socialsekreterare, varigenom ojämlikheter upprättas och vidmakthålls. Av analysen framgår att en beständig ojämlikhet råder i interaktionen mellan klient och socialsekreterare. Denna ojämlikhet yttrar sig inom det kategoriella paret, vilka karaktäriseras av inre och yttre kategorier, således tenderar den kategoriella ojämlikheten att vara strukturellt betingad. Ojämlikheten och maktobalansen upprättas genom exploatering och möjlighetsansamling samt vidmakthålls genom efterlikning och anpassning.",,"Interaktion, Makt, Sociala konfigurationer, Exploatering, Möjlighetsansamling, Klient, Socialsekreterare",,,1
2006,Independent thesis Basic level (degree of Bachelor)Student thesis,"Att drabbas av prostatacancer: Männens upplevelser av sjukdomen Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",Nursing,"Prostatacancer är den vanligaste cancerformen hos män och drabbar i genomsnitt 8000 personer per år. För de drabbade männen kan vardagslivet förändras, både på grund av cancersjukdomen och av behandlingen. Behandlingen kan leda till komplikationer som inkontinens och impotens vilket kan påverka mannens fysiska existens, sociala identitet och trygghet. Studiens teoretiska referensram utgår från Cullbergs kris- och utvecklingsteori. Studiens syfte var att belysa hur man upplever livet efter diagnosen prostatacancer. Syftet besvaras genom en kvalitativ innehållsanalys av elva vetenskapliga artiklar. Innehållsanalysen inspirerades av Malterud (1998). Resultatet visade att prostatacancer påverkade männens dagliga liv och sociala relationer. En stor del av manligheten upplevdes som förlorad och männen ifrågasatte deras identitet så som de hade identifierat sig själva före sjukdomen.",,"Prostatacancer, komplikation, sidoeffekt, upplevelse",,,1
2005,"Independent thesis Basic level (degree of Bachelor), 10 points / 15 hpStudent thesis","Lek en livsnödvändighet: Tänkande om lek i grundskolan och träningsskolan Wiss Kvist, Ann-Christin",Pedagogy,Syftet med denna uppsats är att belysa pedagogers uppfattning om lekens betydelse för barns utveckling och lärande i grundskolan och träningsskolan samt på vilket sätt pedagoger tillämpar lek i sin undervisning. Synen på lek har varierat under tidens gång. Leken har tillmätts stor betydelse för barn och dess utveckling. I vårt litteraturavsnitt har vi valt att skriva en allmän historisk bakgrund kring lek och olika teorier om lek. Genom kvalitativa intervjuer med pedagoger i de båda verksamheterna har vi fått en bild av vad lek är för dem och i vilken utsträckning de använder sig av leken i sin undervisning. Resultatet av vår undersökning visar att pedagogerna i de båda verksamheterna anser att leken har betydelse för barnets utveckling och lärande. Leken används i båda verksamheterna på olika sätt och i varierande utsträckning.,,"Barn, lek, inlärning, pedagogperspektiv, grundskola, träningsskola",,,1
2004,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Framgångsfaktorer bakom gerillakrigföring Swedish National Defence College.,Political Science,"Gerillakrigföring som metod i konflikter som inte är mellanstatliga är aktuella att studera ur ett svensktperspektiv. Ett ökat internationellt militärt åtagande föranleder valet av ämne, samtidigt som okonventionellatillvägagångssätt omgärdas av fascination. Uppsatsen undersöker vilka faktorer som ligger bakomframgångar med gerillakrigföring, i syfte att öka medvetenheten om de företeelser som behöver uppmärksammasi en konflikt med gerillakrigsinslag.I arbetet utnyttjas en induktiv metod kombinerad med fallstudier. Inledningsvis skapas en definitionsgrundför gerillakrigföring. Därefter prövas teorin om krigföringens principer som framgångselement på krigen iAlgeriet (1954-62) samt Malaysia (1948-57). De viktigaste resultaten är att framgångsfaktorer på taktisknivå skiljer sig marginellt mellan gerillakrigföring och konventionell krigföring. Vidare har interaktionenmellan civilbefolkningen, motivet för kamp och aktörerna som brukar gerillametoder framkommit somytterst väsentlig för utgången av de studerade konflikterna.Problemställningen för undersökningen är: Beror det på krigföringens principer att gerillataktik kan varaframgångsrik? Den avslutande diskussionen konstaterar att vid ett möte med okonventionella metodermåste hela existensen för en konflikt beaktas.",,"Krigföring, Gerillakrigföring, Malaysia, Algeriet, Fallstudier, Uppsatser, Chefsprogrammet, Chefsprogrammet 2002-2004",,,1
2004,Independent thesis Basic level (degree of Bachelor)Student thesis,"Informationens betydelse i den preoperativa vården Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",Nursing,"Bekgrund: Tidigare studier visar att preoperativ information är viktigt för patienterna. Via informationen reduceras ångest och oro. Studierna har tagit upp vad patienterna vill ha med i sin information och hur vårdaren ska ge informationen. Ingen av studierna har med djupare förståelse beskrivit hur patienterna upplever den preoperativa informationen. Syfte: Syftet med studien var att belysa informationens betydelse ur patientens perspektiv i den preoperativa vården. Metod: Litteraturstudien byggde på sju artiklar, varav fem med kvalitativ forskningsansats och två med kvantitativ ansats. Studierna granskades och analyserades enligt Graneheim och Lundmans (2003) analys modell, med avsikt att komma fram till olika kategorier/subgrupper. Sju subkategorier framkom och delades in efter samhörighet till två kategorier. Resultat: Preoperativ information och sättet att delge den visade sig vara av stor vikt gör patienterna. De upplevde större delaktighet i sin vård. Komplikationerna minskade postoperativt och sjukhusvistelserna kortades ner. Vid det första mötet mellan vårdare och patient skapades både tillit och kontinuitet, det visade vara av stor vikt för dem. Patienterna upplevde en större trygghet när tid togs till preoperativ information. Diskussion: Patienterna tyckte att den preoperativa informationen var minst lika viktigt som bemötandet vid informationstillfället. Informationen måste vara anpassad till patienterna och delges på ett sätt som passar dem. Patienterna tyckte att det var viktigt när vårdaren i sitt bemötande var lugn och förtroendegivande.",,"Preoperativ vård, preoperativ utbildning, preoperativ information, oro, stress",,,1
2005,Independent thesis Basic level (degree of Bachelor)Student thesis,"Hur den förändrade sexualiteten kan påverka mannens självbild och relationer efter behandling av prostatacancer Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",Nursing,"Varje år får allt fler män diagnosen prostatacancer och behandlas för sjukdomen. Detta innebär också att fler män drabbas av de biverkningar som behandlingen kan medföra. Impotens ar en vanlig biverkning. Syftet med studien var att belysa hur den förändrade sexualiteten i samband med behandling av prostatacancer kan påverka mannens självbild och relationer. Metoden som använts var litteraturstudie. Resultatet visar, att förlorad potens påverkar mannens välbefinnande eller lidande gällande sexualitet. Dessa förändringar leder ofta till att mannens självbild och identitet tar skada. Detta påverkar i sin tur mannens relation med sin partner och andra. I diskussionen framkommer vikten av sjuksköterskans förståelse samt bemötande av dessa ofta äldre män, då sexualitet fortfarande ar ett tabubelagt område för dem. En tänkbar omvårdnadsintervention är att använda sig av PLISSIT-modellen.",,"prostatacancer, impotens, erektil dysfunktion, omvårdnad, livskvalitet",,,1
2002,Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,"Trouble Ticket ""Kommunikationen gav oss vind i seglen""",Information Systems,"Rapporten huvudsyfte är att beskriva hur vi genom användning av språk och kommunikation har kunnat tillgodose våra användares krav på ett ärendehanteringssystem, samt på vilket sätt vi har använt artefakter för att kommunicera. Vi kommer att beskriva olika delar av projektet där språk och kommunikation har haft centrala ""roller"" och visat sig ha olika betydelse beroende på de personer som medverkar och i vilken miljö situationen har utspelat sig. Rapporten behandlar även hur resultatet av ovanstående har lett oss in i en utvecklingsprocess där vi försökt tillgodose användarens krav på bästa sätt. Vi kommer också att beskriva de kända och tidigare okända metoder som vi använt oss av för att uppnå vår målsättning, att överlämna en första prototyp av ett ärendehanteringssystem.",,"systemutveckling, designprocess, användare, befintligt system, språk, kommunikation genom artefakter och arbete i grupp",,,1
