Year,Level,Title,Topic Category,Abstract,Direct Link,Keywords,Permanent Link,Full Text,new,needs_review,dup_of_existing
2003,Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,En jämförelse mellan materiella investeringar och investeringar i kompetensutveckling,,"Skillnaden i bedömning och uppföljning av kompetensutveckling och materiella investeringar ligger i graden av kvantifierbarhet. Materiella investeringar som maskiner, kan oftast bedömas och följas upp genom objektiva metoder, medan kompetensutveckling kräver subjektiva metoder. I de företag vi studerat finns en ambition att finna en mer objektiv metod för kompetensutveckling men det anses ta för mycket resurser i anspråk relaterat till den nytta som eventuellt skulle uppstå. En annan faktor som vi fann var att i den dynamiska miljö företagen verkar är det inte motiverat att utvärdera kompetensutveckling eftersom det anses vara en färskvara. Miljön företagen verkar i och själva syftet med kompetensutvecklingen påverkar också om man ska anse kompetensutveckling vara en investering eller inte.",,"materiella, immateriella, investeringar, kompetensutveckling, ekonomi, manegement",,,1,0,1
2003,Independent thesis Basic level (degree of Bachelor)Student thesis,Datakvalitetsverktyg i datalager: Hur hanterar datakvalitetsverktyg datakvalitetsfaktorer?,,"I ett företag finns data utspridd i olika datasystem. För att lättare och snabbare komma åt data bör data finnas samlad på ett ställe d.v.s. ett datalager. Om datalagret ska fungera som ett beslutsstöd för företagsledningen är det viktigt att data håller en hög datakvalitetsnivå så att beslut fattas som gynnar företaget. För att kontrollera datakvalitet kan datakvalitetsverktyg användas. Dessa innehåller funktioner för att lösa olika datakvalitetsproblem. I rapporten behandlas hur datakvalitetsfaktorerna korrekthet, datatypsenlighet, konsistens, lämplighet, integration, kompletthet och inga dubbletter hanteras av datakvalitetsverktyg för datalager. En litteraturstudie har genomförts för att se hur datakvalitetsfaktorerna hanteras samt om behandlingen varierar mellan olika datakvalitetslösningar. Litteraturstudien har också använts för att upptäcka om olikheter och likheter i behandlingen av enskilda datakvalitetsfaktorer har påverkat hur väl faktorerna hanteras i lösningarna. Samtliga lösningar i arbetet innehåller datakvalitetsverktyg som beaktar de utvalda datakvalitetsfaktorerna men använder ibland olika tillvägagångssätt. Skillnader finns i hur väl de olika lösningarna hanterar enskilda datakvalitetsfaktorer",,"atalager, Datakvalitet, Datakvalitetsverktyg, Datakvalitetslösning",,,1,0,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Internetpoker: En studie i köpbeteendet hos pokerproffs,,Arbetet behandlar hypotesen om huruvida personer som har sin primärinkomst från Internetpokerspel har homogena köpvanor eller inte. Med hjälp av konsumentteori och kvalitativa intervjuer med ett antal pokerproffs fösöker denna studie ge svar på detta.,,,,,1,0,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Aktiemarknadens effektivitet: En studie av effektiviteten på den svenska aktiemarknaden i samband med kvartalsrapporter,,"Effektiva marknadshypotesen (EMH) utvecklades av Eugene Fama under 1960- och 1970-talet. Grundtanken var att prisbildningen alltid reflekterar den information som finns tillgänglig för marknaden. Fama skiljde på tre former av effektivitet: svaga, semistarka och starka formen. I denna uppsats studerar vi den semistarka formen av effektivitet, vilken omfattar all offentligt tillgänglig information. Syftet är att undersöka effektiviteten i samband med att ny information tillfaller den svenska aktiemarknaden. I de fall aktiemarknaden är effektiv finns ingen möjlighet till onormal avkastning. Vår studie omfattar de 39 största företagen noterade på den svenska aktiemarknaden, vilket motsvarar 81,5 procent av det totala värdet. Vi kunde i vår undersökning dra slutsatsen att Stockholmsbörsen inte är fullständigt effektiv när ny information offentliggörs.",,"EMH, CAR, Marknadsmodellen, Kvartalsrapporter, Stockholmsbörsen",,,1,0,1
2003,Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,En studie av inbyggda brandväggar: Microsoft XP och Red Hat Linux,,"Detta kandidatarbete utreder hur väl två operativsystems inbyggda brandväggar fungerar i symbios med en användares vanligaste tjänsteutnyttjande på Internet, samt att se hur likartade de är i sitt skydd från hot. De två operativsystemen som vi utgick ifrån var Microsoft Windows XP samt Red Hat Linux 8.0. Den hypotes vi arbetat kring lyder enligt följande: De två inbyggda brandväggarna är i stort likartade rörande skydd från hot på Internet och uppfyller användarnas tjänsteutnyttjande. De metoder vi använt, för att svara på vår frågeställning, har delats upp i ett funktionalitetstest och ett säkerhetstest. I funktionalitetstestet provades de vanligaste Internettjänsterna med den inbyggda brandväggen och ifall det uppstod några komplikationer eller ej. De två inbyggda brandväggarna genom gick i säkerhetstestet skannings- och svaghetskontroll via ett flertal verktyg. Genom resultatet kan vi konstatera att de inbyggda brandväggarna klarar av de vanligaste tjänsterna på Internet, men att en skillnad föreligger hos dem vad gäller exponeringen ut mot Internet. Windows XP ligger helt osynligt utåt, medan Red Hats inbyggda brandvägg avslöjar en mängd information om värddatorn, som kan komma att användas i illvilliga syften. Slutsatsen blev att vi avslutningsvis falsifierade vår hypotes då de två inbyggda brandväggarna ej var jämlika i sitt skydd mot yttre hot på Internet.",,"brandvägg, operativsystem, Linux, Windows, säkerhet, TCP/IP, skanning, XP",,,1,0,1
2001,Independent thesis Basic level (degree of Bachelor)Student thesis,Affärsrelationer vid elektronisk handel,,"Detta examensarbete behandlar elektronisk handel mellan företag och vilken affärsrelation som företaget har med sina företagskunder efter införandet av elektorisk handel. Telefonintervjuer har skett med fyra olika företag som ingår i möbelbranschen. Syftet med arbete är att se om företagens förväntningar med avsikt på fem olika aspekter som utgör en god affärsrelation infriats. Denna undersökning visar att aspekterna samarbete och förtroende är de två aspekter som företagen har störst förväntningar på. De andra tre aspekterna engagemang, anpassning och kunskap om kunden har generellt företaget inga större förväntningar innan införandet av elektronisk handel. Om dessa förväntningar har infriats eller inte besvaras inte i denna undersökning på grund av olika faktorer som har spelat in.",,"Elektronisk handel, affärsrelationer, företag till företag (B2B)",,,1,0,1
2005,Independent thesis Basic level (degree of Bachelor)Student thesis,Integration på två arbetsplatser,,Begreppet mångfald diskuteras allt oftare i samhällsdebatten och valet av uppsatsämne kändes därför naturligt. Syftet med vår undersökning var att beskriva etnisk mångfald och integration på två arbetsplatser inom bankvärlden. Undersökningen genomfördes på två banker som aktivt valt att anställa invandrare. Vi använde oss av en kvalitativ metod och halvstrukturerade intervjuer och genomförde totalt tio stycken. Resultaten visade att bankerna befinner sig i ett startskede där det än så länge främst är i rekryteringsprocessen samt inom ramen för kundanpassning som tankar om tillvaratagande av etnisk mångfald återfinns. Det finns även en skillnad vad gäller hur de anställda med utländsk bakgrund integrerats i bankerna. I Bank 1 har det skett en viss anpassning till den svenska majoritetskulturens normer och värderingar och övervägande återfinns ett tillvaratagande av olikhet på grund av kulturell bakgrund inom arbetsgruppen. I Bank 2 har det främst skett en anpassning till majoritetskulturen och olikhet betonas inte. De anställdas upplevelse av att ha blivit anställda på grund av sina språkkunskaper är positiv och deras arbetssituation beskrivs som tillfredställande. Den påstådda ojämlikheten i samhället där människor med utländsk bakgrund är underordnade dem med svensk bakgrund återspeglas till viss del i de undersökta bankerna.,,,,,1,0,1
2002,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",From <https://www.diva-portal.org/smash/record.jsf?dswid=8562&pid=diva2%3A230073&c=73&searchType=UNDERGRADUATE&language=en&query=&af=%5B%22language%3Aswe%22%2C%22hasFulltext%3Atrue%22%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%7B%22dateIssued%22%3A%7B%22from%22%3A%222000%22%2C%22to%22%3A%222006%22%7D%7D%2C%7B%22thesisLevel%22%3A%22M2%22%7D%5D%5D&aqe=%5B%5D&noOfRows=100&sortOrder=author_sort_asc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all> Innan den strukturella differentieringens tidevarv,,"Syftet med denna undersökning är att få en inblick i om och hur förlusten av sockenkyrkan påverkade livet i Nedertorneå-Haparanda församling socialt samt religiöst och i så fall hur eventuella förändringar yttrade sig när de efter kriget 1809 förlorade hemkyrkan på Björkön-Pirkkiö till Ryssland. Församlingskyrkan blev efter gränsdragningen kvar på ryskt område. Eftersom kyrkan ansvarade för ett flertal nuvarande statliga uppgifter under denna tid, har jag funderat på hur undervisning, fattigvård samt sjukvård fungerade utan kyrka och prästerskap. Hur förrättningar och gudstjänster fungerade i en sådan komplex situation är ytterligare faktorer jag studerat närmare. För att ta reda på hur det förhöll sig med detta under den här tidsperioden har jag ägnat mig åt litteraturstudium; vilket till största delen varit av historisk karaktär. Det har rört sig om kyrkohistoria, studium av samhällsutveckling, samt allmän global och lokal historia. Utifrån det samlade materialet har jag kommit fram till att livet påverkades ur flera aspekter för invånarna i Nedertorneå-Haparanda församling när de förlorade sockenkyrkan 1809. Undervisningen med husförhör fungerade inte som de skulle, negligering av förbud att bevista den gamla stenkyrkan förekom samt en likgiltighet hos föräldrarna att undervisa sina barn och hålla husandakt är några exempel på hur detta kom till uttryck hos lokalbefolkningen.",,"sockenkyrka, kyrkoförlust, Tornedalen, Haparanda, Björkö, 1809-års krig",,,1,0,0
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Vad orsakar ilska?,,"Syftet med denna studie var att undersöka vilka situationer som vanligen orsakar ilska hos vuxna individer, och att ur dessa försöka härleda vilka faktorer som i dessa situationer orsakat ilskan. Genom en enkätundersökning fick 55 psykologistudenter vardera beskriva två situationer som gjort dem arga, samt vad det var som gjort dem arga. På detta material utfördes en induktiv tematisk analys, vilket visade på fem olika huvudorsaker till ilska. Dessa var: Hot mot ens (eller signifikant annans) välbefinnande; Normbrytande beteende och orättvisa; Bristande kontroll över relevant situation samt förhindrelse att uppnå mål; Ens förväntningar bryts till det negativa; Negativa tillstånd. I en vidare diskussion behandlas att dessa teman förefaller passa väl in i ett evolutionistiskt synsätt på emotioner. Ilska förefaller vara en handlingsmotiverande emotion som huvudsakligen fyller funktionen som mobiliserande kraft gentemot negativa utvecklingar.",,,,,1,0,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 points / 15 hpStudent thesis",Har utlandsadopterade barn språkproblem?: En undersökning om vad föräldrar och pedagoger anser,,"Syftet med denna uppsats var att undersöka hur stor kunskap pedagoger har om utlandsadopterade barn och deras eventuella språkproblem. De frågeställningar vi ämnade besvara var bland annat vad litteraturen skriver om utlandsadopterade barns språk. Vi ville också ta reda på vad föräldrarna till de utlandsadopterade barnen hade för åsikter om deras barns eventuella språkproblem och hur dessa barnen fått den hjälp de rimligtvis behöver. Vi arbetade enligt trianguleringsmetoden och arbetet inleds med en litteraturstudie, där vi redogör för den forskning vi tagit del av. Därefter följer en enkätundersökning där 15 föräldrar till utlandsadopterade barn deltog. Metoddelen avslutas med intervjuer av fem pedagoger. Resultatet visar att föräldrarna, efter hårt arbete, fick den hjälp som barnet behövde, exempelvis genom att få hjälp av en logoped eller talpedagog. Resultatet visar även att lärarna i vår undersökning inte hade någon större kunskap om utlandsadopterade barns språkproblem.",,"utlandsadopterade barn, adoption, språksvårigheter, pedagoger, skola",,,1,0,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Etableringsstrategier på arbetsmarknaden: En intervjustudie av unga akademiker två år efter examen,,"Arbetsmarknadsläget är idag hårdare än det tidigare varit för nyutexaminerade akademiker. Vägen till drömyrket är krokig och kantas av flera val som måste göras, i fråga om strategier och mobilitet. Denna uppsats belyser yngre akademikers rumsliga mobilitet och nuvarande situation på arbetsmarknaden samt strategier under etableringsprocessen i förhållande till olika aspekter såsom ålder och familjebildning. En kvalitativ metod i form av intervjuer användes. Uppsatsens teoretiska referensram präglas av Becks individualiseringsteori samt andra teorier av Bourdieu, Giddens och Bäck-Wiklund. Tidigare forskning visar bland annat att individualiseringen och kravet på flexibilitet leder till ökade svårigheter att både förvärva och behålla en anställning. Undersökningens resultat och analys genomfördes på 6 respondenter som alla tagit examen från Mälardalens högskola under hösten 2004. Studiens resultat präglas av de val som respondenterna gjort, både före, under och efter utbildningstiden. Alla respondenter i studien har arbete men några anser att de är överkvalificerade för de tjänster de nu har. De upplevde sig också vara osäkra i sina anställningar men hade en hög mobil vilja under förutsättning att flytt eller pendling leder till en anställning. Gemensamt för alla var dock att de anser att de i och med sin unga ålder saknar erfarenhet vilket ökar svårigheterna på arbetsmarknaden. Respondenterna hade i flera fall haft en stor hjälp av det nätverk som de förvärvat på sina arbetsplatser då de sökte andra jobb. I diskussionen resoneras kring undersökningens resultat som bland annat rörde respondenternas mobila vilja, hur olika val påverkat arbetslivet och etableringsprocessen, betydelsen av det personliga nätverket och attityder till den egna åldern.",,"akademiker, individualism, rumslig mobilitet, sociala nätverk, strategier och unga vuxna",,,1,0,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis","Matematik för alla?: Hur lärare arbetar med individualisering Alén, Leif",,"Utgångspunkt för arbetet har varit de brister i matematikkunskaper hos eleverna som framkommit i ett flertal rapporter, samtidigt som många framställningar pekar på att dagens matematikundervisning bedrivs på ett mycket traditionellt sätt. Syftet med denna uppsats har varit att ur ett matematikdidaktiskt perspektiv belysa hur matematiklärare i grundskolans senare år planerar, genomför, följer upp och utvärderar sin undervisning i avsikt möta den stora variation av elever som finns i varje elevgrupp, dvs hur lärare arbetar för att variera sin undervisning i syfte att individualisera för eleverna. Undersökningen har genomförts som en kombination av enkät och intervju, där den inledande enkäten dels har gett en bred bild av lärarnas uppfattningar inom några väsentliga områden dels använts för att fånga in intervjupersoner för den efterföljande intervjun. Den senare delen av undersökningen, där avsikten varit att komma några utvalda lärare närmare in på livet, har genomförts som kvalitativa intervjuer. Resultatet av undersökningen visar att det både finns stora variationer mellan olika lärares sätt att arbeta, samtidigt som det finns många gemensamma uppfattningar. Den bild som jag fått genom intervjuerna, vilken i mycket stämmer överens med flera tidigare undersökningar, är att den dominerande formen av individualisering är hastighetsindividualisering där eleverna arbetar med samma material men i olika takt. För att individualisera undervisningen på ett mer effektivt sätt krävs troligtvis en större variation, än vad denna undersökning kunnat visa, både vad gäller innehåll och metoder. Ofta handlar det om resurser, intentioner kontra betingelser, och frågan om att låta sig styras eller att försöka påverka och styra. För att kunna arbeta efter det senare alternativet krävs ett systematiskt och strukturerat angrepps- och arbetssätt. Detta kräver i sin tur åtgärder på flera olika nivåer inom skolan.",,"matematik, individualisering, lärare",,,1,0,0
2006,Independent thesis Basic level (degree of Bachelor)Student thesis,"Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter Blekinge Institute of Technology, School of Management.",,Denna studie utgörs av ett explorativt experiment. Det som har legat i fokus för denna studie har varit att mäta attityd gentemot varumärkes produkter. Eftersom det har skett genom experiment har det centrala varit att se hur attityden påverkas. Studien använder sig av vissa teorier kring varumärken som råd och tips i upplägget av experimentet. En av hypoteserna som ställdes i studien var att positiv beskrivning av varumärkes produkter ger högre utfall i värderandet och viljan att äga produkten än neutral beskrivning. Den andra hypotesen var att det inte finns någon könsskillnad i utfallet. Experimentet gav ett samstämmigt svar sett till hypotesen men vissa överraskningar och mer oväntade resultat framkom också.,,"attityd, varumärken, produkter",,,1,0,0
2005,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Transkulturell omvårdnad,,"Invandringen sker i Sverige i allt större utsträckning, och till följd av det ställs högre krav på den transkulturella omvårdnaden. Nya krav ställs på vårdpersonalen i deras arbete. Med detta som grund utformades studiens syfte, som var att genom en litteraturstudie belysa patienters upplevelser och uppfattning av sjukdom och hälsa relaterad till deras kultur, samt vad som kan göras för att förbättra vården utifrån deras kulturella bakgrund. I resultatet visas att kulturella värderingar är de mest framträdande faktorerna som påverkar patientens uppfattning om sin hälsa och sjukdom. Kunskap och förståelse om kulturella värderingar är grunden för en optimal omvårdnad. Nyckelord: transkulturell omvårdnad, sjuksköterskan, kultur, respekt, patienter med annan kulturell bakgrund.",,"transkulturell omvårdnad, sjuksköterskan, kultur, respekt, patienter",,,1,0,1
