Abstract_Tokens,Generated_Abstract_Tokens
"Kollade,upp,källorna,som,ges,i,den,engelska,och,det,visade,sig,att,det,faktiskt,inte,finns,någon,medicinsk,kunskap,om,detta,öht,.,Ena,källan,är,en,ensidesartikel,som,konstaterar,att,det,inte,finns,någon,forskning,om,detta,.,Den,andra,källan,består,av,två,insändare,som,gör,sig,lustiga,på,artikelns,bekostnad,.,Diskussionen,verkar,vara,kopplad,till,onani-tabu,,,d.v.s.,endast,män,som,tror,att,det,är,fel,att,onanera,är,oförmögna,att,göra,sig,av,med,det,obehag,som,kan,uppstå,av,att,haft,erektion,utan,orgasm,under,en,längre,tid,.,Får,nog,tyvärr,konstatera,att,den,engelska,artikeln,inte,är,särskilt,väl,underbyggd,.","Jag,känner,igen,det,du,säger,!,Här,i,Sverige,är,vi,ju,ganska,bra,på,att,blanda,upp,könsrollerna,,,och,många,av,de,gamla,förväntningarna,känns,lite,ur,tiden,.,Det,är,tråkigt,att,se,att,det,ser,annorlunda,ut,på,vissa,ställen,.,Hemma,hos,oss,är,det,mer,50/50,när,det,kommer,till,initiativ,och,relationer,.,Känns,som,att,många,fortfarande,sitter,fast,i,gamla,mönster,!"
"Hellre,instängda,än,diskriminerande,.","Jag,förstår,vad,du,menar,!,Här,hemma,känns,det,som,att,vi,har,kommit,ganska,långt,med,jämställdheten,.,Män,och,kvinnor,tar,initiativ,i,relationer,,,och,det,är,ganska,oavsett,kön,.,Visst,finns,det,gamla,normer,som,hänger,kvar,,,men,jag,tycker,att,många,i,vår,generation,pushar,mot,mer,jämlikhet,.,Det,känns,som,att,vi,är,på,rätt,väg,,,även,om,det,fortfarande,finns,saker,att,jobba,på,!"
"Florence,Valentin,och,Movits,,,sjukt,bra,!","Självklart,!,Kolla,in,Håkan,Hellström,eller,Veronica,Maggio,,,de,är,grymma,!,🎶"
"Mattias,Alkberg","Kolla,in,Håkan,Hellström,,,han,har,grymma,texter,och,härlig,musik,!,🎶"
"Thåström,,,Ebba,Grön,,,Tommy,körberg,.,Finns,massor,:)","Själv,gillar,jag,verkligen,Håkan,Hellström,och,First,Aid,Kit,!,Båda,har,riktigt,bra,texter,och,bra,vibe,.,Vad,tycker,ni,?,😊"
"[,Oskar,Linnros](http://www.youtube.com,/,watch,?,v,=,Lx2l87L98YY&feature,=,PlayList&p,=,A22F4B7FFC2B5E20&playnext_from,=,PL&index=0,),gav,ut,sitt,första,soloalbum,nyligen,.,Tycker,den,är,rätt,bra","Själv,gillar,jag,verkligen,Håkan,Hellström,och,First,Aid,Kit,.,Lite,olika,stilar,men,sjukt,bra,båda,två,!"
"Svensklärare,här,,,dina,korrigeringar,är,fortfarande,inte,helt,rätt,:),

,>,Jag,är,amerikansk,och,jag,lyssna__r,_,_,på,svenska,låtar,för,att,lära,mig,nya,ord,också,

,Present,tense,form,of,the,verb,"",lyssna,"",since,you're,indicating,a,habit,,,like,"",Jag,läser,böcker,för,att,lära,mig,svenska,"",

,>,Jag,korrigerade,din,svenska,_,_,åt,_,_,dig,

,"",åt,dig,"",means,"",on,your,behalf,"",,,for,example,,,"",Jag,målade,tavlan,åt,dig,"",.,However,,,note,that,this,means,that,you,painted,the,picture,_,for,_,him,,,only,in,the,way,that,_,he,_,should,have,actually,done,it,.,If,you,say,"",Jag,målade,tavlan,(,för,att,ge,den,),till,dig,"",it,means,you,painted,the,picture,for,him,,,with,the,purpose,of,giving,it,to,him,.,

,Also,,,I'm,impressed,you,managed,to,use,the,objective,form,"",dem,"",correctly,,,most,native,swedes,mix,de,/,dem,up,.,One,easy,way,that,almost,all,native,speakers,use,is,to,use,the,"",slang,"",form,_,dom,_,for,both,subject,and,object,.,

,"",Dom,kommer,snart,"",/,"",Vi,åker,hem,till,dom,""","Kolla,in,Håkan,Hellström,och,Veronica,Maggio,,,deras,låtar,är,grymma,!,🎶"
"Tack,för,det,!","Jag,har,också,haft,blandade,erfarenheter,,,ibland,funkar,det,bra,och,ibland,är,det,rena,katastrofen,.,Typisk,Ikea-upplevelse,ändå,!,😅"
"Nej,,,nej,,,det,är,lugnt,,,man,måste,våga,skriva,och,prata,för,att,kunna,lära,sig,!","Tyvärr,verkar,det,vara,lite,av,en,dragning,överallt,,,jag,har,också,haft,sådana,upplevelser,.,Hoppas,de,kan,förbättra,sig,snart,!"
"Ledsen,för,det,!,Jag,är,lärande,Svenska,.,Jag,är,inte,mycket,bra,ännu,.,;),;),

,Ja,,,du,har,historien,korrekt,.,:D","Jag,har,också,hört,mycket,klagomål,om,kundservicen,här,hemma,.,Känns,som,att,det,kan,vara,en,blandning,,,tyvärr,.,😅"
"Ajdå,,,där,hade,ni,otur,.,Jag,tänker,inte,försvara,Ikea,det,minsta,men,ditt,språk,är,lite,förvirrande,.,Är,det,ok,om,jag,korrigerar,lite,?,

,"",Den,största,delen,till,vår,soffa,var,defekt,.,De,ville,inte,skicka,en,ny,del,,,utan,vi,fick,köra,långt,.,Vi,reklamerade,(,"",return,"",?,),soffan,istället,.,Personalen,var,mycket,oförskämd,och,ville,inte,hjälpa,oss,.,"",Har,jag,förstått,dig,rätt,?,:)","Jag,har,också,haft,blandade,erfarenheter,med,deras,kundservice,här,hemma,,,ibland,funkar,det,bra,,,men,ibland,får,man,verkligen,kämpa,.,🤷,‍,♂,️"
"Det,är,bra,!","Ja,,,har,hört,liknande,historier,här,också,.,Ibland,känns,det,som,de,har,mer,fokus,på,möbler,än,på,oss,kunder,!,😅"
"Rimligtvis,står,väl,inte,pluralformer,av,substantiv,med,i,en,ordlista,...,?","Absolut,!,Kolla,in,"",Bokhus,Göteborg,"",på,Haga,Nygata,,,de,har,en,supermysig,atmosfär,och,bra,utbud,.,Perfekt,för,att,slappa,med,en,bok,och,en,kaffe,!,🤗,📚"
"Det,finns,tydligen,en,sån,i,Götet,också,,,så,det,är,ju,ett,alternativ,.,Men,Pocket,med,mera,lät,ju,bättre,..,
,http://www.waynescoffee.se/Waynescaféer/Svenskacaféer/AllasvenskaadresserpåWaynesCoffee/Göteborg/tabid/359/language/sv-SE/Default.aspx","Kolla,in,Akademibokhandeln,vid,Nordstan,,,de,har,en,skön,atmosfär,och,café,också,!,Perfekt,för,en,lugn,stund,med,en,bok,och,kaffe,.,😊,📚"
"Nä,,,de,är,ju,inte,riktigt,"",mysiga,"",...","Kolla,in,Linnébokhandeln,!,Mysig,atmosfär,och,de,har,bra,kaffe,också,.,Perfekt,för,att,slappa,och,bläddra,.,☕,📚"
"Båda,uttrycken,är,väl,accepterade,numera,,,men,att,boklådor,inte,skulle,vara,ett,aktuellt,uttryck,kan,jag,verkligen,inte,hålla,med,om,.,Jämför,till,exempel,antalet,sökresultat,på,Google,.,Boklådor,vs,bokhandlar,eller,bokhandlare,.,

,Vi,skulle,kunna,skicka,en,fråga,till,Språket,på,P1,,,de,gillar,att,reda,ut,sånt,här,.","Kolla,in,明文书店,!,Sånt,mysigt,ställe,med,skön,atmosfär,och,du,kan,slappna,av,med,en,bok,och,kaffe,.,Perfekt,för,att,bara,hänga,!,📚,☕,️"
"Tillräckligt,sant,för,att,spela,roll,.,Jag,har,aldrig,hört,begreppet,förr,och,har,en,väldigt,bred,grupp,av,människor,jag,umgås,med,i,alla,åldrar,.","Kolla,in,Bokhandeln,på,följande,i,Mölndal,!,Mysig,atmosfär,och,bra,kaffe,!,Perfekt,för,att,slöa,bort,en,eftermiddag,.,😊,📚,☕,️"
"Alice,Åström,(,V,),ryker,visst,också,.,

,>,Som,vice,ordförande,i,Vänsterpartiet,är,Alice,Åström,en,av,de,mest,namnkunniga,politikerna,i,partiet,.,Hon,syns,ofta,i,den,politiska,debatten,och,utsågs,bara,några,veckor,innan,valet,till,integritetspolitisk,talesperson,för,V.,

,[,Källa](http://www.svd.se,/,nyheter,/,politik,/,valet2010,/,kanda-politiker-aker-ut-ur-riksdagen_5363403.svd,),

,Jag,kan,inte,säga,att,jag,gillar,något,av,blocken,eller,partierna,,,men,hon,var,riktigt,bra,i,FRA-debatten,;,det,här,lär,vara,en,förlust,det,också,.","Svårt,att,säga,,,men,känns,som,att,många,saknar,förtroendet,för,partierna,nu,.,Kanske,dags,för,en,nystart,!"
"Håller,helt,med,,,en,riktig,kämpe,som,verkligen,vågade,stå,för,vad,hon,tyckte,och,som,,,enligt,mig,,,tyckte,väldigt,relevanta,och,bra,saker,.","För,mig,är,det,nog,alltid,tufft,att,se,bra,politiker,försvinna,,,men,kanske,särskilt,när,det,handlar,om,såna,som,verkligen,ville,göra,skillnad,.,Trist,!"
"Nu,vet,jag,inte,om,det,går,med,tanke,på,att,hon,kandiderade,i,riksdagen,,,men,solklart,val,för,IT-minister,.,Amirite,?","Synd,att,se,så,många,bra,namn,försvinna,,,men,sånt,är,livet,.,Dags,att,se,framåt,!"
"Karl,Sigfrid,från,M,försvinner,också,.,Två,av,de,få,borgeliga,röster,som,hade,något,vettigt,att,säga,i,integritetsfrågor,försvinner,.,Förskräckligt,.","Synd,på,de,duktiga,,,men,politik,är,tufft,–,nya,ansikten,och,chanser,nu,!"
"*,*,Kommentar,till,länken,ovan,:*,*,

,Mitt,bland,all,diskussion,om,SD,och,regeringsfrågan,vill,jag,slänga,fram,en,liten,banderoll,ang.,valets,största,personförlust,:,Camilla,Lindberg,.,

,Camilla,Lindberg,var,en,av,"",ryggraderna,"",i,Sveriges,politik,,,och,måste,beundras,oavsett,vilket,block,man,röstar,för,,,för,sin,förståelse,för,moderna,frågor,och,för,sitt,mod,,,om,inte,annat,.,

,*,Camilla,var,den,enda,borgerliga,riksdagsledamoten,som,till,slut,faktiskt,röstade,emot,FRA-lagen,,,oavsett,påtryckningar,och,Fredrik,Federleys,tårar,.,

,*,Camilla,är,ende,politiker,(,ende,svensk,över,35,?,),som,har,järnkoll,på,"",Internetfrågor,"",.,Hon,ställde,sig,tex,i,Riksdagens,talarstol,och,föreslog,att,dataspel,borde,erkännas,som,kultur,(,relevant,pga,momsen,),,,och,svalde,gapskratt,från,samtiga,sina,kollegor,.,

,*,Camilla,bevakar,integritetsfrågorna,även,när,vi,själva,inte,har,koll,på,dem,,,och,även,när,de,inte,hamnar,i,tidnigarna,.,Se,tex,EU-förslaget,om,"",passenger,name,record,"",.,

,*,*,Värst,av,allt,:*,*,I,Borlänge,,,där,Camilla,hade,sitt,mandat,,,röstade,11,%,för,SD,.,ELVA,PROCENT,!,

,.,

,*,*,FAN,TA,ER,,,BORLÄNGEBOR,!,*,*","Svårt,att,säga,,,men,känns,som,flera,stora,namn,försvann,.,Tråkigt,att,se,!"
"Det,hände,nångång,att,jag,läste,just,hans,metrokolumn,,,riktigt,vidrigt,.,

,Tur,nog,så,har,jag,cykelavstånd,till,allt,numer,,,så,jag,tar,aldrig,tunnelbanan,så,jag,slipper,känna,mig,tvingad,att,läsa,vidriga,metro,.","Sverigedemokraterna,?,En,blandning,av,rädsla,och,populism,,,typ,.,🤷,‍,♂,️"
"Dumheter,.,Inget,fel,på,Stockholm,(,flyttade,från,söderut,för,1½,år,sedan,),.,Gissar,att,du,är,rasist,?","Haha,,,bra,sammanfattat,!,Det,verkar,som,att,vi,ser,en,global,trend,med,liknande,partier,i,olika,länder,.,✌,️"
"De,första,två,frågorna,där,kommer,vi,inte,bli,överens,om,.,

,Frågan,"",varför,just,nu,"",är,såklart,intressant,men,det,kommer,bli,en,lååång,diskussion,,,hitta,en,bra,utgångspunkt,och,lägg,upp,den,separat,så,ska,jag,vara,med,och,klura,på,det,,,gärna,.","Haha,,,intressant,jämförelse,!,Verkar,som,om,många,har,starka,åsikter,om,dem,."
"...,som,jag,?","Sverigedemokraterna,?,En,blandning,av,rädslor,och,populism,,,som,många,andra,dito,i,Europa,.,I,slutändan,handlar,det,om,brist,på,trygghet,och,en,längtan,efter,enklare,svar,."
"Fan,,,efter,bara,en,timme,senare,så,ångrar,jag,ju,såklart,redan,att,jag,drog,till,med,ett,kraftuttryck,,,*,men,*,Du,skulle,också,blivit,förbannad,om,Du,kännt,Dig,beskylld,för,att,gilla,SD,pga,vilket,block,Du,nu,kan,tänkas,rösta,på,.,Men,förlåt,för,helvetet,.,

,Bemöt,resten,så,pratar,vi,vidare,!",""",Sverigedemokraterna,?,Inte,så,lätt,att,sammanfatta,,,men,det,är,klart,att,de,lockar,en,del,med,sin,retorik,.,Dock,känns,det,som,de,står,för,mer,splittring,än,enighet,.,"""
