Abstract_Entities,Generated_Abstract_Entities
Mattias Karlsson:PRS,"Ygeman:PRS,Elisabeth Svantesson:PRS,Lina Axelsson Kihlblom:PRS,Johan:PRS,Jacob Wallenberg:PRS"
,
,Sverige:LOC
worldwar2:PRS,
,Sverige:LOC
,Sverige:LOC
"Copenhagen:LOC,Seattle:LOC,robeph:PRS,Sverige:LOC","Sverige:LOC,USA:LOC,USA:LOC"
,"USA:LOC,chew:PRS"
,Ica:ORG
,
,"Julafton:PRS,Kalle:PRS"
,
,
,Småland:LOC
Stadsbiblioteket:LOC,"Akademibokhandeln:LOC,Kungsgatan:LOC,Kungsgatan:LOC,Daidalos:PRS,Vasagatan:LOC"
"under sin tid:TME,Göran Persson:PRS","Persson:PRS,Reinfeldt:PRS,Reinfeldt:PRS,Persson:PRS"
,
"Sverige:LOC,Stefan Löfven:PRS",
Hanif Bali:PRS,"Magdalena Andersson:PRS,Elisabeth Svantesson:PRS,Johan Pehrson:PRS,Maria Malmer Stenergard:PRS"
"Jimmie Åkesson:PRS,Annie Lööf:PRS,Jonas Sjöstedt:PRS","Magdalena Andersson:PRS,Elisabeth Svantesson:PRS,Johan Pehrson:PRS"
Mattias Karlsson:PRS,"Magdalena Andersson:PRS,Elisabeth Svantesson:PRS"
"Porjus vattenkraftverk:ORG,Norrland:LOC",
,
,
Siri:PRS,
,
,Apple:ORG
,
,
,
,
Afghanistan:LOC,
,
,
,SYNTAX:PRS
,
,
,
,
,
,
,
HBO Nordic:ORG,"Max:PRS,HBO:ORG,Marvel:PRS,Max:PRS"
Seinfeld:LOC,"Max:PRS,Max:PRS"
,"Netflix:PRS,Max:PRS,HBO:ORG,Max:PRS"
thåström:PRS,"Petter:PRS,Veronica Maggio:PRS,Sergels torg:LOC,Håkan Hellström:PRS,Oskar Linnros:PRS,Norlie & KKV:PRS,Ken Ring:PRS,Molly Sandén:PRS,Miriam Bryant:PRS,Victor Leksell:PRS,USA:LOC"
"Daniel:PRS,The Tough Alliance:ORG,sveriges:LOC","Petter:PRS,Veronica Maggio:PRS,Sergels torg:LOC,Håkan Hellström:PRS,Oskar Linnros:PRS,Kent:PRS,Miriam Bryant:PRS,Molly Sandén:PRS,Darín:PRS,Miss Li:PRS,Sverige:LOC"
"Medina:PRS,Kartellen:PRS","Petter:PRS,Veronica Maggio:PRS,Oskar Linnros:PRS,Dani M:PRS,Kent:PRS,Petter:PRS,Göteborgsgrejer:LOC,Looptroop:PRS,Molly Sandén:PRS,Darin:PRS,Miriam Bryant:PRS,Miss Li:PRS,Laleh:PRS,Sverige:LOC,Sverige:LOC,Max Martin:PRS"
"Petter:PRS,Sverige:LOC,Lorentz & Sakarias:PRS,Norlie & KKV:PRS,Zacke:PRS,Daniel Adams-Ray:PRS,USA:LOC,Sverige:LOC,Ken Ring:PRS","Petter:PRS,Veronica Maggio:PRS,Sergels torg:LOC,Stockholm”-vibe:LOC,Håkan Hellström:PRS,Göteborg:LOC,Kent:PRS,Oskar Linnros:PRS,Timbuktu:LOC,Petter:PRS,Molly Sandén:PRS,Laleh:PRS,USA:LOC,Robyn:PRS,Zara Larsson:PRS,Tove Lo:PRS,Norden:LOC"
"Petter:PRS,Robyn:PRS,Tove Lo:PRS,Timbuktu:LOC,Kent:PRS,Ken Ring:PRS,Laleh:PRS,Veronica Maggio:PRS,Petra Marklund:PRS,Skandinavien:LOC,Skandinavien:LOC,Tove:PRS,Robyn:PRS,Avicii:PRS,Swedish House Maffia:ORG","Petter:PRS,Veronica Maggio:PRS,Sergels torg:LOC,Håkan Hellström:PRS,Göteborg:LOC,Oskar Linnros:PRS,Kent:PRS,Molly Sandén:PRS,Darin:PRS,Markus Krunegård:PRS,Robyn:PRS,Timbuktu:LOC,USA:LOC,Sverige:LOC"
Google:ORG,
Goohs:PRS,
,udon:PRS
,chilli con carne:PRS
,
,
,"Handelsbankens Mastercard:ORG,Kanada:LOC"
,"Handelsbankens Mastercard:ORG,Handelsbanken Mastercard:ORG,EU:ORG,Vancouver:LOC"
Vancouver:LOC,"Handelsbanken:ORG,Kanada:LOC,Handelsbankens:ORG"
,"Handelsbankens MasterCard:ORG,Mastercard:ORG,EU:ORG,EU:ORG"
Zurich:LOC,"Handelsbanken:ORG,Trygg-Hansa:ORG,ERV:ORG,Vancouver:LOC,Mastercard:ORG"
,"Sverige:LOC,Sverige:LOC"
"LO:ORG,Reinfeldt:PRS,Sverige:LOC","Sverige:LOC,Sverige:LOC"
"Fukuyamas:PRS,The End of History:WRK,Sovjetunionen:LOC,Kina:LOC,Indien:LOC,Reinfeldt:PRS,Bildt:PRS,Persson:PRS","Syrien:LOC,Moderaterna:ORG,Europa:LOC,Sverige:LOC"
,"Sverige:LOC,Europa:LOC,Moderaterna:ORG"
,"Reinfeldt:PRS,Sveriges:LOC"
,"Syrien:LOC,Sverige:LOC,Assad:LOC,Ryssland:LOC,Rysslands:LOC,Aleppo:LOC,Aleppo:LOC"
,"Assads:LOC,Rysslands:LOC,Aleppo:LOC"
Syrien:LOC,"Aleppo:LOC,Rysslands:LOC,Sverige:LOC"
al-Qaeda:ORG,"Syrien:LOC,Rysslands:LOC,Aleppo:LOC,USA:LOC,Irak:LOC,Saddam:PRS"
Aleppo:LOC,"Aleppo:LOC,Aleppo:LOC,Rysslands:LOC,Ryssland:LOC"
,
"sveriges:LOC,sverige:LOC",
,
,
"Sverige:LOC,Farage:PRS,Trump:LOC,Orban:PRS,Polen:LOC",Marx:PRS
"Venezuela:LOC,Sverige:LOC","Sverige:LOC,Sverige:LOC,Sverige:LOC"
Facebook:PRS,city:LOC
,Blockets:ORG
,Sthlm:LOC
,Stockholm:LOC
,Åhléns City:LOC
,"Sergels torg:LOC,Gallerian:LOC"
,"Skansen:LOC,Monteliusvägen:LOC,Söder Mälarstrand:LOC,city:LOC,Söder:LOC"
Frauke:PRS,"Skansen:LOC,Monteliusvägen:LOC,Söder Mälarstrand:LOC,Stockholm:LOC"
Slussen:LOC,"Skansen:LOC,Monteliusvägen:LOC,Söder Mälarstrand:LOC,Stureplan:LOC,Kungsholmen:LOC,Norr Mälarstrand:LOC"
"Stockholmshem:LOC,Kista Studentbostäder:ORG","Forum:ORG,Stockholm:LOC"
,"Forum:ORG,Stockholm:LOC"
,Forum:ORG
"Forum:ORG,i flera år:TME",Forum:ORG
"Frigg Sickla:LOC,AMA:ORG","Forum:ORG,Stockholm:LOC"
"Tele2s:ORG,Telenors:ORG,Telias:ORG,Stockholm:LOC","Comviq:ORG,Stockholm:LOC,Telia:ORG"
,"Telia:ORG,Halebop:PRS,Tele2/Comviq:ORG,Stockholm:LOC,Telia:ORG,Telia:ORG,Halebop:PRS"
"Stockholm:LOC,Nynäshamn:LOC,Telias:ORG,Farsta:LOC","Telia:ORG,Comviq:ORG,Stockholm:LOC,Telia:ORG,Telia:ORG"
,"Comviq:ORG,Stockholm:LOC,Telia:ORG"
Lasse Hölm:PRS,"Bromma:LOC,Kungsholmen:LOC,Solna:LOC,Sundbyberg:LOC,Bromma:LOC,Salkhallen:LOC,Åkeshov:LOC,Stockholm Stad:ORG,Kungsholmen:LOC,Solna:LOC,Liljeholmen:LOC,Stockholms stads:ORG"
"Enskede:LOC,Eriksdal, Universitetet:LOC,Östermalm:LOC,Kungliga tennishallen:ORG","Bromma:LOC,Kungsholmen:LOC,Solna:LOC,Sundbyberg:LOC"
,"Bromma:LOC,Kungsholmen:LOC,Solna:LOC,Sundbyberg:LOC,Stockholm:LOC,Stockholms stads:ORG"
,"Stockholm:LOC,Grand Hôtel:LOC,Ulla Winbladh:PRS,Djurgården:LOC,Grillska Huset:ORG,Stortorget:LOC,Gamla stan-stämning:LOC"
"Ulriksdals:LOC,East:ORG","Gyldene Freden:LOC,Gamla stan:LOC,Stockholm:LOC,Ulla Winbladh:PRS,Djurgården:LOC"
"Wretman:PRS,Janssons:PRS","Grand Hôtel:ORG,Ulla Winbladh:PRS,Djurgården:LOC,Skansen:LOC,Solliden:LOC,Wedholms Fisk:PRS"
"Hotel Reisen:ORG,Gamla Stan:LOC,Nordsjölax:LOC,Christian Hellberg:PRS,Niklas Ekstedt:PRS,Michelin:PRS,Gamla Riksarkivet:WRK,Carlshälls Gård:ORG,Långholmen:LOC,Stockholm:LOC,Oaxen:LOC,Winterwiken:ORG,Kaknästornet:LOC,Junibacken:LOC","Sthlm:LOC,Grand Hôtel:ORG,Ulla Winbladh:PRS,Djurgården:LOC,Wedholms Fisk:PRS,Skansen:LOC"
,"Sthlm:LOC,Academic Work:ORG,Handelshögskolan:ORG,KTH:ORG,SEB:ORG,Swedbank:ORG,Nordea:ORG,Handelsbanken:ORG,Avanza:ORG,Folksam:ORG,Trygg-Hansa:ORG,Skatteverket:ORG"
Stockholm:LOC,"Stockholm:LOC,Stockholm:LOC"
Sverige:LOC,"Academic Work:ORG,Sthlm:LOC,Grant Thornton:PRS"
,"Finansinspektionen:ORG,SCB:ORG,Solna:LOC,Sthlm:LOC,SEB:ORG,Swedbank:ORG,Trygg-Hansa:ORG,If:ORG,Academic Work:ORG"
,"1–2 dagar:TME,Sthlm:LOC,Handelshögskolan:ORG,KTH:ORG"
,
,Sthlm:LOC
,Stockholm:LOC
,
,
Taxi Stockholm:ORG,
Taxi Stockholm:LOC,"Stockholm:LOC,Taxi Göteborg:LOC,Taxi Kurir:ORG,Sverige:LOC,Stockholm:LOC,Göteborg:LOC,Malmö:LOC"
Stockholm:LOC,"Sverige:LOC,Stockholm:LOC,Göteborg:LOC,Taxi Kurir:ORG,Stockholm:LOC,Stockholm:LOC,Taxi Göteborg:LOC,Göteborg:LOC"
"Sthlm:LOC,Ubers:ORG,UberX:ORG","Stockholm:LOC,Sverigetaxi:ORG,Göteborg:LOC,Malmö:LOC"
Stockholm:LOC,"Sverige:LOC,numera:TME,Taxi Stockholm:ORG,Göteborg:LOC,Malmö:LOC,Sverigetaxi:LOC"
"Guldheden:LOC,Klippan:LOC","Göteborg:LOC,Skansen Kronan:ORG,Skansberget:LOC,Ramberget:LOC,Linné:PRS,Eriksberg:LOC"
,"Göteborg:LOC,Skansen:LOC,Kronan:LOC,Ramberget:LOC,Linné:PRS,Eriksberg:LOC"
,"Göteborg:LOC,Skansen Kronan/:ORG,Ramberget:LOC,Kungsports:PRS,Avenyn:LOC,Göteborg:LOC"
Kjell & Company:PRS,
,
,
Homeplug:LOC,
,
kjell:PRS,
,
,CG3100:s:PRS
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,"Billy:PRS,Billy:PRS,Mort Walker:PRS,Billy:PRS"
Billy:PRS,"Billy:PRS,Billy DeBeck/”Billy and the Boingers:PRS,Billy:PRS,Billy:PRS"
,
,
,
xperia Z:PRS,"Nexus:OBJ,Xperia Z:PRS,Sony:ORG,S4 Active:OBJ,Nexus:OBJ,Nexus:OBJ,S4 Active:OBJ,HTC One:OBJ"
"Stieg Larsson:PRS,Dexter:PRS",
,
,
,
,
,
,
,charmiga/”stabila:PRS
,
,
,
,
,
,
,
,
,
,
,
,dejting:LOC
,
,dejtingannons:LOC
,
,
,
Eliza CT:PRS,"IVO:ORG,dejting:LOC"
,
,
,
,
,
,"weed:PRS,blackout:PRS,hela natten:TME,downers:PRS"
horset:EVN,"Benzo:PRS,benzon:PRS"
,"Benzo:PRS,benzon:PRS"
,
,
,
,
,
,
"Strindberg:PRS,Linda Skugge:PRS",
"Povel Ramel:PRS,Darwin:PRS,Povel Ramel:PRS,Carina:PRS",
,
,
,
,
Hitler:PRS,
,
,
,
,
,
,
,
Nicke:PRS,
,
,
Harry Martinson:PRS,
"Flashback:LOC,even:PRS",
,
,
,
Västerbotten:LOC,
,
,Sverige:LOC
,
,
,
,
"Cannes:LOC,Nice:LOC,St:LOC,Antibes:LOC,Staden:LOC,Cannes:LOC,Nice:LOC,Nice:LOC,Paris:LOC,Marseille:LOC","Frankrike:LOC,Alsace:LOC,Colmar:PRS,Strasbourg:LOC,Paris:LOC,rivieran:LOC,Annecy:PRS"
,"Strasbourg:LOC,Annecy:PRS,Provence:LOC,Languedoc:LOC,Rivieran:LOC,i juli:TME"
"Provence:LOC,Grasse:LOC,Cannes:LOC","Strasbourg:LOC,Annecy:PRS,Montpellier:LOC,Nice:LOC,Cannes:LOC"
,"Alsace:LOC,Strasbourg:LOC,Annecy:PRS"
"Nice:LOC,Cannes:LOC,St Tropez:LOC,St Tropez:LOC,Provence:LOC,rivieran:LOC,Provence:LOC","Strasbourg:LOC,Annecy:PRS"
"Nice:LOC,Sverige:LOC,Nice:LOC,Frankrikes:LOC,100 meter:MSR,Lenval-sjukhuset:ORG,Etap:LOC,Cote d'Azur:LOC,Vence:LOC,Antibes:LOC","Strasbourg:LOC,Annecy:PRS"
nästa sommar:TME,"Strasbourg:LOC,Basel:LOC,Strasbourg:LOC,Annecy:PRS"
,"Strasbourg:LOC,Annecy:PRS,Nice:LOC,Cannes:LOC,Montpellier:LOC,Palavas:LOC,La Grande-Motte:LOC"
"Thepiratebay:PRS,Thepiratebay:PRS",
,
,
Arkies:ORG,
,
,
,
Arvidsjaur:LOC,
,efter några år:TME
,
,
,
,
"Anna Lindhs:PRS,Mikael Nilsson:PRS",Stockholm:LOC
Peter Ahltin:PRS,
,
,
,
L:ORG,
"RTFM:WRK,DOESN'T MAKE:PRS",
,
,
,
,
,
,
Max Power:PRS,
,i mitten på on:TME
"Filippinerna:LOC,Asien:LOC,Asien:LOC,Australien:LOC,Spanien:LOC","Argentina:LOC,Chile:LOC,Santiago:LOC,Latinamerikas:LOC,Sverige:LOC,Filippinerna:LOC,Manila:LOC,Chile:LOC,Chile:LOC,Argentina:LOC"
,"Manila:LOC,Argentina:LOC,Chile:LOC,Santiago:LOC,Latinamerika:LOC,Argentina:LOC,Chile:LOC"
Polen:LOC,"Argentina:LOC,Chile:LOC,Santiago:LOC,Filippinerna:LOC,Argentina:LOC,Chile:LOC,Argentina:LOC,Chile:LOC"
"Mindanao:LOC,Mindanao:LOC","Argentina:LOC,Chile:LOC,Santiago:LOC,BGC:ORG,Makati:LOC,Argentina:LOC,Chile:LOC,Filippinerna:LOC,Argentina:LOC,Chile:LOC,Chile:LOC,Filippinerna:LOC,Argentina:LOC"
,"Manila:LOC,Chile:LOC,Santiago:LOC,Argentina:LOC,Chile:LOC,Argentina:LOC"
Indien:LOC,"Argentina:LOC,Chile:LOC,Santiago:LOC,Filippinerna:LOC,Argentina:LOC,Filippinerna:LOC"
"indien:LOC,Indien:LOC","Argentina:LOC,Chile:LOC,Santiago:LOC,Filippinerna:LOC,Argentina:LOC,Chile:LOC,Chile:LOC"
Polen:LOC,"Manila:LOC,Cebu:LOC,Chile:LOC,Argentina:LOC,Argentina:LOC,Argentina:LOC,Chile:LOC,Argentina:LOC,Chile:LOC"
Polen:LOC,"Manila:LOC,Argentina:LOC,Chile:LOC,Santiago:LOC,Argentina:LOC,Chile:LOC"
,"Makati:LOC,BGC:ORG,Manila:LOC,Argentina:LOC,Chile:LOC,Santiago:LOC,Argentina:LOC,Argentina:LOC,Chile:LOC"
thailand:LOC,"Thailand:LOC,Sverige:LOC"
,"Thailand:LOC,Diazepam:WRK"
Bangkok:LOC,Thailand:LOC
,"Thailand:LOC,Thailand:LOC"
,
,
,
,
,
,
,
,"Lokaltidningen:ORG,på några minuter:TME"
,Sveriges Domstolars:ORG
,Sveriges Domstolars hemsida:ORG
,Google:ORG
,Google:ORG
,
,
,
,Nike T90 Tracer:OBJ
,
"Guamtanamo:LOC,Harold & Kumar:PRS,Magaluf:LOC,weed:PRS","weed:PRS,Spanien:LOC,Sverige:LOC,Magaluf:LOC"
Colombia:LOC,"weed:PRS,Spanien:LOC,Sverige:LOC"
"sverige:LOC,Sverige:LOC,Sverige:LOC,Finland:LOC,Finland:LOC,Sverige:LOC","weed:PRS,weed:PRS,Sverige:LOC,no-go:LOC"
"Harold & Kumar:PRS,weed:PRS","weed:PRS,weed:PRS,weed:PRS,Sverige:LOC"
weed:PRS,"Magaluf:LOC,Sverige:LOC,Spanien:LOC,EU:ORG,Sverige:LOC"
Magaluf:LOC,"weed:PRS,Spanien:LOC,Magaluf:LOC,Sverige:LOC,no-go:LOC"
,"weed:PRS,Sverige:LOC"
"weed:PRS,weed:PRS","weed:PRS,Spanien:LOC,Sverige:LOC"
,"weed:PRS,weed:PRS,weed:PRS,Sverige:LOC"
,"weed:PRS,Sverige:LOC"
Sverige:LOC,"weed:PRS,Sverige:LOC"
,"Spanien:LOC,Sverige:LOC,weed:PRS"
Arlanda:LOC,"weed:PRS,weed:PRS,Spanien:LOC,EU:ORG,EU:ORG,Magaluf:LOC,Sverige:LOC"
"Sverige:LOC,Magaluf:LOC","Spanien:LOC,Sverige:LOC"
Magaluf:LOC,"weed:PRS,Spanien:LOC,Sverige:LOC,Sverige:LOC,Sverige:LOC"
,"weed:PRS,Spanien:LOC,Sverige:LOC"
,"weed:PRS,weed:PRS,Sverige:LOC"
,"weed:PRS,Sverige:LOC"
,
,
,
för några år sedan:TME,
,
Van:PRS,
,
,
,
,
,
,
,
Östermalmspudel:LOC,
,OS:EVN
brother:PRS,
,
,
,
,
,
,
,
,
,"TTS:ORG,Google:ORG,TTS:ORG"
,"TTS:ORG,Google:ORG,Balabolka:LOC"
,"Balabolka:LOC,Google:ORG,Sam:PRS,TTS:ORG,Balabolka:LOC"
,"Sam:PRS,Sam:PRS,Google:ORG,Balabolka:LOC"
Acapela-Box:LOC,"Google:ORG,TTS:ORG,Youtube:ORG"
,"Sam:PRS,Google:ORG,TTS:ORG,Amazon Polly:ORG,Microsoft:ORG,Microsofts:ORG,Keep Talking and Nobody Explodes:ORG"
Edit:PRS,"Googles:ORG,Sam:PRS,Balabolka:LOC,Youtube:ORG"
,"Google:ORG,Sam:PRS,Balabolka:LOC"
"ATTNaturalVoices:PRS,TPB:ORG",Google:ORG
"Edit:PRS,Edit:PRS,i slutet:TME","Google:ORG,Amazon:ORG,IBM:ORG,TTS:ORG,Balabolka:LOC,Sam:PRS"
,Google:ORG
,"Google:ORG,TTS:WRK,YT:LOC"
,Google:ORG
,"Google:ORG,TTS:ORG"
,
,
,
,Koffein:LOC
,
,
,Koffein:LOC
,Koffein:LOC
,"Koffein:LOC,Koffein:LOC"
,"Koffein:LOC,Koffein:LOC"
,Koffein:LOC
,Koffein:LOC
,DC:ORG
,DC:LOC
,
,några sekunder:TME
,"Sony:ORG,från den tiden:TME"
,bias:PRS
,
,
,
,
,
,
,
flashback:LOC,
,
,
sthlm:LOC,
,Youtube:ORG
,Razzian:PRS
,
tyskland:LOC,Ghost Rider:PRS
stockholm:LOC,Ghost Rider:PRS
mr:PRS,Totte:PRS
"Patrik Fürstenhoff:PRS,Haninge:LOC,Patrik:PRS,flashback:LOC",
"Sthlm-Uppsala:LOC,på under 10min:TME",Youtube:LOC
"Patrik furstenhoff:PRS,haninge:LOC,Subaru:OBJ,nurnberg:PRS",
,Razzian:PRS
"Norrland:LOC,Danderyd:LOC","Norrland:LOC,Bjurholm:LOC,Arjeplog:LOC,Dorotea:LOC,Norsjö:LOC,Ragunda:LOC,Storuman:LOC,Vilhelmina:LOC,Åsele:LOC,Överkalix:LOC,Övertorneå:LOC,Kalle:PRS,Danderyd:LOC,Piteå:LOC,Skåne:LOC,Blekinge:LOC,Skåne:LOC,SD:s:ORG,Borlänge:LOC,Söderhamn:LOC,Norrland:LOC,Skåne:LOC,Skåne:LOC,Blekinge:LOC"
,"Bjurholm:LOC,Dorotea:LOC,Norsjö:LOC,Storuman:LOC,Vilhelmina:LOC,Åsele:LOC,Danderyd:LOC,Danderyd:LOC,Piteå:LOC,Skåne:LOC,Skåne:LOC,Borlänge:LOC,Söderhamn:LOC"
,"Kalle:PRS,SD:s:ORG,Danderyd:LOC,Årjäng:LOC,Piteå:LOC,Tanum:LOC,Årjäng:LOC,Piteå:LOC,Skåne:LOC,SD:ORG,Skåne:LOC,Skånepartiet:ORG,Borlänge:LOC,Söderhamn:LOC,Borlänge:LOC,Dalarna:LOC,Söderhamn:LOC"
Edit:PRS,"SD:s:ORG,Danderyd:LOC,Skåne:LOC,Malmö:LOC,Lund:LOC,Skåne:LOC,Blekinge:LOC,NyD:ORG,Borlänge:LOC,Söderhamn:LOC,Borlänge:LOC,Söderhamn:LOC,Piteå:LOC,Piteå:LOC,norrlands:LOC,Borlänge:LOC,Söderhamn:LOC"
"norrland:LOC,Strömsund:LOC","skåne:LOC,Danderyd:LOC,Tanum:LOC,Årjäng:LOC,Piteå:LOC,Norrlands:LOC,Piteå:LOC,Danderyd:LOC,Tanum:LOC,Årjäng:LOC,Skåne:LOC,Blekinge:LOC,Borlänge:LOC,Söderhamn:LOC,Skåne:LOC,Blekinge:LOC,Skåne:LOC,Öresund:LOC,Malmö:LOC,Landskrona:LOC,Helsingborg:LOC,Borlänge:LOC,Borlänge:LOC,Norrland:LOC,Skåne:LOC,Söderhamn:LOC"
Överkalix:LOC,"Bjurholm:LOC,Dorotea:LOC,Åsele:LOC,Vilhelmina:LOC,Storuman:LOC,Norsjö:LOC,kommunal:ORG,Danderyd:LOC,Årjäng:LOC,Piteå:LOC,Piteå:LOC,Skåne:LOC,Blekinge-bältet:LOC,Bjuv:LOC,Burlöv:LOC,Eslöv:LOC,Landskrona:LOC,Helsingborg:LOC,Kristianstad:LOC,Trelleborg:LOC,Sölvesborg:LOC,Stockholm:LOC,Skåne:LOC,Borlänge:LOC,Dalarna:LOC,Söderhamn:LOC,Hälsingland:LOC"
,"Sverigekartor:LOC,Kalle:PRS,Norrlands:LOC,Danderyd:LOC,Piteå:LOC,Årjäng:LOC,Skåne:LOC,Blekinge:LOC,Borlänge:LOC,Söderhamn:LOC,10%:MSR,Skåne:LOC,Blekinge:LOC,Danmark:LOC,Europa:LOC,Borlänge:LOC,Söderhamn:LOC,Malmö:LOC,Skåne:LOC,Blekinge:LOC"
"Staffangymnasiet:ORG,Söderhamn:LOC,Sveigedemokraterna:ORG,32%:MSR,Ljusneskolan:LOC,Söderhamn:LOC,37%:MSR,http://helahalsingland.se/soderhamn/1.2350924-var-fjarde-elev-rostade-pa-sd:LOC","Bjurholm:LOC,Dorotea:LOC,Åsele:LOC,Norsjö:LOC,Vilhelmina:LOC,Storuman:LOC,Kalle:PRS,Piteå:LOC,Danderyd:LOC,Årjäng:LOC,Skåne:LOC,Skåne:LOC,Skåne:LOC,Borlänge:LOC,Söderhamn:LOC,Danderyd:LOC"
,"norrlands:LOC,SD:s:ORG,Danderyd:LOC,Årjäng:LOC,Piteå:LOC,Borlänge:LOC,Söderhamn:LOC,Borlänge:LOC,Söderhamn:LOC"
"Söderhamn:LOC,norrland:LOC,Sd:LOC,Sverige:LOC,Amerika:LOC","Danderyd:LOC,Danderyd:LOC,Skåne:LOC,Skåne:LOC,SD:s:ORG,Borlänge:LOC,Söderhamn:LOC,Borlänge:LOC,Västmanland:LOC,Örebro län:LOC,Söderhamn:LOC,Stockholm:LOC,Hälsingland:LOC,Piteå:LOC,Piteå:LOC,Åsele:LOC,Borlänge:LOC,Söderhamn:LOC"
"sverige:LOC,danmark:LOC,sydsverige:LOC,Tyskland:LOC,under andra världskriget:TME,skåne Malmö:LOC,helsingborg:LOC,landskrona:LOC,kristianstad:LOC,skåne:LOC","Kalle:PRS,Danderyd:LOC,Piteå:LOC,Skåne:LOC,Blekinge:LOC,Skåne:LOC,Blekinge:LOC,Danmark:LOC,Europa:LOC,Borlänge:LOC,Söderhamn:LOC,Borlänge:LOC,Norrlands:LOC,Skåne:LOC,Blekinge:LOC"
