Year,Level,Title,Topic Category,Abstract,Direct Link,Keywords,Permanent Link,Full Text,Generated Abstract
2009,Bachelor's Thesis,1800-talets London i spelet Crysis Reflektioner kring verket ”London Crysis”,Engineering and Technology,Rapporten är en reflekterande rapport över mitt och Petri Tuoris gemensamma verkLondon Crysis som vi gjorde som examensarbete på Högskolan i Skövde. Verket är gjorti spelet Crysis och är en fiktion av London på 1800-talet inspirerat av filmer som From Hell och Sweeney Todd: The Demon Barber of Fleet Street. Rapporten börjar med eninledning som förklarar var idén till verket kom ifrån; problemställning; syfte ochavgränsning. Rapporten fortsätter sedan med en beskrivning av verket; en mer detaljeradbeskrivning av idén; leveldesign; stämningen; exempelmodeller; hemsidan och trailern. Rapporten tar också upp enkätundersökningen som försökte ge ett svar på hur andrauppfattar stämningen i spelet och tankar kring det. Sista delen av rapporten är enslutdiskussion kring resultatet av enkätundersökningen och verket.,,Medie-; kommunikations-; och informationsvetenskaper Annan teknik ,,Institutionen för kommunikation och information,
2017,Bachelor's Thesis,3D-animerat teckenspråk i spelmiljö: Perspektiv kontra förståelse,Engineering and Technology,Detta arbete undersöker hur virtuellt teckenspråk uppfattas av svenska teckenspråksanvändare i en datorspelsmiljö. I en studie testades olika hanteringar av tredjepersonsperspektiv. Bakgrunden behandlar nutida användningsområden för virtuellt teckenspråk; avatarer; inkludering; animation; spelperspektiv och svenskt teckenspråk. Frågeställningen som undersökningen sökt besvara är vilket perspektiv svenska teckenspråksanvändare föredrar vid hanteringen av teckenspråk i spel. Artefakten består av tre 3D-animerade spelsimulationer i videoform; där testpersonen fick rangordna dem efter tydlighet i teckenspråket och vilket perspektiv de helst hade sett i ett teckenspråksspel. Urvalsgruppen bestod av svenska teckenspråksanvändare; varav 51 testpersoner svarade på enkäten. 27 respondenter svarade att de hade funktionsvariation; 16 personer hade närstående med funktionsvariation; och övriga var intresseanvändare. Framtida studier inom ämnet kan vidareutvecklas för att förbättra inkluderande speldesign; och ge ytterligare tillgänglighet för teckenspråksanvändare.,,Svenskt teckenspråk; kameraperspektiv; datorspel; 3D animation; inkluderande speldesign,,Mall för examensarbete,
2012,Bachelor's Thesis,3D och kommunal fysisk planering En undersökning om motiven till användandet av 3D i den kommunala fysiska planeringen,Engineering and Technology,På senare år har tekniker för 3D-visualisering fått ett allt mer utbrett användande inom kommunal fysisk planering. Detta; plus att jag själv använder tekniken i mitt dagliga arbete som planarkitekt; väckte frågor kring skälet till införandet av tekniken; vilka beslut och förväntningar som legat till grund för införandet och vilket forskningsstöd tekniken har; vad gäller visualisering; tydlighet och kommunicerbarhet i planarbetet. Detta examensarbete i Fysisk planering vid BTH; vill belysa dessa frågor. Arbetet består av litteratursökning efter adekvat forskning i ämnet; en enkät ställd till ett litet urval av anställda och politiker i fyra kommuner som är medlemmar i ett 3D nätverk; en dokumentsökning på samma kommuners hemsidor samt en kompletterande enkätundersökning bland planarkitekter i fem andra kommuner som inte är medlemmar i ovan nämnda nätverk. Forskningsstöd för effektiviteten i eller för- och nackdelar med att använda 3D-modeller för ökad förståelse och kommunikation mellan tjänstemän och politiker samt med allmänheten; i samband med kommunal fysisk planering; saknas. Genom sammanställningar av forskning inom fälten miljöpsykologi och åskådlig planredovisning samt svensk arkitekturforskning kan man ändå få ledtrådar till möjligheter och svårigheter med användningen av 3D visualisering och dess roll som kommunikationsmedel. Rätt använd skulle tekniken kunna stärka möjligheten till åskådliggörande; men det finns också risker; kopplade till användande av tekniken. Det främsta skälet till att kommuner inför 3D-teknik inom fysisk planering; uppges av såväl Planarkitekter; kommuntjänstemän med ansvar för 3D tekniken; samt bland politiker vara önskan om att öka förståelsen hos medborgarna; av förslag till förändring av den fysiska miljön. Något som också oftast motsvaras i kommunernas dokument; där sådana finns. Alla kommuner har inte dokumenterade officiella inriktnings- och policydokument i frågan. Forskningen pekar dock på risker vid användning av visualisering i tidiga skeden av processen. I den avslutande diskussionen berörs arbetets frågeställningar; potentiella problem och möjligheter med användandet av tekniken samt förslag till områden för vidare studier. I slutsatserna konstateras att det finns en diskrepans mellan den övervägande positiva synen på användningen i kommunerna och det som forskningen visar.,,3D; förståelse; åskådlig planredovisning; detaljplanering; kommunikation,,FULLTEXT01.pdf,
2013,Bachelor's Thesis,3D på webben: nästa steg för E-handeln? Stereoskopisk 3D som produktpresentation,Engineering and Technology,Inom den kraftigt växande E-handeln råder stark konkurrens. Metoder att öka marknadsandelar och sälja mer produkter är viktigare än någonsin. I denna studie utvärderas metoden att presentera produkter med hjälp av stereoskopisk 3D. En fördel som kan konstateras är att kunderna får en mer verklighetsnära uppfattning av produkten än med traditionella bilder av tvådimensionell typ. Den tydligaste förbättringen är kopplad till upplevelsen av djup. Den verkar ge användaren en bättre bedömning av en produkts rymlighet. Då stereoskopisk 3D inom E-handeln är helt oexploaterad är det också intressant att fördjupa sig i eventuella orsaker till detta. En sådan är säkerligen att tekniken är ung; och därmed inte färdigutvecklad. I denna studie kan bland annat konstateras att användare upplever 2D-bilder som skarpare än 3D-bilder. Även andra egenskaper som bedömts med hjälp av bilder har rankats som sämre av de som sett bilderna i 3D jämfört med de som sett de i 2D. Dock har sådana egenskaper som kan kopplas till djupupplevelse en stark positiv korrelation med just 3D-bilder. Det finns också indikationer på att upplevelsen av 3D påverkas av hur testen designas. I denna studies Tänka-högt-test var respondenterna mer positiva till användningen av 3D-bilder än vad som kunde konstateras i en omfattande enkät i samband med en uppföljande test.,,stereoskopisk 3D; S3D; I3DPP; E-handel,,3D på webben,
2016,Bachelor's Thesis,Abakavir och lamivudin i kombination med efavirenz eller atazanavir vid behandling av HIV.: En jämförande litteraturstudie om effekt och säkerhet,Medical and Health Sciences,Under början av 1980-talet uppmärksammades ovanliga tumörer och infektioner hos unga män som vanligtvis drabbar personer med nedsatt immunförsvar. Forskargrupper i Frankrike och USA upptäckte 1983 och 1984 ett nytt virus som fick namnet humant immunbrist virus (HIV). En infektion av HIV fortlöper under många år asymtomatiskt och det är först när immunförsvaret är försvagat som symtom börjar märkas. Första läkemedlet som godkändes för att behandla HIV presenterades 1987 och dödligheten i följdsjukdomen Acquired Immunodeficiency Syndrome (AIDS) minskade drastiskt. Under 1996 infördes en ny behandling i form av kombinationer av tre eller fler läkemedel; som kom att kallas antiretroviral terapi (ART).,,HIV; ART; atazanavir/r; efavirenz; NRTI,,Examensarbete – mall för rapport,
2015,Bachelor's Thesis,Allergenspecifik immunterapi: sublingual respektive subkutan administrering vid husdammskvalsterallergi,Medical and Health Sciences,Prevalensen av allergisjukdomar har ökat kraftigt sedan mitten av 1900-talet. Allergenspecifik immunterapi är en immunmodulerande behandling som kan vara aktuell hos vissa individer med medelsvår till svår IgE-medierad allergi. Behandlingen kan administreras sublingualt eller subkutant. Syftet med detta litteraturarbete var att undersöka om sublingual immunterapi (SLIT) och subkutan immunterapi (SCIT) med husdammskvalsterallergen skiljer med avseende på förändring av symtom- och medicineringspoäng; specifika IgE- och IgG4-antikroppar; IL-10 och IFN-γ. Artiklar har sökts i databasen PubMed. Fem artiklar som undersökte effekten av både SLIT och SCIT valdes ut för att besvara syftet. SCIT gav en signifikant större minskning av symtompoängen för astma i studie 1 och 2; men ej i studie 3. Även medicineringspoängen för astma minskade signifikant mer med SCIT än SLIT i studie 2; men ej i studie 1. Studie 4 visade att SCIT minskade symtompoängen signifikant mer än SLIT. Ingen statistiskt signifikant skillnad sågs mellan SLIT och SCIT vad gäller minskning av symtompoäng för rinit i studie 1-3; medicineringspoäng för rinit i studie 1 och 2 eller totala medicineringspoängen i studie 3. SCIT ökade halten specifika IgG4-antikroppar signifikant mer än SLIT i studie 1; 2 och 5. Ingen statistiskt signifikant skillnad sågs mellan SLIT och SCIT vad gäller förändring av specifika IgE-antikroppar; IL-10 och IFN-γ. Resultaten från studierna tyder på att SLIT och SCIT är lika effektiva vid minskning av symtom- och medicineringspoäng för rinit efter 1-2 års behandling. SCIT kan däremot tänkas vara effektivare efter 3 års behandling. Vad gäller minskning av symtom- och medicineringspoäng för astma verkar SCIT vara effektivare än SLIT. SCIT ökar halten specifika IgG4-antikroppar mer än SLIT. Ingen skillnad mellan SLIT och SCIT verkar finnas vad gäller förändring av halten specifika IgE-antikroppar; IL-10 och IFN-γ. Fler randomiserade kontrollerade studier som gör en direkt jämförelse mellan SLIT och SCIT skulle vara önskvärt för att fastställa om långtidseffekterna mellan SLIT och SCIT med husdammskvalsterallergen skiljer eller ej.,,allergenspecifik immunterapi; ASIT; allergi; SLIT; SCIT; husdammskvalster; HDM,,FULLTEXT01.pdf,
2014,Bachelor's Thesis,Akutpreventivmedel: Hur skiljer sig effektivitet och säkerhet för de tre godkända metoderna levonorgestrel; ulipristal och kopparspiral?,Medical and Health Sciences,I Sverige är abort en laglig rättighet och det finns flera godkända metoder för regelbunden antikonception. Ändå finns ett behov av akutmetoder för att förhindra oönskad graviditet.  Det finns tre godkända akutpreventivmedelsmetoder; levonorgestrel; ulipristal och kopparspiral. Detta arbetes syfte var att undersöka effektivitet och säkerhet för dessa tre godkända metoder. En litteratursökning gjordes i databasen PubMed;  7 artiklar valdes ut för analys. Artikel 1och 2 undersökte levonorgestrels effektivitet och säkerhet och kunde redovisa graviditetsfrekvenser på 0; 57%  och 0;67 % ; samt en graviditetsförebyggande effektivitet på 68 %. Artikel 3 jämförde ulipristal och levonorgestrel och redovisade graviditetsfrekvenser på 1;8 % för ulipristal och 2;6 % för levonorgestrel. Även ”non-inferiority” konstaterades med OR på 0;68. Artikel 4 undersökte levonorgestrels effektivitet och redovisade graviditetsfrekvenser på 2;0 % (12 h- gruppen) och 1;9 % (24 h- gruppen); dessutom redovisades en graviditetsförebyggande effektivitet på 72 % (12 h- gruppen) och 75 % (24 h- gruppen). Artikel 5 jämförde ulipristal och levonorgestrel och fann att ulipristalbehandling  är ”non-inferiority” till levonorgestrelbehandling. Artikel 6 undersökte ulipristals effektivitet och redovisade en graviditetsfrekvens på 2; 1 % och en graviditetsförebyggande effektivitet på  62; 3%. Artikel 7 undersökte kopparspiralens effektivitet och kunde redovisa 100 % graviditetsförebyggande effektivitet. Akutpreventivmedel fungerar inte alltid; men förhindrar oönskade graviditeter. Slutsatsen är att resultaten ger stöd för gällande behandlingsrekommendationer.,,akutpreventivmedel; levonorgestrel; ulipristal; kopparspiral,,Microsoft Word - examensarbete_akutpreventivmedel_sandra_alexandersson,
2010,Bachelor's Thesis,Alternativa fröer i bröd: En teknisk och sensorisk utvärdering av amarant; bovete; chia; hirs samt quinoa i bröd och bakning,Medical and Health Sciences,Influenser från hela världen påverkar livsmedelsindustrin och användandet av fröer har ökat kraftigt de senaste åren. Idag används endast ett begränsat antal fröer inom bageriindustrin men ett intresse finns av att finna alternativa fröer som kan bidra med sina egenskaper till bröd. Syftet med det här examensarbetet är att undersöka amarant; bovete; chia; hirs och quinoa; för att se vad de kan bidra med för näringsmässiga och sensoriska egenskaper till bröd. Examensarbetet utförs vid Pågen AB. Genom en mindre litteraturstudie och ett antal bakningsförsök med efterföljande analyser av volym; inkråm; textur och vattenhalt; kartläggs fröernas närings- och bakningsegenskaper. Sensoriska analyser görs även för att undersöka dessa egenskaper hos varje frö. Av de studerade fröerna valdes chia; bovete och quinoa ut för vidare bakningsförsök. Chia och bovete valdes ut bland annat på grund av de goda resultaten från de sensoriska analyserna och försöken visade att båda fröerna fungerar bra i olika bröd; i olika mängder. Quinoas bittra smak och lukt var svår att få bort men minskade när fröet användes som dekor. Även chia och krossat bovete passade bra som dekor på bröd.Försöken visar på att det finns spännande alternativa fröer som kan bidra med mycket både när det gäller näring och smak till bröd. Vidare försök med olika brödrecept och varierade frömängder krävs för att se hur väl fröerna skulle fungera i storskaliga projekt inom bageriindustrin.,,bröd; fröer; amarant; bovete; chia; hirs; quinoa,,FULLTEXT02.pdf,
2014,Bachelor's Thesis,Art- och genusbestämning av bakterier direkt från blododlingar med MALDI-TOF MS,Medical and Health Sciences,Sepsis är ett allvarligt tillstånd som uppstår när bakterier går från vävnad till blodbanan. Positiva blododlingar odlas på agarplattor och bakterier analyseras med Matrix Assisted Laser Desorption Ionisation Time-of-flight Mass spectrometry (MALDI-TOF MS) där prov blandas med en matrix och sedan bestrålas med laser. Proteinerna i provet joniseras och rör sig mot en detektor; vilket ger ett m/z-spektrum som jämförs med referensspektrum i en databas och ett score-värde erhålls över hur väl analyten liknar referensen. Arbetets syfte var att undersöka möjligheten att direktidentifiera bakterier från blod med en viss preparation innan analys med MALDI-TOF MS och på så vis möjliggöra snabbare preliminära svar samt undersöka möjligheten att särskilja Staphylocoocus aureus och koagulasnegativa stafylokocker. Innan analys med MALDI-TOF MS centrifugerades blod från positiva blododlingar blod i flera steg med 5 % natriumkloridlösning (NaCl-metoden). Dessutom testades ett kommersiellt kit (Sepsityper; Bruker Daltonics). Med NaCl-metoden sågs korrekt identifiering hos 66 % av inokulerade proverna. Av blododlingar innehållande med S. aureus respektive koagulasnegativa stafylokocker identifierades 60 % respektive 43 % av bakterierna korrekt. Med Sepsiptyper erhöll 58 % av proverna godkänt score-värde. Slutsatsen blev att det är möjligt att identifiera bakterier direkt från blod efter viss preparation; men metoden bör utvecklas mer då det fanns en signifikant skillnad i score mellan NaCl-metoden och nuvarande metod. Det är dock möjligt att skilja mellan Staphylococcus aureus och koagulasnegativa stafylokocker. Fler studier är nödvändiga för att avgöra möjligheten att föra in någon av metoderna i rutindiagnostiken.,,MALDI-TOF MS; Blododling; BacT/ALERT; Sepsityper; MALDI-TOF MS; NaCl-metoden,,Examensarbete mall - Linnéuniversitetet,
2007,Bachelor's Thesis,3-5 åringar möter matematik: En studie kring The English School i Älmhults arbete med taluppfattning,Natural Sciences,Under förskoleåren behöver barn utveckla en förståelse för tal; lika väl som de måste erövra det talade språket. Barns möjligheter att lära matematik påverkas av hur deras första möte med matematiken ser ut. Uppsatsen är en fallstudie vars syfte är att beskriva hur The English School i Älmhult; arbetar med taluppfattning. För att kunna ge en så fyllig bild som möjligt har vi genomfört observationer och intervjuat de två lärarna som arbetar med denna åldersgrupp samt intervjuat skolans rektor. Vi har även tittat närmare på de styrdokument som; förutom Lpfö 98; ligger till grund för verksamheten. Vi har mött en verksamhet där matematiken lyfts fram och fokuseras på redan i tidig ålder. Lärarna presenterar och introducerar matematik för barn på ett mycket medvetet och strukturerat sätt.,,matematik; taluppfattning; förskola; pre-school; arbetsmetod,,FULLTEXT01.pdf,
